,BTC,ETH,XRP,XMR,LTC,ETC,DASH,XEM,DOGE,ZEC,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.117147634294007,0.171673906000552,0.118153893105282,0.378048013443527,0,0.184903495946991,0,0,0.0501054205449833,0,-0.0103881123411634,-0.0559653853021498,0,0,0,0,0
ETH,0,0,0.65151970786859,0.232039113507741,0.0623550702652756,0,-0.00000000000000000346944695195361,0,0,0.0215574243780804,0.203248729441824,0.238773456486655,0.0117057436252643,-0.32850523215181,-0.179820359315918,0,0,-0.0639334271924056
XRP,0.148151835404383,0.0758286005957539,0,0.0118263791093557,0,0.07338081518555,0,0,0,-0.0594924075048303,0.104498565974035,0.00127082255085215,0.1285735514747,-0.209935936713997,0,0,0,0
XMR,0.135025966100296,0.146008171214567,0,0,0,-0.160098854347127,0.243178503052826,0.678643583944158,0,0.0257830624017939,-0.00279189753035461,0.24629316596797,-0.291919679081307,0.191978019667572,0,0,0,0.259166170674071
LTC,0.930665452392722,0.00484466097462386,0,-0.00000000000000000693889390390723,0,-0.0150484247996501,-0.11660686381047,0,0,-0.0178633476060499,0.0111746446044343,-0.083162626020295,0,0,0,0,0,0
ETC,0.782358135425862,0.131837401297943,-0.466401956033811,0,-0.340051403121415,0,0,0.081579279242664,0,0.0160636764173764,-0.00876343736739927,0,0.333636524639451,0,0,0,0,0
DASH,0.287655525798761,0,0,0.15842901059195,0.106125287535166,0.351643003066798,0,0.119094615796628,0,0,0,-0.0131662236898167,-0.234617212821151,0,0,0,0,0
XEM,-0.271518098920337,0.130166749420803,0.0308055774657242,-0.0584762782615959,0.226544575843533,0.0909999454480689,0.328337234906096,0,0,0.0123314800366259,-0.0259219809072349,-0.0208464797304724,-0.00000000000000000693889390390723,0,0,0,0,0.00958641914552861
DOGE,0.0667449419908284,0,0,-0.0920493045515735,0.227581802654901,0,0.0393103423699294,0.0265671449033281,0,-0.00612113728007278,0.00596679583044022,0.126688396091499,-0.0236355149340924,0,0.0786899315849721,0,0,0.0281431382585382
ZEC,0,1.20717160810997,-2.07955757516193,-0.169857954528508,0,0.661373564250635,0,-0.128923963766401,-1.21631456036074,0,0,0.0745580903954841,0,0,-0.311858633310582,0,0,0
XLM,-0.333667452342167,0.0361876852601628,0,0.1674331022637,-0.0242000060385823,0,0.421449949555885,0.121253023188422,0,-0.00466021324309084,0,0.200725025210817,0.429288199225791,0,0,0,0,-0.119459628064282
NEO,0,0.181626108483362,0.132617019272857,0.00893847461316815,-0.361127052327837,-0.190903290036206,0.104038596125101,-0.383669848015792,0,0.0286035010370751,-0.0590925454869934,0,0.155576271635071,0,0.215096342502325,0,0,0
DGB,0,0.44823603673402,0,0.0267689762659436,0,0.301611763945507,-0.31251629131079,0.134480293280229,0.31762280594331,0,-0.0306836784408699,0,0,0.283169897009589,0.102287943997528,0,0,0.146429410998784
BV010082.INDEX,0,-0.102610591470641,0,0.0603087733197998,0.0212622669648096,0.0344794362778428,0,0,-0.0449187366696724,-0.0294969118038509,0.00584001123636649,0.0247732599136575,0,0,-0.231441365922673,0,0,-0.031341996678921
CVIX.INDEX,0,0.089827553442262,0,0.0918979826538915,0.109815089015949,0.0258345413834995,0,-0.0295560492749618,0,-0.0414021598133491,0,0.0392838936738318,0,0,0,0,0,0.242223777712206
DXY.INDEX,0.0046355032705626,0,-0.00408336317339094,0,0.0158177585976677,-0.00828147260774395,0.0141112088075073,0.0239810452947036,0,-0.000411661909447169,-0.0138254267951088,0,0,0.115414231666335,0.00899031358756509,0,0,-0.0212132535464768
SPX.INDEX,0,0,0,0.00779464906788344,0,0.0000000000000000000271050543121376,0.014187074053435,0,0,0.00010481032667344,-0.00723544849408199,0.0194625891527534,-0.00541121141514392,0,0,0,0,-0.0481838222295765
VIX.INDEX,0,-0.0398513954464196,0,0.0860826885250555,0,0,0,-0.413170150185442,0.352932277887716,0.064776667763813,-0.0704363160127718,0.0134266223979924,0.0282894317376526,-0.490010974115661,0.716522094970403,0,-3.90472662672367,0
