,BTC,ETH,XRP,LTC,EOS,BCH,BNB,XLM,TRX,ADA,BSV,XMR,DASH,MIOTA,MKR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.159297040769057,0,0.000000000000000000867361737988404,0.0818484352115366,0.13745577993771,0.022406218204054,0,0,0.0739540513256614,0,0,0.013062474832365,0,0.0152960399296234,0,0,0,0,0
ETH,0,0,0,0.171936071012404,0.152650158281835,0.251587230369139,0,0,0,0.210546341179638,0,0,0,0,0.0833575560135045,0,0,0,0,0
XRP,0,-0.00000000000000000173472347597681,0,0.0207960265700533,0.157324632505122,0.135244704937506,0.0263033523256195,0.0899108007282397,0,0.107179164530535,0,0,0.0616066840604039,0,0,0,0,0,0,0
LTC,0,0.284813324217771,-0.0638114275300519,0,0.203011380503136,0.365991654675745,0.0695627838511189,0.0918082751440049,0.0780917547391066,0.205250496572962,-0.0426325135710946,0,-0.261738302572464,0,-0.190681235101778,0,0,0,0,0.147039868562688
EOS,0,0.307584187607757,0,0.277053706731676,0,0.169693174282187,0.129430170816676,0,0,0.0149512220768118,0,0,0,0,0.203572889663302,0,0,0,0,0
BCH,0,0.0440017008922541,0,0,0.391512085713522,0,0.0112579897661206,0.0466805747251255,0,0,0.269751614511483,0,0,0,0,0,0,0,0,0
BNB,0,0,-0.340706417489344,0.417975478866668,0.0311729813945922,0,0,0,0.444469642257022,0,0,0.128046247605582,0,0,0.0131673404889415,0,0,0,0,-0.0661119230254247
XLM,0,0,0.138324026072776,0.00941434471687817,0,0.109858213612645,0,0,0,0.29941552069135,0.0738758365452117,0,0,0.100174331900836,0,0,0,0,0,0
TRX,0,0.182684788762907,0,0,0,0,0.153422896811905,0.147655440202541,0,0,0,0,0,0.0680578934490171,0,0,0,0,0,0.294821245051688
ADA,0,0.200820767318519,0,0.10095251335972,0.123342837237161,0.216206014144389,0.0547988349720581,0,0.0428957988136549,0,0.0126063221460469,0,0,0.157051786776687,0,0,0,0,0,0
BSV,0,0.0695779315631628,0,0,0,0.501383036922526,0,0.105091495450305,0.0359708778452986,0,0,0,0,0,0.0761684646538161,0,0,0,0,0
XMR,0,0.335141107315101,0,0,0.026872987282763,0,0,0,0,0.0126455562761362,0.0727176397995127,0,0.11094090018441,0.164376495679571,0,0,0,0,0,0
DASH,0,0.000000000000000000216840434497101,0,0.0225485013418403,0,0,0,0,0,0.355742851759491,0,0.143114341007574,0,0.306422616229703,0,0,0,0,0,0
MIOTA,0,0.258335708274861,0,0,0,0.0701552287376974,0,0,0,0.351633156840391,0,0.10198976471256,0.0171158667377004,0,0,0,0,0,0,-0.0429977505274902
MKR,0,0.51747893989018,-0.420787513975483,0,0,0,0.00000000000000000173472347597681,0,0,0,0.373584153177357,0.372079147374081,0,0,0,0,0,0,0,0
BV010082.INDEX,-0.875935489215826,0,0.152613875359987,0.0281072998296081,0,-0.146160249336092,-0.0951448690500542,0,0.0919644180065155,0.13355449467006,0,0.177621299230403,0.18216832870131,0,0.115962569025322,0,-0.09290639249303,0,0,0.0517404290632709
CVIX.INDEX,0,0,0.221040185779596,0.0634494854345746,0,0,0,0.102845705067163,0,0.0860872948232318,-0.109438169119736,-0.150660457188794,0,-0.303268465883544,0,0,0,0,0,-0.127992829507125
DXY.INDEX,0,0,0.0212314901838382,0,0,-0.0297941489278483,0,0.0179991537821152,-0.0494021060143171,-0.00891170087404893,0.0114706027995995,0.0201271558254473,0.0216804988194097,0.018047117276116,0.00359395476520332,0.0673679204383737,0.0522664529179309,0,0,0.0298492408189856
SPX.INDEX,0,0,0,0,0,-0.0116984380263102,0.00766726239858545,0,0.0148300839394502,-0.0146101710789954,-0.00786934558657832,0,0,0,0.00315800875308786,0,-0.0196763134398342,0,0,-0.0705489398813248
VIX.INDEX,0,0,0.121264650285878,-0.117159818390464,0,0,0.134980768636454,0.427089188659242,-0.141596339454263,0.141913005061624,-0.286286837710409,0,-0.38429382439572,0,0.000000000000000000867361737988404,0,0,0,-2.86509554167344,0
