,BTC,ETH,BCH,MIOTA,XRP,DASH,LTC,XMR,BTG,ADA,ETC,XLM,NEO,XEM,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.0917104388866607,0,0,-0.215842955532626,0.234245371479899,-0.0000000000000000138777878078145,0.0404217594930831,0.123499926316598,-0.17223014312101,-0.00375001201390267,0.0820388670907698,-0.255802510053461,0.137459486939092,0,0,0,0,0
ETH,0,0,0,0,0.211915764891865,0,0,0.0457841726256028,0.00514662324342623,-0.0530275086747297,0,-0.0376227658930212,0.0742255074054827,0.282270249471064,0,0,0,0,0,0
BCH,0,0,0,0.00296145997762303,0,0,-0.224122317891208,0,0.1154349070434,-0.0175949682308693,0.0674961179681405,0.0471977904417609,0.395977281171126,0,0.032293429601429,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0.0485378719126189,0,0.233032777157709,0,0.130708942871073,0,0.119167434241125,0.17683658530612,0,0,0,0,0
XRP,0,0.356376010896833,0,0.0432008952329155,0,0,0,0.0875715465309712,0,0.0660625360484915,0.0461002097960939,0,0.122259096777327,0,0.115884637197088,0,0,0,0,0
DASH,-0.217129418929472,0,0,0.0292389772434245,0,0,0,0.0386954301628651,-0.00000000000000000010842021724855,0,0.0634765042240547,-0.0470786137010482,0.0788563707932588,0,0.000000000000000000216840434497101,0,0,0,0,0
LTC,0,0.063481510908698,-0.110795736245295,0,0.205987268100541,0,0,0.0438506193577028,0,-0.0169107139162127,0.178506681951967,-0.0121008235049184,0,0,0.0431706959419412,0,0,0,0,0
XMR,0.219533022676509,0,-0.0451130418588044,0,0.170516752131757,0.163556612883402,0,0,-0.0381311311399028,0.108334556257538,0.207571255412878,0,0.224469648068003,0.109776351112845,-0.111191387690973,0,0,0,0,-0.136007868087508
BTG,0.139225501477211,0,0.745342086058213,0,-0.883766676108467,-0.654241392357674,0,0,0,0.145688643187283,0.301257452653801,0,-0.599636350676724,0,-0.577776015914953,0,0,0,0,-0.000516696316854845
ADA,0,0,0,0.147400980825199,0.111714767795144,0,0.651204457332684,0,0,0,0.133531962069472,0,0.167158540751262,0.156436599367731,-0.126227055060818,0,0,0,0,0
ETC,0,0,0.213738160840904,0,0.335920847376446,-0.307183035223918,0.20289818984433,0,0.00408530305883538,0.239300537749397,0,0,0.117611610914576,0,0,0,0,0,0,0
XLM,0.318807895432825,0,0,0.426177589372655,0.13635572872488,0.0980365474396729,0,0.254721976422128,-0.124550898986424,0.133006023646157,0.220152517729659,0,-0.0758478806869322,0,0.308390910647477,1.36024245995399,0,0,0,-0.310866356721871
NEO,0,0.518959012730981,0.0949298284116795,-0.13729477695682,-0.111036336583121,0.0972268342559924,0,0.00592301593751644,-0.104277540750758,0,0.164059303812539,0.173828069347964,0,0,0.0319366901306831,0,0,0,0,0
XEM,-0.312797143299169,0.280728252018471,-0.0331440022407353,0,0,0,0.11646553843105,0.117959184231616,-0.0127797015634863,0.102342070038079,0,0.124302767902154,0.101674390298401,0,0,0,0,0,0,0
EOS,-0.320151744287239,0.191207246629735,-0.0565778764586124,-0.0222530082134051,0,0,0.405091165550272,0,-0.0222519441968079,-0.000000000000000000433680868994202,0,0.0435995317509285,0.258095672502943,0,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.0347992213057325,0.00000000000000000010842021724855,0,0,0,0,0,0,0,0.0078193878070184,0.0336669234964573,0.0238759726170629,0.0167325846600057,0,0,0,0,0
CVIX.INDEX,0,0.0475593491808203,0,0.0391982462968487,0,0,-0.0556970841842472,0,0.00305816310660878,-0.00267299690540167,-0.0272627268186806,0.0186189424050098,0,0.0142244492612255,-0.0282222806907207,0,0,0,0,0.115949133934351
DXY.INDEX,0,0,-0.00498515569883238,0,-0.00914552994311177,0,-0.0280999210169226,0.0060845615215047,-0.00462943586113595,0,0.00774430320652164,0.00225125970130603,0,0,0,0,0,0,0,-0.00576993362071199
SPX.INDEX,-0.00717204048317893,0,0,0,0,0,0,0,0.000783163540904068,0,0.00325816744444371,0,0.00232952209129969,0.0100222434352554,-0.00300043202540242,0,0,0,0,-0.028042557946636
VIX.INDEX,0,0,-0.125858038962231,0.137102319804674,0,0,0,-0.322537311823096,-0.0734540297822997,0.0298938642544449,0,0,-0.0219405600789482,0.124187787550977,0,0,0,0,0,0
