,BTC,ETH,XRP,BCH,STO,LTC,BSV,EOS,BNB,XTZ,LEO,XLM,TAGZ5,HT,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0151795906705706,0,0.132042241227262,0,0.0492481605063114,0,0.182740895136635,0.116086893350464,0.0923889777091664,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.295498887204995,0,0.0701443175718925,0.00938917748007577,0.117177647482953,0.0140526820883868,0.210679077740562,0,0,0,0,0.215633276271891,0,0,0,0,0
XRP,0,0.191344986031172,0,0.0946002589979497,-0.00472326354051833,0.119370861954122,0,0.077641468920229,0,0.0827260707677641,0,0.0177541792354195,0.0167995555429295,0,0.12987419304027,0,0,0,0,0.0144469704294766
BCH,0,0.179466839740973,0,0,0,0,0.263275822249304,0,0.213987470994223,0.0226168433956557,0,0,0,0.0771560381099552,0.142170441635689,0,0,0,0,0
STO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0.191893112522776,0,0.0540005667458557,0,0,0.0675374694535527,0.260095630492884,0,0.0526353327560373,0,0,0,0,0.211057406050135,0,0.0385078770547359,0,0,0
BSV,0,0,0,0.581103581269721,0.0159664785355243,0,0,0.468528418032767,0,0.240299764930713,0,-0.572081166780395,0,0.0771679923944525,0,0,0.0820395763042054,0,0,0
EOS,0,0,0.147208913526868,0.206171728766008,0.0169724322801997,0.101665586541745,0.109554673767035,0,0.148276177026927,-0.0378867934270495,0,0,0,0,0.278251025066197,0,0,0,0,0.017543334651242
BNB,0.245989411938121,0.210679414242957,0,0.175918278276381,0,0,0.000000000000000000433680868994202,0,0,0.0979856814112133,0,0,0,0.248452076757002,0,0,-0.0412911566082014,0,0,0
XTZ,0,0.519582006574749,0,0,-0.000000000000000000867361737988404,0,-0.0288243487458244,0,0.304860395138017,0,0,0,0,0.240391603291537,0,0,0,0,0,0
LEO,0,0.12262025155508,0,0.0693269526821597,-0.0120121191644731,-0.302579917666227,-0.0271132431215481,0,0.369183656929782,0.0599171816336968,0,0,-0.0338812602544493,-0.126612162681525,-0.110412867941409,-0.00907164645934747,0.0201996448026389,0,0,0
XLM,0,0.117182984074229,0,0.253480105486136,-0.0000000000000000000135525271560688,0,0,0,0.123271844779612,0.0554846248376816,0,0,0,0,0.105211610997437,0,0,0,0,0
TAGZ5,0,0.297637927420654,0.039293769037535,0.218934382422077,0.0172192490545217,0,0.0203214281529057,0.103500301491991,0,0,0,0,0,0,0,0,0,0,0,0
HT,0,0,0,0.186119225979604,0.00231506099142096,0,0,0,0.18589133291138,0.303706697644152,0,0,0,0,0.0299951462956266,0,0,0,0,0
TRX,0,0.285489625249849,0,0.146922535679593,0.0191082873100826,0.184339169507624,0,0.208294791370795,0,0.113253057707421,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0.350160575403565,0,0,0.00486315054495371,0,0.0239338734461871,0,-1.25916917426548,0,0,0,0.0646888049751559,0.107120428684626,0.641451964688349,0,-0.0294480019151913,0,0,-0.156601614617362
CVIX.INDEX,0,-0.460111996735893,0,0,-0.0330223066359878,0.201909690781566,0.0472090311202146,0.0782588310503459,-0.263029098477509,0.0533112856250752,0,0.405499104368528,-0.270823809037143,0,0.188207319826073,0.496570621535896,0,0,-1.70787207599896,0.0638516017528904
DXY.INDEX,0,0,0,0,0.00156275449045404,0,0.00000285902672390219,0,0,-0.0132710473175484,0,0,-0.00319349500110165,0,0.0125980403467021,0.0496065330577681,-0.0328898169667975,0,0,0
SPX.INDEX,0,0,0,0,-0.030598173885607,0,0.00271445039661077,0.0531750831963685,0.0135748187489581,0,0,0,-0.0511709504443108,0,0,0.0499415611068876,-0.0152343643522907,0,0,-0.136753232824306
VIX.INDEX,0,0,0,0,0.0241847463763735,0,0.0484231601463962,0,0.213596892397496,0.0991174710906657,0,-0.555223803476959,0.118735099688669,0,0,-0.0938462541525216,-0.0555852419700903,0,-3.32341682766158,0
