,BTC,ETH,XRP,LTC,EOS,BCH,BNB,XLM,ADA,TRX,BSV,XMR,DASH,MIOTA,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.131185881410281,0,0.038689283865956,0.0597211319101323,0.0753935322874921,0.00780732620026333,0.0560808587117718,0,0.00103818403697607,0.0596354994145501,0,0,0.0419033436734086,0.0371858891112117,0,0,0,0,0
ETH,0,0,0,0,0.345325981398334,0,0,0,0,0.0565758605610402,0.0574570537002106,0.109446446817406,0,0,0,0,0,0,0,0
XRP,0,0.0715455231952586,0,0,0.100710638590847,0,0,0.131829162753927,0.0282043937354685,0.0691130296002094,-0.00000000000000000173472347597681,0.179444761299933,0,0.122391424025738,0,0,0,0,0,0
LTC,0,0,0,0,0.256792531367292,0.184791341558024,0.127079674333867,0,0.165019272746286,0,0.244517163277425,0,-0.205197120592915,0.0917776607735045,0.0356121719214207,0,-0.00573522242643478,0,0,-0.0133512185391418
EOS,0,0.25432624020318,0,0.202663977377477,0,0.152139230612342,0,0,0,0,-0.092102220077726,0.18191863007985,0.183491751495413,0.100918904946667,0.202491476941425,0,0,0,0,0
BCH,0,0,0,0,0.423603373773172,0,0,0.0361777503468857,0.220032037667084,0,0.26794709447272,0,0,0,0,0,0,0,0,0
BNB,0,0,0,0.536803175759427,0,-0.262856690850997,0,0,-0.000000000000000000867361737988404,0,-0.0892181505989648,0.315471112083578,0,0.0394071469020883,0.0507421831875257,0.00093539031372418,0,0,0,-0.140203626700132
XLM,0,0.273930640119071,0,0,0.0164108543842128,0.111853337401681,0,0,-0.000000000000000000433680868994202,0.035572628075349,0,0.0687926739615048,0.073879373106214,0.113069123443982,0,0,0,0,0,0
ADA,0,0,0.272310728599181,0.239707121503662,0,0.225894636928977,0,0.0510135318402932,0,0,0,0,0,0.157403467941298,0.0304279964295479,0,0,0,0,0
TRX,0,0,0.0255154127847924,-0.103804249302374,0.084977154583263,0,-0.0738721262133168,0.256193199337876,0,0,0.277630413462998,0.374880851379826,0,0,0.0124120520211217,0,0,0,0,0.0357323688010596
BSV,0,0,0.0678523346666219,0.0398132052601451,0,0.233128541817619,0.107779094877325,0.00106859190089593,0.0349829388607767,0.0914143926755408,0,0,0,0.0698875255684143,0.285754128898799,0,0,0,0,0
XMR,0,0.248700970808064,0,0,0,0,0,0.189927604311491,0,0.176690872417103,0,0,0.0992039589638101,0,0,0,0,0,0,0
DASH,0,0.227048414854397,0,0.0820664447601421,0.0166928568673129,0.0639924576904601,0.0253494540926071,0,0,0,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0.303281354637517,0.176109055234901,0,0,0,0.0360857428549809,0,0.0927227868975836,0,0,0.16248488216376,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0.153965031777262,0,0.126820141914848,0,0.35071617138804,0.0577700332537699,0.0588397384747271,0.0358753217226106,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0.0458927241195816,0,-0.0581346342797167,0,0.150628767659553,0.115122260481538,0,-0.255391309280819,0,0,0,0,0,-0.0966987429316575
CVIX.INDEX,0,0,-0.541123186797596,0,0,-0.0272912717429549,-0.132257178188139,0.24613930477257,0,0,0,0,0,0,0.0984451396820186,-0.491108072302222,0,0,0,-0.0302876023269749
DXY.INDEX,0,0,0.0024261233435721,0,0,0,0.015413264213439,0.0149359958388167,0,0,0.0227229259873965,0.0105086468299007,0.0179392970345492,-0.0632005645957263,-0.0211837821296448,0,0.0253535731575875,0,0,0.00244082907787524
SPX.INDEX,0,0,0,-0.0206362697326801,0,0.000331414097974463,0,0,-0.0184922249553675,0,0,0.0246753272242154,0,0,0.0299042210784872,0,0,0,0,-0.0801788766543439
VIX.INDEX,0,0,0.208056414494901,0.164954232290452,-0.403731124829025,0,0.137306401288179,0,0,0.147023014657896,0.0403052765376926,0.026620862476414,-0.327516597085664,0,0.167525488762799,-0.0846307864970508,0,0,-3.84747058358011,0
