,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,TAGZ5,XTZ,INNBCL,LEO,XMR,XLM,ADA,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.00000000000000000173472347597681,0,0.00167986180870679,0.0113094927740228,0,0.0846764232577621,0.14658720199876,0,0.173370612156714,0.00614422377334455,0,0.0868551002192498,0,0,0,0,0,0,0
ETH,0,0,0,0.290452853982152,0,0.176371421769791,0.076391172386054,0.00176656350214791,0,0.244642215975392,0.00609658448131899,0,0.118921576472736,0,0.0875165184111404,0,0,0,0,0
XRP,0,0.243333208708858,0,0.0759083308989322,0,0.0435821469507177,0.114577147658407,0,0,0.111563471246784,-0.00265084408663283,0,0,0.0292467990366828,0.106123256264436,0,0,0,0,0
BCH,0,0.365505156248858,0,0,0.162816301618241,0,0.195400178038798,0.127932659446413,0,0,-0.00692311074344443,0,0.0376054468121686,0,0,0,0,0,0,0
BSV,0,0,0,0.513157811334617,0,0,0.319554861357538,0.151523489657951,0,0.000000000000000000867361737988404,-0.00000000000000000010842021724855,0,0,0,0,0,0,0,0,0
LTC,0,0.147463293368236,0,0.175887670949858,0.0725906626781632,0,0.18907341572133,0,0,0,0.000773873986825363,0,0,0,0.288650690867299,0,0.00524308493685166,0,0,0
EOS,0,0,0.1014098209109,0.263566016562281,0.22654086052757,0.210441421323357,0,0.0472940485830045,0,0,0.00321801200361994,0,0,0,0.0881806293433863,0,0,0,0,0
BNB,0,0.115445597864093,0,0.383536720188542,0,0,0,0,0,0.133267057162263,0,0,0.246247122481145,0,0,0,0,0,0,0
TAGZ5,0,0,0,0.435060806072948,0,0,0,0,0,0,-0.00261526049024049,0,0,0.402752312797928,0,0,0,0,0,0.107914812314081
XTZ,0,0.287345829836257,0,0,0.0511077203441121,0,0,0.543095045973731,0,0,-0.00334451686696765,0.187374744051777,0,0.0271481543266976,0.153779034816043,0,0,0,0,0
INNBCL,0,15.9033611184418,0,0,0,0,-1.65424570308451,0,-0.451576032992952,0,0,0,-18.3868394644876,0,0,0,0.0730664682693489,0,3.26001368143997,-0.883124536309088
LEO,0,0,-0.000000000000000000867361737988404,-0.00349980068043583,0.125294540658123,-0.337854077612898,0,0.0881169139204333,-0.0268123405257251,0.174393427654787,0.00206017005481001,0,-0.0404772744749454,0,0,0,-0.0161504992934421,0,0,-0.0373966346059204
XMR,0.142409458097799,0.053613836200742,0,0,0,0,0.359762022220417,0.0502098167243799,0,0.137329834570733,-0.00119274227106126,0,0,0,0.164739482990736,0,-0.0125819992705489,0,0,0
XLM,0,0,0,0.202791903658625,0,0,0.245380721102408,0.0848784522566416,0,0.0796087556136163,-0.00226610435364666,0,0.0521087345112017,0,0.010186525702868,0,0,0,0,0
ADA,0,0,0,0.119824576381037,0,0.456673496884321,0.0441096004073116,0.151276678033017,0,0.142487220654697,-0.000131071126811719,0,0.0462844022935637,0,0,0,0,0,0,0
BV010082.INDEX,0.261789841506429,0.882952695407089,0,0,0.0232927689662002,0,-0.969970541841206,-0.881943616297017,0.179227969485686,-0.462268634503551,-0.0257110133368062,0,0,0.866823003224806,0.269457507495309,0,0,0,0.143986484267679,-0.119916327162278
CVIX.INDEX,0,0,0,0,0.285327117446254,0,0,0,-0.462942797518507,0.392108860704266,-0.00365151567524752,0,-0.46475568089572,0,0,0.288872034345665,0,0,-0.178345219693206,0.369354478760905
DXY.INDEX,0,0.024181346642217,-0.0700750331484749,0,0.0164395944257568,0,0,0,0.0096126426627136,0.0205610346089721,0.000859814143139284,0,0,0,0,0.02243547023271,-0.0172660037035968,0,-0.057113177264124,-0.0224899928263502
SPX.INDEX,0,0,0,0,-0.158274813967291,0,0,0,0,0.129469424318041,0.00512334802294601,0,0,0,0,0.103232805626295,-0.0345161415974283,0,0,-0.255609807663294
VIX.INDEX,0,0,-0.174867833339099,0,0,0,-0.369687607217756,0,0.360207798078463,0.192012927967621,0.021373574820267,0,-0.118710299996949,0,0,0,0,0,-1.97970645162571,0
