,BTC,ETH,XRP,EOS,LTC,BCH,XLM,TRX,BNB,ADA,BSV,XMR,MIOTA,DASH,MKR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.00664469158807492,0.0760445878822293,0.0548690613315962,0,0,0.0294440606043173,0,0,0.204736496078851,0,0.194627622646314,0,0,0,0,0,-0.0267998987574721
ETH,0,0,0,0.159989043435302,0,0.371409762805421,0,0,0.102336931090883,0,0,0,0.0718346239645819,0.161782372921884,0,0,0,0,0,0
XRP,0,0.168994905673284,0,0,0.01531750730021,0.22180582810436,0.0874269031073104,0,0,0.0296109524290156,0,0,0,0.164890661101559,0,0,0,0,0,0
EOS,0,0,0,0,0.157956771669237,0.28561408408051,0,0,0.117756342227713,0.084786444491206,0,0.333920231535626,0,0,0.0426803456342565,0,0,0,0,0
LTC,0,0.314182442671943,0,0.116389659258812,0,0.137103143080946,0.0306026239073403,0,0,0,0,0.245025998375825,0.214795030275012,0,-0.262954785614791,0,0,0,0,0.0106923511549166
BCH,0,0,0,0.34839739141364,0.252680265974227,0,0,0.161562047975938,0,-0.086427338210333,0.538688581809892,0,0,0,-0.125343528330662,0,0,0,0,0.0583476917734329
XLM,0,0.289406516654249,0.0780101779234905,0.0565100674699774,0,0,0,0.0455151602575253,0.00918516933589758,0.101273545922839,0,0,0,0.0727460138373008,0,0,0,0,0,-0.0456695263230039
TRX,0,0,0.0921783712990952,0,-0.0719336745262322,0,0.12939113895347,0,0.0792720707324119,0.489729326587003,0,0,0,0,0,0,0,0,0,0.20577879600532
BNB,0,0,0,0,0.224004352297434,0,0.325252361125767,0.0448506389011728,0,0.320867258757708,0,0,0,0,0,0,0,0,0,0
ADA,0,0.255282356712698,0,0.228164813479016,0.150119349071218,0,0,0.0381973716037312,0.104359009216259,0,0,0.0531161226474223,0.0645560102480165,0,0.0182026254768995,0,0,0,0,0
BSV,0,0,0,0,0,0.524965770271562,0.0977193174147799,0,0.0946083506465499,0,0,0.12042977361331,0,0,0,0,0,0,0,-0.0325800265909302
XMR,0,0.206975819470457,0,0.0218895832192138,0,0,0.151740094165306,0,0.053307912830335,0.16353813699571,0.130323875434422,0,0,0.0405290399181709,0.137717632623891,0,0,0,0,-0.0319550493836597
MIOTA,0,0.13829139281904,0,0.505463278693936,0,0,0,0,0.0251241695137106,0,0,0.080278227602692,0,0.0348631952978958,0,0,0,0,0,0
DASH,0,0.143071595466195,0.0679808309686046,0,0.0563352384087818,0,0.200641778702292,0,0,0,0,0.233560601925276,0.207049270511603,0,0,0,0,0,0,0
MKR,0,0.477760260187857,-0.314605950246343,0.28881540276216,0,0,0,0,0.000000000000000000867361737988404,0,0,0.314690260088583,0,0,0,0,0,0,0,-0.0554653566078844
BV010082.INDEX,0,-0.250155889061735,0.194909836548866,0.0748886599896617,0,-0.0607777786617149,0,0,-0.124113171181464,0,-0.00405466988076718,0,0,0.126287829180617,0.123862271567459,0,0,0,0,-0.0676108991769177
CVIX.INDEX,0,0.160632265324919,0,0,0,0,0,-0.161875842572359,-0.0376202876973385,0,0,0,0,0,0,0,0,0,0,-0.061967442775145
DXY.INDEX,0,0,0,0.00366651306361187,0,-0.0183949735725396,0.00353985695091575,-0.044797214604508,-0.00111379388556629,0,0.0349232586974451,0.0160551226224009,0,0.02489311048039,-0.0108598804021616,0.101082562556116,0,0,0,0.0246640974184806
SPX.INDEX,0,0,0,0.0122742298279395,0,0,0,-0.0184478414080032,0,0,-0.0204855809335759,0.0346306214596081,0,0,0,0.194224678273259,-0.0236066901870267,0,0,-0.0879081970411649
VIX.INDEX,0,0,0,0.330607491667716,-0.364596040527442,0,0,-0.0281439477701777,0.427114651046395,0,-0.0906133897350153,0.192099706238657,0,0,0,-0.0492226134667745,-0.0254439504666497,0,-2.46001540724656,0
