,BTC,ETH,XRP,LTC,EOS,BCH,BNB,XLM,ADA,TRX,BSV,XMR,MIOTA,DASH,MKR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.143337438557726,0,0.0607261771654248,0.041572045090011,0.0882217228386622,0.0206600843764195,0.0345956132126161,0,0,0,0,0.0422940148664486,0,0,0,0,0,0,0
ETH,0,0,0,0.0552454152114499,0.282630365325931,0.24408415823836,0.0115762153047133,0.00560322712056735,0.0145279483888171,0,0.0496201845482307,0,0.0272310364041439,0,0,0,0,0,0,0
XRP,0,0.0280547167583152,0,0.0838094187235717,0.122758907405024,0.10286048598393,0.00000000000000000173472347597681,0.152637644499243,0.0622334910440582,0,0,0,0,0,0.0390683468044311,0,0,0,0,0
LTC,0,0.144126441107977,0,0,0.193591608809096,0,0.0501065468160903,0,0.162320166279131,0.289683372240404,0,0,0.259573077555229,0,-0.0109360570047457,0,0,0,0,0
EOS,0,0.280620836213765,-0.101476141832942,0.203526463134405,0,0.18264843924987,0.0487653563207205,0,0,0,-0.056100229134337,0.0864425200053408,0.119893834542502,0.241280929446509,0.158016385150809,0,0,0,0,0
BCH,0,0.0226601266588911,0,0.0125598982079134,0.38863809389586,0,0.014546038074104,0.0379072712503141,0,0,0.264906531163371,0,0,0,0,0,0,0,0,0
BNB,0,0,-0.30945300836223,0.449617353810108,0.083604404170912,0,0,0,0,0.43711965549191,0,0.109267911536029,-0.089075367900728,0,-0.00000000000000000693889390390723,0,0,0,0,-0.0814996976999118
XLM,0,0.0593806124237526,0,0,0,0.339266842292141,0.0252568522760537,0,0,0,0,0,0.108135525473498,0.0930322066616626,0,0,0,0,0,-0.00437802511762114
ADA,0,0,0,0.17048738670415,0,0.29847011394502,0,0.000537845087294562,0,0,0.00511806225854597,0.211032999516393,0.165848067748721,0,0.0819800132429057,0,0,0,0,0
TRX,0,0,0.000481998710768917,-0.0216403306893437,0.096907263243914,0.153276580408266,-0.0623052309551811,0.255641283691772,0,0,0.238241941327296,0,0,0.00000000000000000346944695195361,0.0644855734314692,0.396090517181889,0.23820971461354,0,0,0.10884949289511
BSV,0,0.192067891971265,0,0.0410467585160769,0,0.266933973270265,0,0,0.124303361077959,0,0,0,0,0,0.102193891059,0,0,0,0,0
XMR,0,0,0,0,0,0.178294071293255,0,0.186566825863548,0.103634630798711,0,0.0224286152096292,0,0,0,0.0687499004832939,0,0,0,0,-0.0331100117036626
MIOTA,0,0.31502999756453,0,0,0.051458911483909,0.153966329476042,0.0116876475587893,-0.000000000000000000216840434497101,0.0776730040071824,0,0,0.0639224989885717,0,0,0,0,0,0,0,0
DASH,0,0.192804314283402,0,0.0154753175463146,0.00256239834461598,0,0.055479192488935,0.162403760020827,0.195623103233746,0,0,0,0,0,0,0,0,0,0,0
MKR,0,0,-0.480317459574394,0,0.340822780923214,0.0194633415136525,0,0,-0.090298142145635,-0.110422983632144,0.593284420641775,0.245066346169148,0,0,0,0,0.0799049482415301,0,0,0
BV010082.INDEX,0,0,0.193750563375976,-0.00000000000000000173472347597681,0,0,0.0565658338669715,0.0406909515706993,-0.0859416441333062,0,0,0,-0.257391290628029,0.0284574965668899,0.0584249209154932,0,0,0,0,-0.0448157727840527
CVIX.INDEX,0,0.0491153021357639,0.347626996704088,0,0.0622022615917747,-0.335876028665053,0.0124868216479714,0,0,0,-0.0451062524522535,0,0,-0.139477833874474,0,0,0,0,0,-0.148331553508365
DXY.INDEX,0,0,0.0304908960213589,0,0,0,0.00780867064119636,0.00185624936277609,0,-0.0576647004946237,0.0110796504503591,0.0207282598620244,-0.0162852483843756,0.0202880485751978,0.000971650155278497,0.0727574281597245,0.0176549592630358,0,0,0.0260418332810527
SPX.INDEX,0,0,0,-0.0192337467958623,0.0189518872100268,0,0.0084191131924618,0,-0.0256590656649361,0,0,0.0136743609409519,0,0,0.00804160316820988,0,-0.00721857079461103,0,0,-0.0739450602793635
VIX.INDEX,0,0,0,-0.16090072738293,-0.101321259123701,0.12584817590984,0.150784081601548,0,0,-0.154646787815008,0,0,0.233054358761729,-0.301971410533022,0,-0.146712643064828,0,0,-4.03855393718186,0
