,BTC,ETH,XRP,BCH,ADA,LTC,NEO,XLM,EOS,MIOTA,XEM,DASH,XMR,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0,0.133186679838843,0.114784117449132,0.0576750267993209,0.0419001875613774,-0.0170925703368197,0,0.0619649797229628,0,0,0,0,0,0,0
ETH,0,0,0,0,0,0.27219736845121,0.104512284930393,0.0404539285421042,0.0160374533075366,0,-0.0181136856548035,0.106170229768486,0,0.0189022900320894,0.187100284002458,0,0,0,0,0
XRP,-0.316304495424728,-0.1245075141405,0,0,-0.0336866318869063,0,0,0.31976493144657,0.318676944275525,0,0.179080619361909,0,0.372581990128662,0.0712004551218342,0,0,0,0,0,0.00000000000000000173472347597681
BCH,0,0,0,0,0,0.20859840270522,0.225299587996066,0,0.102330739373107,0,0,0.205569010723416,0.0840404562453121,0,0.113152517325728,0,0,0,0,0
ADA,0,0,0.100042109979688,0,0,0,0.0777947830019183,0.215027500398663,0,0,0.133413448947576,0,0,0.0658139366319888,0,0,0,0,0,0
LTC,0.457445070473865,0.0192901701993453,0,0,-0.0523786658683458,0,0,0,0.0685488331769177,0.144653806080776,0,0,0,0.0135512416481274,0.075375574816069,0,0,0,0,0
NEO,0,0.463920825115939,0,0.00813240506102443,0.0713520778845621,0,0,0.0946219778339236,0,0,0.0271633754785572,0,0.0678041906830696,-0.0184041955325523,0.220023984595851,0,0,0,0,0
XLM,0,0,0.192733538077965,0,0.258666902334752,0,0.205516609982695,0,0,0.104483577289345,0.0182453562125258,0,0.154881267082585,-0.0494030590025025,0.000000000000000000867361737988404,0,0,0,0,0
EOS,0,0,0,0.14467946506958,0,0.220729414631958,0,0,0,0.140891251125826,0.0196607430421957,0,0,0.185959212293429,0.226534750190835,0,0,0,0,0
MIOTA,0,0,-0.123273650744181,0,0,0.124801869801336,0,0,0.163169698369881,0,0.187669896960184,0,0.0127574710156639,-0.0959704390396255,0.478755976204916,0,0,0,0,0
XEM,0,0,0.229012787717809,0.0799431196589036,0,0,0,0.192312051559975,0.0503807914844261,0.20064388790171,0,0,0,0.0370705368091014,0,0,0,0,0,0
DASH,0,0,0.0405689899094525,0.143217873112671,0.0331278314170201,0.231435159812245,0,0,0.0297690147675072,0.0809330968884568,-0.0331655519042285,0,0.102992269486846,0,0.197930153476816,0,0,0,0,0
XMR,0.0576974778551643,0,0,0.192470932426245,0,0,0.165327923371613,0.0387768642487456,0,0,-0.013235009937403,0.19267029739976,0,0.0487343870662274,0.107972737203113,0,0,0,0,0
TRX,0.449858902538915,0,0.152389503714442,0.313216594382836,0,0,-0.31558011497874,0,0.148691544893684,0.0500818123274558,0,0,0.193287150153513,0,0,0,0,0,0,0
ETC,0,0,0.141498278734355,0.115308778849205,0,0,0.0697887383323182,0,0,0.152352651500943,0.00000000000000000173472347597681,0.143781071075718,0.140331065358872,0.0342262785093213,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,-0.0306182760782031,0,0,-0.0188506683195561,0.00783700814302016,0.00635671947894676,0,0,0,0,0.0175505430989428,0,0,0,0,-0.0382365147500306
CVIX.INDEX,0,0,0,0.000000000000000000867361737988404,0.038021315982558,0,0.00973731539493084,0,0,0,0.0269970853765234,0,-0.0468258744193453,-0.0078456618540333,-0.0535886447453815,0,0,0,0,0.022926987164707
DXY.INDEX,-0.0037121630011875,0.0152755202284399,0,0.006288722943381,-0.00370849878150491,0.00323874214282464,0,0,0,0,-0.00170318804265409,0,0,0,-0.0164506535303116,0,0,0,0,-0.0095072923882276
SPX.INDEX,0,0,0,0,0.00481240521005183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0527305112887037
VIX.INDEX,0,0,0.0901721634468699,0.0206625099407673,-0.165718736838963,-0.089417065026815,0,-0.0220739130348684,-0.0454219921394233,0,-0.021219414386044,0,0.289894940697853,-0.0322688297028344,0,-3.09461561196865,0,0,0,0
