,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,TRX,MIOTA,NEO,DASH,XMR,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.215835376923208,0,0.105272254665191,0,0.0307800195746384,0,0.0995290011727219,0.0208077830865867,0,0.000000000000000000433680868994202,0,0,0.0822544858735017,0,0,0,0,0,0.0240425584268984
ETH,0.444381408667015,0,0,0.0844079377221507,0.070444484403981,0.365414396700036,0.0587779146583702,0,0,0.0690926012500123,0,0,0,0,0,0,0,0,0,0
XRP,0,0.2723039917388,0,0,0,0,0.116274513063865,0.123667356242891,0,0.0459514363432615,0.0903069500939778,0,0.126611653604813,0.114870003481347,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0.00814164315478049,0.192860489164253,-0.000000000000000000433680868994202,0.215512949722828,0,0,0,0.193756026340698,0,0,0,0,0,0
EOS,0,0,0,0.408214886346578,0,0,0.218349130076355,0,0,-0.422494769261375,0.457435116244781,0,0.10157700426103,0,0,0,0,0,0,0
LTC,0,0.470827177493814,0,0.0975843992211068,0,0,0,0.0823875233743203,0,0,0.138831803512558,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0,0.0889148975780518,0,0,0.0040294561584998,-0.0187352255960754,0.148825489344496,0.262820654834905,0,0,0.313263987261663,0,0,0,0,0,0
XLM,0,0,0.21844952868596,0.165866297159875,0.0420597814672184,0,0.1532180490703,0,0.0242154145866922,0,0.0437406396161261,0,0,0.152476208279377,0,0,0,0,0,0
TRX,0,-0.197072268637121,-0.252703168711282,0.237224410020522,0,0,0,0.355204460453319,0,0,0,0.479577955542205,0,0,0.151039852914057,0,0,0,0,-0.0708159211012544
MIOTA,0,0,0.325366627525306,0.0187031611147385,0,0,0,0.14635752195043,0,0,0.0367299400719899,0,0,0,0.266441505343805,0,0,0,0,0
NEO,0,0,0,0,0.0838195857150011,0,0.0531138450137273,0.0384852261330945,0.0122814989112511,0.236441474709726,0,0.134899537520898,0,0.0261815386115607,0.179005983867235,0,0,0,0,0
DASH,0,0,0,0.105844783759359,0,0.00791376686052073,0.0220499156181468,0.186487239323481,0.0157831033178918,0.177211553113127,0.120382535048462,0,0.0801296826019076,0,0.0468262915098611,0,0,0,0,0.0526743354319484
XMR,0,0,0.276235627871202,0.144955498072454,0,0,0.11149309656853,0,0.0272959289621206,0,0,0.0832624666429384,0,0.058152645704706,0,0,0,0,0,0
XEM,0,0,0.146455608005793,0,0,0,0.110399919182768,0.370976797561914,0.0978069329973374,0,0.0542165103262041,0,0,0,0.101735859815839,0,0,0,0,-0.0541421396180503
ETC,0,0,0.460275199450642,0,-0.00000000000000000173472347597681,0,0.108987484917538,0.0769831644431072,0,0,0.135198502021655,0,0,0.0331153729536756,0,0,0,0,0,0
BV010082.INDEX,0,-0.0407441913803272,0,0.000000000000000000216840434497101,0,0,0,0,-0.00858713868472889,0,0,0.113252876755676,-0.0537994039971174,-0.0271732198683269,0,0,0,0,0,-0.0690734447494352
CVIX.INDEX,0,-0.0959929283694889,0.0180882856333473,0,0.0136250021672395,0.073382411223648,-0.0928880763979912,-0.0364937518195604,-0.00969444264015276,0.0497075051834856,0.0469990706406443,-0.226685372241722,0.0766271346161715,0.0845038640583628,0.0601425368744016,0.35598255351326,0,0.913290046593264,0,0.0794851972013893
DXY.INDEX,0,0,-0.0157599675298118,0.0102271873949222,-0.00346596377039294,0.00699726649230313,0.0185598729316595,-0.0269028338032387,-0.00507076361374513,-0.0215953512088652,0.0212183364878174,0.00899803023862411,0.00979929511612069,0.0131922086352519,0,0,0.0732483186994741,0,0,-0.00695103985369063
SPX.INDEX,0,0,0,0.022074567022804,0.0108848762372027,0,-0.00538704996500759,0,-0.0300762209136853,0,0,0,-0.0057434370817437,0,0,0,0,0,0,-0.128641596948669
VIX.INDEX,0.14668368467864,0,0,0,0,0,0,0,0.0993762043913536,0,0,0.188098741093714,-0.0656882378259854,-0.231122892470442,0,0,0,0,-3.9719123172797,0
