,BTC,ETH,XRP,BCH,LTC,BNB,EOS,BSV,XLM,XMR,TRX,ADA,LEO,DASH,XTZ,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.283105607068668,0.272998477810277,0.0909171673656033,0,0,0,0,0,0.0273055941676948,0,0,0,0.319146764013921,0.0214242421845798,-0.199837219713027,0,0,0,0.0581985734177319
ETH,0.431516089541371,0,0,0.0198599908117128,0.119135345110606,0,0.00807813100928162,0.0715413934891836,0,0.097866472835735,0,0.109906005401182,0,0,0,0,0,0,0,0
XRP,0.0519482789492364,0,0,0.30177546694786,0,0,0.16108706954175,0,0,0,0,0.250830975072987,0,0,0,0,0,0,0,0
BCH,0.266957477856046,0.334582313717242,0,0,0.0432669359682469,0,0.218501715931645,0.167904555272635,0,0,0.00000000000000000346944695195361,0.0105436897544148,0,0,0,0,0,0,0,0
LTC,0.0170499426063809,0,0,0.167279251017636,0,0,0.373586491675626,-0.0286690053117318,0.148739542652476,0,0,0.13570565482853,0,0,0,0,0,0,0,0
BNB,0,0.119652325880305,0,0,0.136084594968412,0,0,0,0,0.212369133724909,0,0,0,0,0.0848257972313099,0,0,0,0,0
EOS,0,0,0.368777376168224,0.0125036215207914,0.168384729303147,0,0,0.193195237647058,0,0.200232731834746,0.00000000000000000346944695195361,0.0630239690915882,0,0.103930180472654,0,0.00922434857084038,0,0,0,0
BSV,0,-0.210488433025548,0,0.43421185509536,0,0,0.36172310153067,0,0,0,0.473668026938848,0,0,0,0,0,0,0,0,0.203894096003219
XLM,0.0675596321213721,0.115026050341629,0,0.09080825214624,0,0,0,0,0,0.141499736370814,0,0.325075361326957,0,0,0.0322521354328956,0,0,0,0,0
XMR,0.00000000000000000346944695195361,-0.130252721608279,0,0,-0.172106263923781,0.236349207430865,0.403546097817589,0,0.0901494707325726,0,0.213743915914784,0,0.37859541708676,0.0876760952581659,0.184294776188979,0,0,0,0,0
TRX,0.0343372986365032,0,0,0.151759932714158,0.150087458163866,0,0,0.153095319932848,0.064450806123877,0.282558270803432,0,0.238145675099177,-0.118345159161289,0.0371432131143037,0,0,0,0,0,0.102564270622394
ADA,0.0330847465784804,0.0635331520613148,0,0,0.175167828641046,0,0.0491346246566921,0,0.306354388821687,0.0528617128772824,0.077637270875641,0,0,0.016903721898955,0.0578646492998397,0,0,0,0,0
LEO,-0.109001913901965,-0.141701200368969,0,0.255509459752923,0.229197758046942,0,-0.00000000000000000693889390390723,0,-0.0631255128619848,0.322421595668924,-0.154289270922744,0,0,0,0,0,-0.158988924380469,0,0,-0.185427387148474
DASH,0.362115472092008,0,0,0,0,0.0473850883025427,0.300001657772461,0.0123775380370136,0,0.170097180570346,0.0327204448678727,0,0,0,0,0,0,0,0,0
XTZ,0,0,0,0.638202387299126,0,0.0919672314050333,0,0,0.0486189825297152,0.0596697115704218,0,0,0,0,0,0,0,0,0,0.210301563353024
BV010082.INDEX,-0.294278482431066,0,0.264561671860975,0,-0.00000000000000000346944695195361,0,0.174158210511461,-0.0867481915693517,-0.619710408499236,-0.501412866317053,0,0.678661725402306,-0.129460994514146,0.264577128649987,0.223474902350327,0,-0.573741164559017,0,0,-0.0838459210644686
CVIX.INDEX,-0.178319134478381,0,0.251927719451274,0,0,0,-0.0136785263261803,0,0,0.0786022751662832,0,-0.0571826417441508,0,0,0,-0.153439820794261,0,0,0,0.140952314126157
DXY.INDEX,0.0162591120739386,0,0,0,0.0245923948639089,0.00466866159702538,0,0.0108395311702761,0,0,-0.0267309679388557,0,0.00202011628849315,-0.0385553774807545,0.0000445042364684467,0.0626213950741906,0,0,-0.0781989607479877,-0.0149926119628111
SPX.INDEX,-0.00926605560508471,-0.00977042490057717,0,0,0,0,0,-0.00345810443343862,0,0.00162692256158861,0,0,0.0074857431898929,0.0202667754903545,0,0,-0.00915553051855227,0,0,-0.0641682208779225
VIX.INDEX,0.00776075147440275,0,0.715015269454759,0.187109857290473,0.0580819767714191,0,-0.549637931533297,0.101474384017516,0,-0.00000000000000000693889390390723,0.158201966045005,-0.0219205747677153,-0.152026381655627,-0.0774438578236131,-0.283017525686525,0.333954903666485,-0.129807989843114,0,-3.63790664402367,0
