,BTC,ETH,XRP,XEM,ETC,LTC,DASH,XMR,ZEC,XLM,DOGE,DGB,BAT,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.00743021327234928,0,-0.12606020103527,0.0825057330368704,0.0898046737785369,0.177200878448983,0,-0.0314450510764917,0.0584904006846891,0.0408863558772651,0,0,0,0,0,0,0
ETH,0.0889079833005392,0,-0.0338739455986213,0,0.129834167642615,0.000000000000000000433680868994202,0.0349145464739534,0.104269304545522,0,-0.0382183756952346,0.117060525611015,0,0,-0.000000000000000000216840434497101,0,0,0,0,0.113569123545012
XRP,0,-0.1951268441722,0,0,-0.196113600412348,0,0.292719924334579,0.123571193464735,0.072068189806315,0.340076907943408,0,-0.0382799297555657,0.00448864372838571,0,0,0,0,0,0
XEM,0.462780006413253,0,0.104518520687942,0,-0.330900785442345,0.0667617291409144,0,0.0948365690347914,0.0075042754137804,0,0.122657855145565,-0.036859174447634,0,0.274149350178623,0,0,0,0,0
ETC,0,0.425057405081375,-0.200317926842371,0.19216770616542,0,0.0211011871833874,0.108846225337515,0,0.0463231088461402,0.0481513965397549,-0.0797190399379462,-0.00640294948989951,0,0.0636730833947137,0,0,0,0,0.0296602917273913
LTC,0.493312053603643,0,0,0.0725840578721641,0,0,0,0.119515846752205,-0.0288795061239467,0,0.0995026866043672,0.0129067022619106,0,0.224511043857456,0,0,0,0,0
DASH,0,0.0842049575638962,0.0686286604010845,0,0,0.0873428649583044,0,0.305693176958236,0.161065109678042,0.0568877262949995,0,-0.0199996718051862,0,0,0,0,0,0,0
XMR,0,0,0,0.0879095194492672,-0.0845996600808132,0,0.471654710865784,0,0,0.0888413117018069,0,0,0,-0.0948663686316899,0,0,0,0,0
ZEC,0,0.27429385004216,0.0444402712308863,0.0601820841544006,0,0,0,0,0,0,0.163119535402513,0.0172157275078201,0,0.0497477186933648,0,0,0,0,0
XLM,-0.583287576791335,0,0.762958667168543,0.0366218190520456,0.241521962043068,-0.0947357378573697,0.0918473891906304,0.370084492833472,-0.159488777052886,0,0,0.0104688022839422,0,0,0,0,0,0,0
DOGE,0,0.141707569416159,0,0.286838434733941,0.0296334209427021,0.159203089952723,0,-0.00226192227302158,0.390399181221077,0.175876063272979,0,0.0511710398700614,0,0,0,0,0,0,0.0826616375238504
DGB,0,-0.399635677987879,0.452373251469676,-0.124216122900117,-0.360338926444656,-0.0272362170060928,0,0.412233094058636,-0.279377992638515,-0.322587304524887,0.582427934405147,0,0.390083564758434,0.358328577528806,0,0,0,0,-0.0503259423529704
BAT,-0.551841916970307,0,0.135087254585508,0.191614314472451,0,0.107055077065431,0,0,0,-0.0739559727889415,0.0951386696984751,0.0184993805743147,0,0,0,0,0,0,-0.13624502714155
NEO,0,0,0.0261765514451543,0.125298913105996,0.183307129204674,0.357837321915397,0.544090352360043,0.105191520718593,0.160142809531152,-0.121830348273442,0,0.149112344242265,0,0,1.72415558284716,0,0,0,-0.0105101791694918
BV010082.INDEX,0.0269505883616322,-0.0361549686763412,-0.00853514065069127,-0.00840263784758522,0.0349542672007856,-0.0205410628518483,-0.0311986224158341,0,0.028747144294061,0.0245945581193242,-0.00497591104518814,0.00691114193658459,0,0.0170191527966368,0,0,0,0,-0.0462910812022438
CVIX.INDEX,0,0,0,0,0,-0.0325254714858523,0,0.060073310552371,0.0456123132120167,0,0.0065185552293067,0.0258816332626621,0,0,0,0,0,0,0.16430496610461
DXY.INDEX,0,0.0140724981149905,0,-0.0117592123381677,0.0137182547800743,0,0,0,0,0.00604060307765711,-0.00478876583046641,-0.000735251812479616,0,0,0,-0.00650551008645558,0,0,0.0098939816671888
SPX.INDEX,0.00590294610329239,0.00101149843632966,0.00416404783894358,-0.00660850727418197,0.00521061518851012,0,0,0.00428463352828229,0,0.00243408931588576,-0.00037302573796575,0.00282390900305802,0,-0.00476010965380645,0.0308658437630613,0,0,0,-0.0320757124968771
VIX.INDEX,-0.462041116702187,-0.0527921878203776,0.0385454608662934,-0.101023133573712,0.125705936778198,0,0.403925254145149,-0.125384556083285,0,0.0482238928012912,0,-0.16266723832646,0,-0.0415525243369527,-1.72710430246814,0,0,0,0
