,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,BNB,EOS,XTZ,TAGZ5,LINK,XLM,ADA,LEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0343045512349964,0,0.0158322918995225,0.0507656705301761,0,0.26318679957917,0.0329526055505655,0.145609840556619,0,0.0640519428100263,0,0,0,0,0,0,0,0
INNBCL,7.28365817235489,0,23.2442561443337,0,-10.5752351309529,-7.81933089004777,0,-14.1370117858221,-14.6515809213979,0,4.48398310407106,0.0000000000000000277555756156289,4.59294801022891,8.83182309259249,0,0,3.21429822273627,0,14.4195173025601,0
ETH,0,0,0,0,0.18213145609305,0.112254579833461,0,0.258941572041895,0.0545227852626544,0.288173823783208,0,0,0,0.0400952535617187,0,0,0,0,0,0
XRP,0,0,0.185399325887029,0,0,0,0.156192346043393,0.182818634204336,0,0,-0.00319516667593013,0.0313324322615038,0.18452221891632,0.0392246865326094,0,0,0,0,0,0.00816339648422827
BCH,0,0,0.427016432053336,0,0,0.249031944914632,0,0.0444288996430805,0.094935394331368,0.0673868840524992,0.012837966867198,0,0,0,0,0,0,0,0,0
BSV,0.0146622948331448,-0.00901665081385863,0.114591333304124,0,0.298294079515859,0,0.153945276529954,0.336205446158376,0.109145214655703,0,-0.0190819584523743,0,0,0,0,0.109954280221497,0.0740130762663712,0,0,-0.0332186230137646
LTC,0,0.00221886826234501,0.0506936045291107,0,0.0143275495556246,0.142737424690865,0,0.0910682839963034,0.297585674870479,0,0,0,0,0.280295452762659,0,0,0,0,0,-0.0174300752581654
BNB,0,-0.00419909346911084,0.346468207776151,0,0.424556519463286,0.000000000000000000433680868994202,0,0,0,0.0699153584946623,0,0.0667577761086772,0,0,0,0,0,0,0,0
EOS,0,0,0.170014707451683,0,0.454911455779273,0.0729748154512518,0.183827600919445,0,0,0,0,0,0,0.0273845652142989,0,0,0,0,0,0
XTZ,0,-0.0000122954104360083,0.104113418059636,0,0,0.234418851499022,0,0.131414323102433,0,0,0,0.473210312827318,0,0,0,0,0,0,0,0
TAGZ5,0,-0.000672960097171623,0,0,0.648973082476385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0701003636403466
LINK,0,-0.00410912567175333,0.203964830449859,0,0.0544905127998824,0.163022687190586,0,0,0,0.58796817508079,-0.0136355316775322,0,0,0,0,0,0,0,0,0
XLM,0,-0.00212549134612565,0.158524004400739,0,0.239961412951785,0.0162215545536379,0,0,0.172633996655844,0.0736689066266596,0,0,0,0.0593856157286955,0,0,0,0,0,0
ADA,0,0,0.227244973380156,0,0.069809702124509,0,0.18525450307994,0.194179648348113,0.0285370634205839,0.0553712159309351,0,0.124005454850709,0,0,0,0,0,0,0,0
LEO,0,0.00560092085030432,0,0,-0.0592920815804079,0,-0.0916130297604396,0,0,0.0932667553976768,-0.0230119876585301,-0.000000000000000000867361737988404,0,0,0,-0.0436498035092532,0,0,0,-0.0755121316950773
BV010082.INDEX,0,-0.00602849635409803,0.314025232207962,0,0,0.226297942379756,0,-0.958974402349265,-0.229371899921836,-0.866553646786408,0.0636680192487114,0.461031093433925,1.16881378338933,0,0,0,0.136912884747551,0,0.00451015650850206,-0.0269791808978822
CVIX.INDEX,0,-0.00486860370020977,0,-0.289562726167097,0,0.0864576333591784,0.0879485155134127,-0.197739360473088,0,0.238796050649475,-0.168581630373188,0,0,0,0,0.367207395418637,0,0,-0.496847385121974,0.379687426015988
DXY.INDEX,0.0557691049630074,0.000102655569714687,0,-0.104347368545167,0,0,0,0.00662762211534112,0,0.0178510293572034,0,-0.0268059812969592,0.0379362109942307,0,0,0.00331082411794491,-0.0164913403086523,0,-0.0327577882208658,-0.0143843076250041
SPX.INDEX,0,0.0108171809837667,0,0,0,-0.0628155118849695,0,0,0,0,0,0.0369672076821922,0,0,0,0.186047589369583,0,0,0,-0.290567310638805
VIX.INDEX,0,0.0332159401688916,0,0,0,-0.148073978100717,0,0,0,0.0217653984611141,0,-0.211232343092308,0.261191773587644,0,0,0.00000000000000000693889390390723,0.0951325225849272,0,-1.98701074030926,0
