,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,BNB,EOS,XTZ,TAGZ5,LINK,XLM,ADA,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0450298128546436,0,0.031860015271783,0.0689942131477758,0,0.25031487339048,0,0.157704390304459,0,0.032461987581024,0,0,0,0,0,0,0,0
INNBCL,0,0,8.32513443983891,0,-6.44743140517372,0,0,0,-9.96069142599376,9.1318381722021,3.96714108297439,0,10.7116448837224,0,-16.4322310630135,0,-0.479008485439806,0,4.89657319147558,-0.451741836841836
ETH,0,0,0,0,0.230561931940264,0.0735069158572012,0,0.065952370153859,0.0991246241334491,0.284661606955773,0,0.0111682714902306,0,0,0.197742657140368,0,0,0,0,0
XRP,0,-0.000343629926332415,0.154468233286918,0,0.0106991092935509,0,0.157432857449275,0.185319879329136,0,0,0,0.0490393312721477,0.165458260656362,0.0664611627451412,0,0,0,0,0,0.011669434690796
BCH,0,0,0.396419262360211,0,0,0.29439476135231,0,0.0413414216994089,0.0390964658022118,0.0916546382215001,0.0137367612260706,0,0,0,0,0,0,0,0,0
BSV,0,-0.0036888035231352,0.0408402443851922,0,0.291837413318365,0,-0.00000000000000000010842021724855,0.0887790087393,0.269697219234649,0,0,0,0,0,0.330223513922061,0,0.0964346684267992,0,0,-0.0752189657263085
LTC,0,0.00209132851123957,0.0808402696593427,0,0,0.119569382860585,0,0.110444704512629,0.272877608922828,0,0,0,0,0.281177745695428,0,0,0,0,0,-0.0154186561490198
BNB,0,-0.00708293867743741,0.277421543653874,0,0.288197977743594,0.117465155020962,0,0,0,0.132468187724294,0,0.00857568679731613,0,0,0,0,0,0,0,0
EOS,0,0,0.208933274086732,0,0.45391620493215,0.0999610678597561,0,0.107083299251006,0,0,0,0,0,0,0,0,0,0,0,0
XTZ,0,-0.00100919417413287,0.12283346791721,0,0,0.206099949088838,0,0.204396807323246,0,0,0.04646805302839,0.433377072168596,0,0,0,0,0,0,0,0
TAGZ5,0,0,-0.0000000000000000138777878078145,0,0.524791236135811,0,0,0,0,0.0782985013481056,0,0,0.10054800194553,0,0,0,0,0,0,0.0840589762050325
LINK,0,-0.00160938277961801,0,0,0.0459561730325967,0.199474832919656,0,0.147092710204314,0,0.606208909931361,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0.158750798813299,0,0.231369779389006,0.0223620081971627,0,0.0256677168323223,0.176452298768671,0.0724973448273071,0,0,0,0.0270494242931522,0,0,0,0,0,0
ADA,0,-0.00124277210971259,0.213914100626512,0,0.0609303724711653,0,0.285287299078985,0.163006726550268,0.0312669031343803,0.0695131997330918,0,0.102283480814221,0,0,0,0,0,0,0,0
XMR,0,-0.0000485139519429905,0.154053118229679,0,0.108330334538803,0.0952587356294601,0,0.218023281052171,0,0.223457840132,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,-0.00499929015251518,0.202231450496378,0,0,0.291812023887052,0,-1.09059024263171,-0.214721809458063,-0.75271405679311,0.0937084208699739,0.502314162959919,1.12006460893718,0,0,0,0.0912581487313912,0,0.152310523168995,0
CVIX.INDEX,0,-0.00433229440212453,0,-0.55036407864169,0,0,0.310327843217673,-0.197949375501559,0,0.410876211151354,-0.175554665583412,0,0,0,-0.0123950854027899,0.329366112066348,0,0,-0.45189794247275,0.349096191369761
DXY.INDEX,0.0536633509372673,0.000233699879946106,0,-0.11473345709648,0,0,0,0.0354152230734423,0,0.0365003102228496,-0.00377056405887274,-0.0365958061348671,0.0195782423784722,0,0,0.017427899640298,-0.0132845475695574,0,-0.0202505540905782,-0.0121678079421379
SPX.INDEX,0,0.00678707319158752,0,0,0,-0.129711822520107,0,0,0,0,0,0.108518720477248,0,0,0,0.256916528344069,0,0,0,-0.250899911666896
VIX.INDEX,0,0.0288358650018393,0,0,0,0,0,0,0,0,0,-0.169511238597696,0,0,0,0,0.0386094155328866,0,-1.9506184345372,0
