,BTC,XRP,LTC,DASH,XLM,DOGE,XMR,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.201184802993631,0,0.00796161470058306,0.429221455544039,0.175750096182896,0.0112809224441255,0,0,0,0,-0.00526712066579228
XRP,0,0,0.0823015780921619,0.103385435315418,0.332823731858302,0,-0.233186775392941,0.0388248779144917,0,0,0,0,-0.200032989254656
LTC,0,-0.0330913721650866,0,0,0.196961722137746,0.589106668987213,0.127245373210869,0.0697632156746716,0,0.202865151650549,0,0,-0.0732064900934805
DASH,0.643679151807544,0,-0.577388773315245,0,0.253543450237309,0.572891079667247,-0.374492023162626,0.0360470118610346,0,0.3216415859453,0,0,-0.158164845216979
XLM,0.795160337795498,0.677726304664846,0.0232054887229034,0.0781080300724765,0,0,-0.175642092199612,-0.0980014571457589,0,0,0,0,0.0399709260894486
DOGE,0.297517868711961,0.109119882264927,0.111471810922,0.0362253974934633,0.0379761379075063,0,0,0,0.326006352152475,0,0,0,-0.0549873996968014
XMR,0.180080292061297,-0.12977223240334,0.423636715730333,0.000000000000000000867361737988404,0.406371714285402,0,0,-0.0145384815515099,0,-0.464860941015704,0,0,-0.0968196513320247
DGB,-0.214697956797926,0.470930680888056,1.08459919467178,-0.393597637705822,0.439316161988998,0.42824108714155,0.060522426456166,0,-0.000000000000000111022302462516,0.653559926852024,-10.4899477218125,0,0.261552769323459
BV010082.INDEX,0.0984397276517314,0,-0.00237370240242802,0,-0.0658213739055397,0,-0.041850154883304,-0.0125268289034318,0,0.0152576398744358,0,0,0
CVIX.INDEX,0.261974796148889,0.132943536588235,0.0437771756710765,0.0761993481509457,-0.157795174041357,-0.699220043352605,-0.00000000000000000173472347597681,0.0405906500755114,-0.190741360719437,0,1.66463999059333,-0.530402559093123,0
DXY.INDEX,0,0,0,-0.0225021006493548,0,0.0684107867553687,0.0114821913823843,0.00265907340282616,0,0.07162629026878,0,0,0.0188429145627897
SPX.INDEX,0,0.0282465885962028,0,0.0196132641088877,-0.019715916431913,-0.0137696068287883,0,0.00769934547112162,0,-0.0417363585772491,0,0,-0.110548824113339
VIX.INDEX,0,-0.0749966838189678,0,0,-0.195057666049052,0,0,0,0,0.0844024838832257,0,-4.64997777658767,0
