,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XLM,ADA,TRX,XMR,LEO,XTZ,LINK,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0128895153796792,0.16123487619373,0.154398616150378,0,0.188657195201342,0.0227656265611553,0,0,0,0.20803390822357,0,0.00865043918674341,0,0,0,0,0,0
ETH,0,0,0,0.136595582250325,0.0764449501059756,0.258386333487055,0.275070189417684,0.0142848196384702,0,0,0.00487422349165407,0.0690707365849518,0,0,0,0,0,0,0,0.0301989352189754
XRP,0,0,0,0.264178636262692,0,0,0.13697765274394,0.0198711630589567,0.0631155519778547,0.074499561436302,0.0463098263603421,0,0,0,0,0,0,0,0,0
BCH,0,0.224057500483479,0,0,0,0.101200502015688,0.15879535246741,0.19215846641509,0,0,0.240471552025523,0.0425213191102834,0,0,0.0172986516849615,0,0,0,0,0
LTC,0.262723093016202,0.108485786976895,0.0100796503346487,0,0,0.339008757935405,0.00000000000000000346944695195361,0.0841087361125107,0.0202289656237174,0.118116071925509,-0.00000000000000000693889390390723,0,0,0.00776875916098359,0,0,0,0,0,0
EOS,0.101921459392601,0.281644823453993,0,0,0.172988217556379,0,0,0,0,0.214659417684367,0.220758720025539,0.0143224572966477,0,0,0.0396393252414161,0,0,0,0,0
BNB,0,0.49380461753071,0.0652149927134272,0.0528735280240681,0.0694459021406177,0,0,0.0343708792221356,0,0,0.101621415282722,0.0710080730332036,0,0.0744331825399964,0,0,0,0,0,0
BSV,0,0.073446786381744,0,0.405786617087989,0.0210429877037,0,0.057449546783244,0,0.224243841698502,0,0.0768233101456632,0,0,0.0722632288726194,0,0,0,0,0,-0.0971871198938227
XLM,0,0,0,0,-0.00000000000000000173472347597681,0.214745666397416,0.0392169404705148,0.177882439588171,0,0.0330564169197557,0,0.00780309408399448,0,-0.0466087692987949,0,0,0,0,0,0
ADA,0,0.0678722064182041,0.0659218745987218,0,0,0.446075957426097,0.162847629228704,0.00435043468059236,0.0570303871171429,0,-0.0000000000000000138777878078145,0,0,0.0512405589660037,0.0798965044365161,0,0,0,0,0
TRX,-0.20126784334886,0,0,0.370258937396059,0,0.164148573863868,0,0,0.0956923282839638,0.415960084033823,0,0.145987193078646,0,0,0.0636009467193392,0,0,0,0,-0.0853598282435154
XMR,-0.142956036062932,0.0542771707206551,0,0.122015084183355,0,0.286302391481517,0.261245668233491,0,0,-0.128297525295096,0.0382379635360105,0,0,0.103083484507201,0.0416766077814264,0,0,0,0,0
LEO,0.21261757795654,0,0,-0.0549219796563585,0.160318857497153,0,0,0,-0.0666794238528221,0,-0.0262854076759148,0.000000000000000000867361737988404,0,0.138754979581474,-0.251953504147294,0,0,0,0,0.0266982693416474
XTZ,0,0,0.551595978184297,0,0,0,0,0.149101027058341,0,0.213503035470501,0,0,0.298765187020202,0,0,0,0,0,0,0.016106311405607
LINK,0,0.432304679382483,0.643490098023237,0.0476027371344012,0,0.0383116564926975,-0.312527920091778,0,0,-0.0212474454887709,-0.0466122443040454,0,0,0,0,-0.394040378973202,-0.139236406101424,0,0,0
BV010082.INDEX,0,0,0,0.189986124536906,0,0,0,0,-0.343663195888352,-0.0439546026548399,0.124339668296949,-0.0738854178026297,-0.293166199402948,0.00336439864284883,0,0,-0.197767966997567,0,0,-0.0379354628798464
CVIX.INDEX,0,0,0.0238768371720789,0.1050874948204,0,0,-0.131676295914949,-0.00343901157489586,0.0445619220354729,0,-0.0164460862398241,0,0,0.0948012391537418,0.170150000103378,-0.387915942228262,0,0,0,-0.00615739233176731
DXY.INDEX,0,0.0988193217516967,-0.0154648570416345,0.00768210479704473,-0.0206128431992347,-0.044936392672893,-0.0195755191212073,0,0.0112287405815479,0,0,0.00902830306473184,0,0,0.0264920729310287,0,0,0,0,-0.00803483283813205
SPX.INDEX,0,0,0,0.00945030757063175,0,0.0316387560721565,-0.0396227912894399,-0.0160959698186096,0,0.0258632493840973,-0.00502774355704831,0,0,0,0,0.0341059814007465,0,0,0,-0.0769499770463117
VIX.INDEX,0,0,0,0,0,0,-0.18904195651828,-0.0747482203465163,0,0,0.14197365129851,-0.000000000000000000867361737988404,-0.307501754887756,0.0898639736668518,0.0492282756532661,0,0,0,-3.56923943804304,0
