,BTC,ETH,XRP,BCH,BSV,LTC,BNB,EOS,INNBCL,XTZ,LINK,LEO,XLM,XMR,ADA,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.0584767728012414,0,0.160991816777072,0.107758109861636,0.000655827492329627,0.121273345167589,0.0960711444982922,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.193341881154374,0.0127877844073492,0,0,0.226390358434394,0.0016608997300664,0.261237052713683,0.0508571362681534,0,0,0.232748175706618,0,0,0,0,0,0
XRP,0,0.113326469954217,0,0.152696426671709,0.00000000000000000346944695195361,0,0.191759806265018,0,0.000084285881468912,0.00353769167623324,0.0186308601617343,0,0.0244288665118173,0,0.285726633931547,0,0,0,0,0
BCH,0,0.204906827090414,0,0,0.279750704801058,0,0,0.244097082877345,-0.0049972389669599,0.147667575516294,0,0,0,0.0617341429172317,0,0,0,0,0,0
BSV,0,0.000000000000000000867361737988404,0,0.331418714743455,0,0,0.354245820068282,0.333902645031394,-0.00620468801937686,0.000000000000000000433680868994202,0,0,0,0,0,0,0.051195592012526,0,0,0
LTC,0,0.0899726584320322,0.0864483598657604,0.158361113317623,0.0722189289307655,0,-0.00000000000000000693889390390723,0.213809562066821,0.000824208105272348,0,0,0,0,0,0.281677528961189,0,0,0,0,0
BNB,0,0.276081523314799,0,0.290217082263715,0.118290348830033,0,0,0,-0.00777629149676523,0.0946395925512373,0.0416849809872332,0,0,0,0,0,0,0,0,0
EOS,0,0.0517180256319871,0,0.520560102068209,0.143701250473509,0.0776970997310747,0,0,0.00026278114500049,0,0,0,0,0,0.0879430001932593,0,0,0,0,0
INNBCL,0,15.7826696908378,6.15206316861043,0,0,0,-9.3506680200515,-6.01962355455175,0,0,0,-2.05248747509415,8.09790914445908,-16.4868710911938,0,-6.21409919908247,0,0,9.21564089797969,-0.506169929191885
XTZ,0,0.110103739427387,0,0,0.246492094169304,0,0.107473715955262,0,-0.000440479106610868,0,0.484494920781796,0,0,0,0,0,0,0,0,0
LINK,0,0,0,0.0776023397776865,0.182426710522536,0,0,0,0,0.669605322484415,0,0,0,0,0,0,0,0,0,0
LEO,0,0,0,-0.169643132181102,0.125912539889476,0,0,0,-0.00322680863550362,0.0963114682528085,0.00053206172721404,0,-0.00000000000000000173472347597681,-0.0995757876499634,0,-0.0655838381416988,-0.0218605404985722,0,0,-0.0600045624319631
XLM,0,0,0,0.251030965766884,0,0,0,0.260778872891318,-0.00324975980283754,0.142980910385345,0,0,0,0,0.0609927980444148,0,0,0,0,0
XMR,0,0.135634852733578,0,0.07335565944685,0,0,0.148419805609527,0.275892567523075,-0.00177690719338273,0.121171485954002,0,0,0,0,0.121210582130419,0,0,0,0,0
ADA,0,0,0,0.103557319243268,0.00520093914481884,0.398178222758241,0.036606162461642,0.212357974507955,-0.00375327069030337,0.122376028472253,0.0777452550128719,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0.208622793432947,0,0,0.266665636848988,0.286455430563686,-1.0236904288784,-0.988787021028313,-0.0117738399349068,-0.590812097162429,0.409095284072133,0,1.39897370348695,0.218472981056748,0,0,0,0,0.122855853660664,-0.0255080960487351
CVIX.INDEX,0,0,-0.733658210328053,-0.517126256583219,0,1.06594807874552,0,-0.285822214195296,-0.00448011515000677,0.21856979996805,0.155549247764343,0,0,-0.123540686087514,0,0.3535342975618,0,0,-0.463607879506136,0.326553233688504
DXY.INDEX,0,-0.000000000000000000867361737988404,-0.143680980905818,0,-0.000079865918617059,0,0.0676966659847811,0,0.000390783774092489,0.066248235194317,-0.0549857010165721,0,0.0399757661840247,0,0,0.0338455303563891,-0.00911616201812434,0,-0.0332177136535178,-0.0189998623769955
SPX.INDEX,0,0,0,0,-0.136587506437122,0,0,0,0.00347849493944486,0,0.157524454678578,0,0,-0.0534852355814819,0,0.248737210407991,0,0,0,-0.221596658210301
VIX.INDEX,-0.475738520274649,0,-0.232865026176061,0,0,0,0,-0.135323851102719,0.025600095320833,0.869158987106611,-0.139921107073914,0,0,-0.325582120277235,0,0,-0.116910521600513,0,-2.07013385789351,0
