,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,MIOTA,TRX,ETC,DASH,NEO,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.111715510494021,-0.068499149556083,0.117266083376881,0,0.0626651290398268,0.12422499922009,0,0.275321816771765,0,0,0.0672297593961483,0,0,0,0,0,0,0,0.0652459531619066
ETH,0.0645095349367651,0,0,0.112892242900642,0,0,0.109266912367459,0.00108640101191374,0.105388754050719,0,0.0843867876938828,0.113212008105033,0.108187565394112,0.125985500424749,0.115792574450803,0,0,0,0,0.0353907818850698
XRP,0,0,0,0,0.387395969474862,0,0.0188295503109307,0,0,0.249810026111634,0,0.0603290039079795,0,0,0,0,0,0,0,0.0245425246595291
BCH,0.106346780028853,0,0,0,0.260077994231642,0,0.240337931822236,0.168126138988987,0.087558897490757,0,0,0.00688722038278996,0,0,0,0,0,0,0,-0.00499106135992961
EOS,0,0,0,0,0,0.214708790359389,0.599075552313191,0,0,0.022875516491901,0.259552498775208,0,0,0.13162158170867,0.0839961780551849,0,0,0,0,0
XLM,0.267596032230755,0,0,0,0,0,0.00306125165892668,0.394964643284533,0.173660582389807,0,0.0813092981132875,0,0,0.12945447472777,0,0,-0.0890076107669436,0,0,0
LTC,0,0,0,0.400257971319033,0.238847522541595,0,0,0,0,0.0673926458851305,0,0.0732195013010985,0,0,0,0,0,0,0,0
ADA,0,0,0,0.310936724098273,0,0.280265779671705,0,0,0,0.109528455770338,0.122589342902824,0.0410846343525146,0,0,0.0475543293770581,0,0,0,0,0
XMR,0.204226652383637,0,0,0.259072493342414,0,0.0308495197456945,0,0.162911279308425,0,0,0,0.150161026965047,0,0.150360993178714,0,0,0,0,0,0
MIOTA,0,0,0.0708389199437014,0,0,0.189017562852547,0.29695603976076,-0.192973151205832,0,0,0.108509323776145,-0.0658209221017316,0,0.711934145027335,0,0,-0.0824297756594469,0,0,0.0115292914866287
TRX,0,0,0,0,0.195731710024692,0,0,0.101431184428042,0,0,0,0,0.29460035341185,0.168830297583665,0.201724582368442,0,0,0,0,0
ETC,0.0872693971421284,0.407600860236765,0,0,0,0.151199504534834,0,0,0.0295040094184194,0.304745776074713,-0.0306517175404424,0,0,0,0,0,0,0,0,0
DASH,0,0.319472662594657,-0.0350279618774883,0,0,0.0309631457029009,0,0.14642477764713,0,0,0.375752851880098,-0.00000000000000000173472347597681,0,0,0.0876734874565111,0,0,0,0,0
NEO,0,0.298926297937145,0,0.0724346996564051,0,0,0,0.132093293148267,0,0.379149384149318,0.259980600652335,-0.0925074820763102,0,0,0.069473704026551,0,0,0,0,0.055317121043267
BNB,0,0.517789186911567,0,0,0,0,0,0.0285590469102687,0,0.24032363965722,-0.00000000000000000173472347597681,0,0,0.0183983355370224,0,0,0,0,0,-0.0464626609275564
BV010082.INDEX,0,0,0.0457842676617738,0,0,0,-0.147461544235402,0.0731053786654197,0.0601462515868734,0,0,0.0297685101589083,0,-0.0108675771118918,0,0,-0.0603432765611431,0,0,-0.0369386855452936
CVIX.INDEX,-0.0711720180764951,0,0.0283460626502801,0,0,0,0,0,0,0,0,0.0947113332358762,0,0,0.193375764694483,0,0,0,0,0.159115242029096
DXY.INDEX,0,-0.0485910294233405,0,-0.0154613367398873,0,0.0102264547186642,0,0,0.0160789110605679,0,0,0.0364821312894719,0,0.00000000000000000010842021724855,-0.00605678730487965,0,0.137903184316689,0,0,-0.00167951660889879
SPX.INDEX,0,0,0,0,-0.00811229883543479,0,0,0.00824294975585686,0,-0.0133097581107199,0,0,0,0,0,0,0,0,0,-0.0624857554356
VIX.INDEX,0.83503467381391,0,0,0,-0.0501355695983972,-0.109964927755921,0,0,-0.365530261689975,0,0,-0.138302248283361,-0.22500893793053,0.112679583677856,0,0,0.31549211673237,0,-0.633923235508801,0
