,BTC,ETH,XRP,DASH,LTC,XMR,ETC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.257852986436744,0.384761642902536,0.129861010965083,-0.0249796353443858,0.127394185282402,0.080679680496982,0,-0.134996704991117,0.0663557565945739,0.0865143106589418,0,0,0,0,0
ETH,0,0,0,0.177765931080788,0.211463870707902,0.00540747437382417,0.0805904233321925,0,0.0621546651273104,0,0,0.0875506699291547,0.19042676963749,0,0,0,0,0
XRP,0,0,0,0.0170956902495686,0,0.0483870256519486,-0.0399598203294204,0.0682931455241249,0,0.520367409968866,0,0,0.0544236859384706,0,0,0,0,0.10122534413535
DASH,0.450516612826159,0.562168219642698,0,0,0,0.200876440148225,0,0,0,0,0.149170402961955,0.0900745383443997,0,0,0,0,0,0.073779083737002
LTC,0.780052783414013,0,0,-0.136866079937644,0,0.0737420668397144,0.0547615750408188,0.0106727919299304,0,0,0.0921128951991465,0.0847496200054165,0,0,0,0,0,0
XMR,0.713766937166946,0.301603166325804,-0.255483895784202,0,0,0,-0.0842655021333778,-0.0341979373697186,0,0.0662987923151575,0.101475039325255,0,-0.144679493646468,0,0.50766323335912,0,0,-0.149637157882453
ETC,0.138333420396247,0.318044388369155,0,0.0751190825045236,0.304794485683821,0,0,0,0.0714400578384351,0,0.242044213490874,0,0.0653729902744185,0,0,0,0,0
XEM,0,0,0.288720976616778,0.134562012320456,0,-0.0873648071345015,0.0991920727966749,0,0.423281599010525,-0.977334378738617,0.391760243865802,0.174273546760087,-0.0942717413948042,1.06299918237356,-0.450598777404908,0,0,0.157415926553037
ZEC,0.199715875863593,0.130850216016719,0,0.116218424173568,0,0,0.169842633404141,0,0,0,0,0,0.0443494577368669,0,0,0,0,0.0413725126710609
DOGE,0.0194284653924988,0,0,0,0.136439702877401,0,0.102220822075334,0,0.0461446421825975,0,0.161028704917776,0.00787344282273339,0,0,0,0,0,0
XLM,0,0,0,0,0.141479957983874,-0.0289098934161391,0.278414742843862,0.018525145454355,-0.0847295558509908,0.0603909073930855,0,0.102432998913832,0,0,0,0,0,-0.126663235900783
NEO,0.433959999636724,-0.183759470033535,0,-0.114608498884281,0.153102200245475,-0.0629988871436441,-0.05320724493129,0,0,-0.000000000000000000867361737988404,0.253058438357459,0,0.195191592589693,0,0,0,0,-0.26810680436427
DGB,0.27872460996015,0,-0.18209773939581,0,-0.718604341645791,0.244540409527956,0.131978355297256,0.10538813448427,0.208384203265159,0,0,0.559166347056608,0,0,-0.454339576075686,0,0,0.0533813089894432
BV010082.INDEX,-0.209174708831277,0,0,0.0707275059652892,-0.0256915024996444,0.106407733065334,-0.0400544885992723,-0.0119895978989865,0.0336780313212103,0.195601222840574,0,-0.0086673418782206,-0.0290776515751835,0,-0.0407109638945081,0,0,-0.0423366373622928
CVIX.INDEX,0,0.10901979929788,0,0,0,0.0551147650371917,0,0,0,0,0,0,0,0,0,0,0,0.0753319084086481
DXY.INDEX,0,0.00157733000191078,-0.0356829432178881,0.013543561871813,0.0179179482056378,0,0,-0.00226519744167633,0,0,0,-0.00975415408477487,-0.00242591564117004,0.139124739048264,0.0289456190843377,0,0,-0.0126040805106183
SPX.INDEX,0,0,-0.00363237356188513,0.00200773106232505,0,0,-0.00886376659217301,0.00509167244712952,0.00402396579891069,0,0,0,0,0.0443166576477587,0,0,0,-0.0549733615574125
VIX.INDEX,0,0,0.0713536877600991,0.0459724655489627,0.180140124226037,0.0718816465506317,-0.337010776887288,-0.121829630491554,0.0762114726801926,0,0.0440607330204294,0.0701425402453708,0,0.232910433341292,0.0587103731143566,0,-6.62182696971336,0
