,BTC,ETH,XRP,BCH,ADA,LTC,XLM,NEO,EOS,XEM,MIOTA,DASH,XMR,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0.167284002028214,0.0166903148448927,0.101590414266982,0,0.0517806057944396,-0.0111378823591753,0,0,0,0.116784403060703,0,0,0,0,0
ETH,0,0,0,0,-0.0338403982522457,0.264182334363845,0,0.133200355042436,0.0280902320080012,0.109105495776099,0,0.0690083068462869,0,0.0370903382747473,0.20281387926416,0,0,0,0,0
XRP,-0.201827689823166,-0.17880845498535,0,0.0156848105183183,-0.0689770153065311,-0.0725433656279946,0.362246070122783,0,0.26214840704589,0.311883506558619,0,0,0.295140225682542,0.0633770094380442,0,0,0,0,0,0.0513458091461741
BCH,0,0,-0.090654522157408,0,0,0.14606341755788,0.0401411244566282,0.181246448975874,0.174748188287323,0,0,0.28911771351661,0.141048735318096,-0.00574345115890702,0.071560033304907,0,0,0,0,-0.00179254734714943
ADA,0,0,0.0847388224808467,0,0,0,0.204973668209764,0.0750374144525845,0.00000000000000000346944695195361,0.179917727562417,0,0,0,0.0676478980061722,0,0,0,0,0,0
LTC,0.566566706863483,0.0562612293035592,0,0,-0.069760862649818,0,0,0,0.0731916319837597,0,0.158809108931293,0,-0.0282861204687969,0.0069071723791472,0.0288881031883549,0,0,0,0,0
XLM,0,0,0.230318237248215,0,0.222577861470538,0.0739762318142612,0,0.126254088653553,0,0.128380395467615,0.0723886417088326,0,0.243026631457641,-0.166747928980471,0,0,0,0,0,0
NEO,0,0.405374773919125,0,0.0626622010572438,0.0520088676734767,0,0.137756504489127,0,0,0,0,0,0.0892874300534339,0,0.157003384907372,0,0,0,0,0
EOS,0,0,0,0.216594374484465,-0.000000000000000000867361737988404,0.380354407635513,0,-0.186152738252952,0,0,0.193201964292064,0,0,0.172394760200891,0.237182440079243,0,0,0,0,-0.0936154082537301
XEM,0.0723033772697743,0,0.192139153387198,0.0691899801694407,0,0.0604323103863222,0.223090389732599,-0.00000000000000000173472347597681,0.0346094768208071,0,0.0909722984774823,0,0,0.0342774667507586,0,0,0,0,0,0
MIOTA,0,0,-0.136257240101508,0,-0.00292295937638661,0.104164707028088,0,0,0.181003120975534,0.220497682975081,0,0,0.00000000000000000173472347597681,-0.101365834981099,0.484240651228958,0,0,0,0,0
DASH,0,0,0.0443571828750956,0.0207645110464148,0,0.10766035690032,0,0,0.0285920898503725,0,0,0,0.177067784676521,0,0.275977519513424,0,0,0,0,0
XMR,0,0,0,0.223009458326947,0,0,0.0201562318661672,0.126828256200089,0,0,0,0.135318011136039,0,0.0491285341448758,0.17365296881124,0,0,0,0,0
TRX,0.440438897907949,0,0.146392258581902,0.297332810824137,0,0,0,-0.312213813176544,0.157669711292184,0,0.0595961784649944,0,0.200075812571749,0,0,0,0,0,0,0
ETC,0,0,0.085803192513865,0.0643602273498225,0,0,0,0.0452882919563343,0,0,0.272972771093165,0.111007169824894,0.202243451245571,0.0794407315540693,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,-0.0321457279972758,0.0144610059180515,0,0,0,0,0.00381445670829736,0,0,0,0,0,0,0,0,-0.0372338448539409
CVIX.INDEX,0,0,0,0,0.0351122223645951,0,0,0,0,0.0362283124946289,0,0,-0.0543207553958539,-0.00812718722574117,-0.0416693339130369,0,0,0,0,0.0366635140086396
DXY.INDEX,0,0.00366619929251035,0,0,-0.00379903515104124,0,0,0,0,-0.00280281202834559,0,0,0,0,-0.00385372356065828,0,0,0,0,-0.0157346577682224
SPX.INDEX,0,0,0.00416526631041683,0,0,0,-0.0119692835355307,0.0193871052852096,0.015167069993134,0.00998326281231757,0,0,0,0,-0.0373837760656301,0,0,0,0,-0.0655288848865634
VIX.INDEX,-0.284908754259274,0,0,0.0914971489902924,0,0.124099206089337,0,0.027908615895947,-0.0482279979024582,-0.0780181084937499,0,0,0,-0.0246540989109775,0.116220288871717,-2.20890046135993,0,0,0,0
