,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,NEO,XMR,DASH,XEM,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.104843802745324,0,0.171039875877908,0.0522181514154145,0.00684676233398678,0,0,0.181385372665712,0.0308217524936904,0,0,0.0425546636332544,0.0547151257697504,0,0,0,0,0,0.0454777209299226
ETH,0,0,0.218626658550303,0.22742846058847,0,0.255474093289915,0,0,0.0298058170123522,0,0.0340964442792121,0,0.0551888491650297,0,0,0,0,0,0,0.0457929884593064
XRP,0,0,0,0.214762176148021,0.052079113602251,0.0558193296511695,0,0.156729256928925,0,0.108660468105007,0,0,0.0562945869276993,0,0.0423438273310216,0,0,0,0,0
BCH,0,0.343746325271619,0.0891214784329174,0,0.0422770671026808,0.166100738818233,0,0.168715417359173,0,0.0280376620823046,0.00951796954915846,0,0,0.0841665907953115,0.0346747409261145,0,0,0,0,0
EOS,0,0,0.242774368524109,0,0,0,0,-0.0843884143558551,0,0,0.125312394881313,0.0626230079173553,0,0,0.251132101097722,0,0,0,0,0
LTC,0,0.315826009004524,0.0446016041562298,0.227528248817286,0,0,0,0.0636427837460619,0.130082534162072,0.0395473251428339,0,0,0,0,0.0521869106824443,0,0,0,0,0.0150329663358701
ADA,0,0,0.346137463567191,0,0.113475019792719,0,0,0.012919953267653,0,0.14640263864725,0.177955945034265,0,0.118768068692578,0,0,0,0,0,0,0
XLM,0,0,0,0.0952360277553698,0,-0.0289244711363474,0.0904394560818565,0,0.27747336498631,0.00000000000000000346944695195361,0.0951018176534025,0.218595892774047,0.249947962211827,0.0119136532538975,0,0,0,0,0,-0.0596268600637385
MIOTA,0.0252111356027231,0,0,0.242711292316226,0.00000000000000000346944695195361,0,0.161990998168573,0,0,0.284593230831709,0.0368631847599972,0,0.0890796169757931,0.1178091820098,0,0,0,0,0,0
NEO,0,0.304505977794255,0,0,0.0116440518328816,0,0.0534960326364296,0.101614385061259,0.0732158967007204,0,0.139119334860605,0,0,0,0.202194793510119,0,0,0,0,0
XMR,0.614265678477224,0,0,0,0,0.0687942504983899,0,0,0.0111085213225473,0.189323589364029,0,0,-0.0535528278429913,0.138926223436841,0,0,0,0,0,0.0389799615518209
DASH,0,0,0,0.0691146688584427,0,0,0.0864851010764387,0,0.139549294568694,0.192132370220356,0,0,0.0891356470979806,0.107484308262031,0,0,0,0,0,0.0618857610911781
XEM,0,0.167094784004405,0,0,-0.0653597845214274,0,0.2813657158047,0,0,0.440333352157257,0,0,0,0.131607887728263,0,0,0,0,0,0
TRX,0,0,0,0.364356354243491,0,0,-0.0616991126810654,-0.327812731366808,0.288969939792582,0,0,0.631687232771205,0,0,0.0213379502635673,0,0,0,0,0.0184196117230828
ETC,0,0,0.146918851195496,0,0.193214760632599,0,0,0.0596650986633311,0.27244234133238,0,0,0,0.120891866373696,0.0926821872784269,0,0,0,0,0,-0.0269261678668484
BV010082.INDEX,0,0,0,0,0.0242353543547135,0,0,0.0159819696177633,0,0,0,0.101516619641049,0,-0.040155060467922,-0.014171665212614,0,0,0,0,-0.0659360635956112
CVIX.INDEX,0,-0.0955027294954046,0.0270322234262193,-0.100558287407386,-0.0830973099956931,0,0.104271731257915,0.144131245382374,0,-0.0526558984025985,-0.0975573293313624,0.2880333459169,-0.251166542132487,0.054425704368938,-0.00158620696531021,0,0,0,0,-0.0104190028077678
DXY.INDEX,0,0.00243579033936813,0.00888453832604131,0,-0.00326728182740482,0,0,-0.0369835145964834,0,0,-0.00411841125659207,0.0468156885637624,0,-0.0107380346203398,0.00402073667860459,0,0,0,0,-0.00218242503375627
SPX.INDEX,0,0,0,0,0.0145869077481077,0,0,-0.0308305429121401,0,0,0,0,0,-0.0322164250922613,0.0232241838388217,0,0,0,0,-0.101284463242303
VIX.INDEX,0,0,0,0,0,-0.0670731578353979,0.000000000000000000867361737988404,-0.172724309370537,-0.0560937050831418,0,0.00716270123044137,0.210241589956092,0,0.153718213205724,0,0,0,0,-3.99739482931938,0
