,BTC,ETH,XRP,LTC,BCH,EOS,BNB,BSV,ADA,XLM,TRX,XMR,DASH,MIOTA,ATOM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.00573573139669984,0.125948948090027,0.1088646376837,0.0956426269255132,0,0,-0.0475707509644031,0,0.134557697676429,0.212167410075657,0,0,0,0,0,0,0.0511493269221624
ETH,0.247044498435294,0,0,0,0.0203593475954085,0,0.0152057898040252,0.0240790736812755,0.303675394622762,0,0,0.217235630644552,0,0,0,0,0,0,0,0
XRP,0,0,0,0.13186479304618,0,0,0,0.0190002812581399,0.11865462578092,0,0.102036003349454,0.174788118304537,0,0.210395289210089,0.0387122060111545,0,0,0,0,0
LTC,0,0,0,0,0,0.251087736281141,0,0.0268893003719528,0,0,0.222013973853204,0.270805113929456,0,0,-0.0222429273921883,0,0,0,0,0
BCH,0.527110538412725,0,0,0.22132137979247,0,0.0628608285942244,0,0.0423471291632146,0.0900727631729559,0,0,-0.0000000000000000000135525271560688,0,0,0,0,-0.0384585139770315,0,0,-0.00534661875056226
EOS,0.148104781041345,0.29832924278833,-0.0000000000000000138777878078145,0.150495624632523,0.261836312196853,0,-0.01478579064938,0,0,0,-0.0120506866236299,0,0,0.141247305697817,0.0314303495609023,0.514997400128333,0,0,0,0
BNB,-0.40186962540708,0,-0.0863172239713756,0,0.331518542461444,-0.115943716577278,0,0,0.244552953679483,0,0,0,0.160100516458366,0.196680349456251,0.084987533743304,0.0457315735152297,0.00000000000000000693889390390723,0,0,-0.0472266498636733
BSV,0.769470743495399,0.279561515907083,-0.12446698449699,0.202878563431365,-0.513491634726661,0.104922638138981,-0.128433401795051,0,0,-0.414983311685969,0.321299620109375,0,0.487203615221842,0.082891966655132,0.0560887098650531,0,-0.52150030992137,0,0,0
ADA,0,0,0,0.255661099128141,0.105201205118914,0.133296048924537,0,0.0168409062198182,0,0,0.0221277739084267,0.0958311901469426,0,0,0.00415188109430383,0,0,0,0,0
XLM,0,0,0.460676744709003,0,0.0269405357842854,0,0,0.00573663276781135,0.168354393019592,0,0.0329600633079641,0,0.0156439940942044,-0.00000000000000000346944695195361,0.0271568190508872,0,0,0,0,0
TRX,0,0,0,0,0,0.381304629920486,0,-0.00796393750184699,0.383305775354929,0,0,0.109922168542564,0,0,0.0496066457464584,0,0,0,0,0.198939597986301
XMR,0.254246215701879,0,0,0.0838034166998118,0,0,0.0950505086177359,0.0110052537949431,0.335978470672337,0,0,0,0.0187023537788234,0,0.0204738813926175,0,0,0,0,0
DASH,0,0,0,0,0.08732891847119,0.043257697815479,0,0,0.0960333405637152,0.227675691305698,0,0.109665074161364,0,0.143939516015513,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0.164347926797496,0.222590939983858,0.0484147022931892,0.0726887777150038,0,0,0.343893295269248,0,0,0,0,0,0,0,-0.0251180553918888
ATOM,-0.582119387405723,-0.119645132445169,0,0,0.0320735118739684,0.410715079262928,0.24283902737466,0.103152210992069,-0.230043170371631,0.810936197660326,0.0592081000019708,0.488862534142494,0.244403246474798,-0.577120565978587,0,0,0,0,0,0.0386980589796664
BV010082.INDEX,0,0,0,-0.153752651344178,0,0.106034635912153,0.0429622503739066,-0.00938050024339606,0.193236836946648,-0.228679933325049,-0.295867683906485,0,0.230866981193941,0.134353883516711,0.0868818188944622,0,0,0,0,-0.0649981642782017
CVIX.INDEX,0,0,0,0,-0.120488016507547,0,0,0.00945012539314884,-0.238112756775696,0,0.178970020577118,0,0.305248084772134,-0.0994870844757441,-0.108310748127777,0,0,0,0,0.0270915580843794
DXY.INDEX,0,0.0335973118801925,0,-0.00525615833974603,0,0,0,0.000691653660207666,0,-0.00489650142940577,-0.0221690967786979,-0.00312390850018393,0,0,0,0.0413387200871592,0,0,0,0.0148834913406463
SPX.INDEX,0,0,-0.0201571468541731,0,0,0,0,-0.00453963204141646,-0.00372677286114952,0,-0.00000000000000000010842021724855,0,0,0.00157519558857935,-0.0143294502923771,0.0306691400327907,0,0,0,-0.0584049435104632
VIX.INDEX,0,0,-0.00000000000000000346944695195361,0,-0.0550543896478033,0,-0.035621369301268,0.089089049652264,0,-0.665913911547593,0.332534173760677,-0.209185739677503,0.53300383789062,0,0.109604280091849,-0.265272232635973,0.305008591759465,0,-4.0111221023939,0
