,BTC,ETH,BCH,XRP,LTC,DASH,NEO,XEM,XMR,MIOTA,ETC,ADA,ZEC,EOS,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.0646134664310006,0,0,0.226031301143859,0,0,0.163876617708034,0,0,0.0697606063094036,0,0,0,0,0,0
ETH,0,0,0,0,0.203740500585706,0,0.0320270373577026,0.0968342198593977,0.203238563721171,0.15535380493421,0,0,0.0341599561583573,0.00859068754034593,0,0,0,0,0,0
BCH,0,0,0,0,0,-0.00571795698101064,0.0654267924683945,0,0.392709822575739,0,0.339138502064491,0,-0.0863316133134084,0.0545386693162922,0.0481313082821287,0,0.233829885803459,0,0,0
XRP,0,0.359352210120238,0,0,0,0,0.0200269695979429,0,0.183566911574536,0.110493651630245,0,-0.054535504418251,0,0,-0.00922745337833409,0,0,0,0,0
LTC,0.146650345410925,0,0,0.265513714139563,0,0,0,0.132488431384964,0.0111149156574107,0,0.561232866782576,-0.0406589365962144,0,-0.00635438742488121,-0.00717806080689844,0,0,0,0,0
DASH,0,0,0.0658715536251275,0.0442533959331934,0.185138312146507,0,0,0.0886347879281488,0.159705303960137,0.0902730484633579,0,0,0,0.0661787336584504,0,0,0,0,0,0
NEO,0,0.468613792721299,0.128078642478449,0,0,0.0145947604828158,0,0,0.489452195204575,-0.192423641288657,-0.116278456562448,0.0142890380029447,0.352807112514569,0.116764737899954,0.169885904705133,0,0,0,0,-0.256790998008171
XEM,0,0,0,0,0.168206706660931,0.151916636122846,0.0782423695534945,0,0.50200371792943,0.148056283026134,0,0.033922067831391,0,-0.0279601519975502,0.0224603361275691,0,0,0,0,0
XMR,0,0,0.0118680935610505,0.0744308588773338,0.145909918517383,0.193516218547658,0.0735708374740229,0.261773749593179,0,0,0,0,0.11276344786136,0.0236661159066904,0,0,0,0,0,0
MIOTA,-0.133748537750352,0.488295850690385,0,0,-0.496588708007465,0,-0.15739252535524,0.338893540660461,0,0,0.370322795103801,0.147635664395047,0.212378235029392,0.337509563753875,0.00891739130013472,0,0,0,0,0.0644498368105407
ETC,0,0.0598338457186111,0.10329146905258,0,0.609838795044667,0,-0.000000000000000000433680868994202,0.0761979344312332,0,0.134373141098792,0,0,0,0,0.0419330961028249,0,0,0,0,0
ADA,0,0,-0.108522297606616,0.405023157775535,0,0,0.102612725142727,0.154979300137483,0,0.397605214543748,0,0,0.0938839744719418,-0.464869785629479,-0.256516319773018,0,0.594081972129532,0,0,0
ZEC,0,0,0.0176009139658962,0,-0.0000000000000000138777878078145,0.0569724812962393,0,0.246800246220543,0,0.23050226193937,0,0,0,0.136675323643837,0.0341447973346712,0,0,0,0,0
EOS,0,0.273166412859024,0.100123070551146,0,-0.00000000000000000346944695195361,0,0.11395007212303,0,0,0.0892147304502627,0,-0.115875065238262,0.475099603676799,0,0.0430766795684305,0,0,0,0,0
XLM,0,0,0,0.138655202729729,0,0,0.224020318664795,0,0,0.633141447706277,0.0841731697559184,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0.0290685308250095,-0.0336792606705163,-0.0000000000000000000271050543121376,0,-0.0374786407188158,0.0303988324206491,0.000896731224249377,-0.0884434471327863,0.00504594226467018,0.018349000427251,0.0000000000000000000271050543121376,0,0.0422482081687729,0.00784887653704792,0,0,0,0,-0.0719351607962579
CVIX.INDEX,0,0,0.09468061866612,0,-0.00902527389346075,-0.106344965731125,-0.0125712278861488,0.0876257777861758,0,0,0,0.0208446681531425,-0.00636845661492773,-0.0642076710667224,0,0,0,0,0,0.012366768514978
DXY.INDEX,0,0,0.00918118654818013,0,0,-0.0329267385374182,0.00687251955452768,0.000000000000000000433680868994202,-0.00171657407016711,0.00737069469670324,0,-0.00140710183913028,0.00754947262869929,0,0.00191678159714732,0.0179110063228459,0,0,0,-0.0135356606698201
SPX.INDEX,0,0,-0.000649054566917066,0,0,-0.0000000000000000000542101086242752,0.00162706594551434,0.000367421773294763,0,0.00448157919670842,0,-0.00240098707317461,-0.0100270876721579,0,0.00061919516285715,0,0,0,0,-0.0358743230768782
VIX.INDEX,0,0,-0.0115504676538957,0,0,0,0.000803287015166423,-0.0513982371526617,0,0.184821555124205,-0.13509932287108,0.0566306731728391,0.220800805247907,-0.117325515199232,0.0414865024256131,0,0.210019111324898,0,0,0
