,BTC,ETH,BCH,XRP,LTC,XEM,DASH,XMR,MIOTA,ETC,NEO,ZEC,XLM,EOS,BAT,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.0948540500700033,0,0.0607451559977582,0.0305188007981208,0.0127349364181869,0.0443715123487261,0.0422953135581651,0,0,0,0.0886496789334229,0,0,0,0,0
ETH,0,0,0,0.0714308836115961,0,0.0622847411313453,0.0817197827175537,0.0610123140807124,0.0980628918865707,0.136735817145014,0,0,0,0.0829317055896927,0.141703979847361,0,0,0,0,0
BCH,0,0,0,0.360492737798327,-0.673818200577681,0.857879165015084,-0.0000000000000000277555756156289,0.173092731475566,-0.629357684604435,0.395671179764835,-0.0482490062018845,0.606164589133163,-1.16226446560235,0.590068594215038,0,0,0,0,0,-0.160591022914643
XRP,0,0.263280479255471,0,0,0,0.129950022180561,0,0.0756176905893415,0,0,0,0,0.0458847316157177,0.0467792742984576,0.0809413830910287,0,0,0,0,0
LTC,0,0,0.0474802217553367,0.0440341136118645,0,0,0,0.00385754761862242,0.0213504400602095,0.148449440868576,0.0304170984820709,0,0.0856891775167871,0.14919886413232,0,0,0,0,0,0.0363726474592017
XEM,0,0.13448214272853,0,0.157518724871878,0,0,0.479602089589692,-0.173334248933735,0,0,0.0855100911835549,-0.123023177748828,0.28378545693626,0,0.0413708315043945,0,0,0,0,0.0650505196190105
DASH,0,0.0320393279551373,0,0,0,0.146351001185783,0,0,-0.00000000000000000173472347597681,0,0.0339331791970551,0.259446040042232,0,0.113971287274318,0.0664439782430092,0,0,0,0,0
XMR,0,0,0.055348622503309,0.243026741151265,0,0,0.176863073261834,0,0.05001038546169,0,0.0405276019106153,0.0810148392855878,0.130454505106823,0.0350897033571654,0,0,0,0,0,0
MIOTA,0.289068177918229,0.169150997057637,-0.0750745943613581,0,0,0,0.361847151584555,0.0808874271828447,0,0,0,0.134723062016256,0.239414873827558,0.296556545482229,0.00000000000000000346944695195361,0,0,0,0,0.0952662356114036
ETC,0,0.288931527169043,0.0036516400727807,0,0.290054218007245,0,0.0353618430377991,0.0426334542563885,0,0,0,0,0,0.0750892422447424,0,0,0,0,0,0
NEO,0,0,-0.0321241735535681,0,0,0.137567327419357,0,0,0,0,0,0,0,0.670313637032454,0,0,0,0,0,-0.163238242059637
ZEC,0,0.109939125778678,0,0,0,0,0.0544170637897648,0.0656069772160737,0.195440808707228,0,0,0,0.123097221443151,0.0265083103097611,0.0306826781963342,0,0,0,0,0
XLM,0,0.00470940454016738,0,0,0,0.159280691542886,0,0.212061579192399,0.0290471774172101,0,-0.0311278916436373,0.231512196238715,0,0.237395787984066,0.211470264391773,0,0,0,0,0
EOS,0,0.23938317737916,0,0,0,0,0,0.129701641886899,0.155920890220848,0.25814713374634,0.164266702545091,0.163773870065728,0.0273494759653264,0,0.0152531253588923,0,0,0,0,0.0765494644819279
BAT,0,0.116208330921959,-0.0333945826719738,0,0,0.157144258761841,0,0,0.033070227244305,0,0.176071184735867,0.249493366871909,0.274087407526017,0.0616262097588471,0,0,0,0,0,-0.135091996486191
BV010082.INDEX,0,0.0239535880838607,-0.0183372438501946,0,0,0.0148482750563851,0,0.0130095345703528,-0.0458191033607397,0,-0.0159127998755702,0.0418865767252495,-0.0233685743916327,0,0.0148226129067905,0,0,0,0,-0.0500611195904074
CVIX.INDEX,0,0,0.00852110641778409,0.0542310052279035,0,0,0,0.0272895253866434,0.0487789336612436,0,0,-0.0333270182108306,-0.0485336185176642,-0.0376762624049904,0,0,0,0,0,0.0547866933475579
DXY.INDEX,0,0,0.000937624980469034,0.00198187148172182,0,0,0,0,0.00372778787675544,0,0.00566892835719404,-0.00235086300433762,-0.00496469135738047,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,-0.00619397407564686,-0.00626163043287823,0.0010518893774659,0,0,0,0,0,0.00266478976908163,0,0,0,0,-0.0497726909818349
VIX.INDEX,0,0.0924788949077434,-0.0452503331735515,0,-0.171732325741518,0,-0.241588427927341,0,0.119377279391823,0,-0.063081154517464,0,-0.092915775429844,0,0.208821087891553,0,0.334303326116366,0,0,0
