,BTC,ETH,XRP,LTC,ETC,DASH,XEM,XMR,MIOTA,EOS,ZEC,NEO,DOGE,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.000446330832320109,0,0.0460725124345165,0,0.037736743607326,0,0.203642660656425,0,0,0,-0.0244133711688881,0.00000000000000000010842021724855,0.0000000000000000000542101086242752,0.0390937885184074,0,0,0,0,0.0835281234641458
ETH,0,0,0,0,0.248037482817796,0.0546423032749088,0,0.0469359772817643,0.0628586068642536,0.00434838195651055,0.0894215498694156,-0.0278385358356893,0.132028576383061,0,0.027603772369224,0,0,0,0,0.0800046985616128
XRP,0,-0.392512580312469,0,0,-0.101146435333943,0.295582187504131,0.0337958049432172,0,0,0.038141533703033,0.188669722186067,-0.0944607203240201,0,0.595433569464893,-0.00463957446247373,0,0,0,0,0
LTC,0.0324557221840178,-0.0656844656663821,-0.202528062109755,0,0.00000000000000000346944695195361,0,0.224761964260351,0.21765004272985,-0.021944269455283,0,-0.0318332128455596,0.122490218309952,0,0,0.029550769429486,0,0,0,0,0
ETC,0,0.203317182018104,-0.153982874415301,0.245553131649432,0,0.201251152112879,0.00135141864549299,0,0,0,0.00553055248905108,0,0,0.10650864177828,-0.0407384535688986,0,0,0,0,0
DASH,0,0.138333141782776,0.0632859063489164,0,0.160881006617287,0,0,0.314192879343285,0,0,0,0.0858171808780226,-0.0132346803410827,0.0534991249424381,-0.0169874480367669,0,0,0,0,0.135420584372944
XEM,0,0,0,0.115929769493832,0.0523664835221482,0,0,0.011823007814964,0,0,0,0.0317290902496023,0.229416320535235,0.273305484347021,-0.0390628558961194,0,0,0,0,0
XMR,0,0,0,0.148440645189221,-0.0247873538214114,0.492019281273196,0.104352140119493,0,0.0438831840090901,0.0176193588639948,0,-0.126614319269462,0,0.140898190227278,0.0133225501632696,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0,0,0.0525987808212541,0.259810104830654,0.113374365172688,0,0.215335831590159,0.0681965371705461,0,0,0,0,0
EOS,0,0.202687730205592,0,0,0,0,0.167257700342471,0.0102706940545482,0,0,0.149380641838516,0.115377657540966,-0.0285219172424007,0,0.106793966697434,0,0,0,0,0
ZEC,0,0.198602784290148,0,0,0,0,0.0740598060634561,0,0.0989132653624814,0.00345840979885794,0,0.0573502673007907,0.163928335817972,0.110437416488853,0.0223662971875724,0,0,0,0,0
NEO,0,0,0,0.524847127004345,0.324482795748019,0.118623083403069,0,0,0,0,0,0,0,0,0.12631438550795,0,0,0,0,0
DOGE,0,0.169095245879227,0,0.25632977308828,0.0823865184355355,0,0.269975703332765,0,0,-0.0522147349879105,0.0779830555881138,0.016145642719752,0,0,0.0518276868093905,0,0,0,0,0
XLM,0,0,0.557121264950385,0,0,0.249960476110192,0.0430391698152191,0.322112239752698,0.262977341023764,0.0921730359736136,-0.229910045193469,0,0,0,0.0719678446812134,0,0,0,0,0
DGB,0,0,0,-0.123529123424477,-0.071659973726048,-0.343279169692268,-0.309681811618345,0.249729362370642,0.0195020558181408,0.22773749522333,-0.802020916394924,0.174868892378155,0.974856980091711,0.915223994669135,0,0,0.806827965171323,0,0,0
BV010082.INDEX,0,0,0,-0.0248666302703671,0,0,-0.0316963031451214,0,0,0,0.0259065298564979,0.0113050187856167,0,0.0141326208973907,0.00914644903354093,0,0,0,0,0
CVIX.INDEX,-0.0446112801403767,0.0724751318342086,0,-0.0106781119774252,0,-0.135183547083396,0.159309670958415,0.0909927897559041,-0.0497147396859794,0.00914675871903984,-0.122639767982107,0.0303951487686681,0.00817651763724554,-0.00292770425672508,0.000000000000000000433680868994202,0.00224781722006289,0,0,0,0
DXY.INDEX,0,0,0,0,0,0.00592342013742777,0,0,0,0,0.00949859091368823,-0.00136470674853297,-0.0186220382054464,0,0,0,0,0,0,-0.00167776732165268
SPX.INDEX,0,0.00175772128768247,0,0.000000000000000000216840434497101,0.000693327429686361,0.00952324544720873,0,0,-0.00381105065627973,0.000442500651102489,0.00337605492543898,-0.00205898045469888,-0.0112430776560975,0.0027968603909052,-0.00114866746211502,0.024731577607797,0,0,0,-0.0582277604735396
VIX.INDEX,0,0.0501113266171841,0.192401800495016,-0.059689713091007,0.231233933488175,0,0.0608479165154398,-0.0359756890892769,-0.0252612006937679,0.0672526049442547,0,-0.120157221892658,0,-0.108510440949687,-0.186293425423576,0,0,0,0,0
