,BTC,XRP,ETH,XEM,LTC,ETC,DASH,XLM,XMR,DOGE,ZEC,DGB,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.0889498484201438,0,0,0.0633984246662104,0.0844336217631491,0,0.049098476211603,0.245524130351787,-0.0484748463117943,-0.164040925624431,0.0443243119548281,0.000455739812294347,0,0,0,0,0
XRP,-0.943220459251205,0,-0.0600709959026578,0,0,0.0461658600722882,-0.522011911662647,0.618007145344181,0,-0.211045696014932,0.0641543852816763,-0.387072175003017,0.242521604431993,0,0.550609580786347,0,0,-0.000000000000000000867361737988404
ETH,0,0.100910327110303,0,-0.0509635741986304,-0.00372898130603031,0.296994800257898,-0.125634182996343,-0.159480960195809,0.867131951282326,0.0584601863774198,-0.443437996963853,0.0416117300268425,0,0,0,0,0,0
XEM,0,-0.0792093605226363,-0.0810177540656213,0,0.0430622263347398,0,0,0.172636020676292,0.29440685501757,-0.131357366555369,0,-0.0111603117632355,0.307757339203411,0,0,0,0,0
LTC,0,0,0,0,0,0.212870047084698,0,0.0690028946601118,0,0.306579072036207,0,0,0,0,0,0,0,0
ETC,-0.0887523531347865,-0.049165279560385,0.327192412038589,0.0998916814079652,0.117202250066676,0,0.104023002810542,-0.00201912633319743,0,0,0.0665651140729984,-0.0303600632052622,-0.0719832998928566,0,0,0,0,0.128286926352268
DASH,0,-0.0652138165167833,0,0.122852586169738,0.0280188231788537,0.0807984621797024,0,0.0436201771164678,0,-0.131892775557713,0.290689187876768,0,0.0854295333891668,0,0,0,0,-0.148806356596084
XLM,-0.265587875344635,0.273033836604806,-0.113293875839791,-0.12334263019291,0.0595055536727972,0.507094787274806,0,0,0.469784621374325,0.270354859905534,0.343965779088387,0.18116861602709,0,0,0,0,0,0
XMR,0.150830208719205,-0.0543855086402355,0.242024826729627,0.0679535408775945,-0.0312363468337888,-0.117016539993181,0,0.13341745985299,0,-0.0473736711123966,0.0426577480532297,-0.0743544502104499,0.03036945514498,0,0,0,0,0
DOGE,0,0,0,0,0.278191078372995,0,0,0.247681154330695,0.0463917993592019,0,0.197640951845634,0.0102692623749842,0.140260492565075,0,0,0,0,0.467576547641996
ZEC,0,0.0284230213147021,0,0,-0.127425172341419,0,0.22332192356206,-0.0494590946246427,0,0.18819909929062,0,0.00115323368589017,0,0,0,0,0,0
DGB,0,0,0.141245737235491,-0.0908856803868244,-0.225073396261063,0,-0.0442767684821298,0.0411577337059138,0,0,0,0,0.214011799062403,0,0,0,0,-0.0794688260291617
NEO,-0.336724320848701,-0.0948537278577331,0.069762703630556,-0.0159000570255977,0.0435564393332097,0,-0.132095713936811,0.0289705526196224,0,0.0582318807484616,0.451428568160589,0.0464937011190772,0,0,0,0,0,0.143985928694492
BV010082.INDEX,0,-0.0108419041879757,-0.000000000000000000433680868994202,-0.00796424871440367,-0.0200677746598176,-0.0282935637649233,-0.0265261381027017,0.0139773510388847,0.045542660343723,0,0,0.0100521662811469,-0.0155508498140818,0,0.0853401260006405,0,0,-0.0752300233741034
CVIX.INDEX,0,0.0154895303148291,-0.0361954921249235,0,0,0,0,0,0,0,0,0.025355390039024,0,0,0,0,0,0.0471067609704083
DXY.INDEX,0,0,0,-0.0113051028784511,0,0.0164147643132072,-0.0101103145514495,0.00896604797721815,0,-0.00815021013145382,0,-0.00278659452321436,-0.00676616861187945,0,-0.00474855992088858,0,0,0.011424028396199
SPX.INDEX,0,0,0,-0.00247851487324443,0,0,0,0.0037666889670712,0,0,0,0,0,0,0,0,0,-0.0387117064509156
VIX.INDEX,0,-0.0175473089075036,-0.10772972973818,-0.0794585062231585,-0.000000000000000000433680868994202,0.0020502688187142,0.0161883229663235,0.0335016440244763,0,0.0915643774491611,-0.0328287315034611,0.0385725571732487,0.000000000000000000867361737988404,-0.903923097329576,0,0,0,0
