,BTC,ETH,XRP,BCH,LTC,EOS,BNB,XLM,ADA,TRX,XMR,BSV,DASH,MIOTA,XTZ,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.116137071887328,0,0.0481094504062332,0,0.000000000000000000216840434497101,0.000000000000000000433680868994202,0,0.200367361182395,0.0828273821281955,0,0.0311758431921419,0,0,0,0,0,0
ETH,0,0,0.217261272416554,0,0,0.214370141643906,0.0672824269623369,0.0271348599522212,0,0.0805999501670633,0.0649349504754326,0.061139286302114,0,0,0,0,0,0,0,0
XRP,0,0.134954545275791,0,0,0,0.0861375161404308,0.05071042244998,0.0977010249611745,0.0429514078240307,0.139276710327296,0.0735272862743739,0,0,0,0.0461104316397337,0,0,0,0,0
BCH,0,0,0,0,0.30831149156721,0.142144327188718,0,0.061109754588654,0.315889703940239,0,0.0254529831541161,0,0,0,0.0156155516087317,0,0,0,0,0
LTC,0,0,0,0.192148999650719,0,0.198160694523193,0.138775205859859,-0.00785189976147061,0.116467085976942,0,0.15452592797193,0.134811454114464,0,0,0.0853737342596466,0,0.0512030835778963,0,0,0
EOS,0,0.356209807332518,0.188093901941217,0.277980440180414,0,0,-0.0276205440488027,0,0,0.0117921642290328,0,0.085551326866121,0,0,0.070646628969048,0,0,0,0,0.0479034743336672
BNB,-0.34859506804093,-0.166840463801373,0,-0.0962725665043636,0,0,0,0.142782527408053,0.118659103490727,0,0.269781880388607,0.370718497741045,0.431053404341875,0,0.0212388082683123,0.133094450392771,0.159317584432881,0,0,-0.0473246733743786
XLM,0,0,0.160152065085346,0.107795551491637,0,0,0,0,0,0.147988462629724,0,0.00428262970323619,0.214946804791639,-0.00000000000000000173472347597681,0.0201712557481249,0,0,0,0,-0.0186942198790822
ADA,0,0.131633884214493,0,0.283042486323527,0.230297347580472,0,0.0260273791535389,0.133345410593989,0,0.0361055750009643,0,0,0,0.0372636840160947,0,0,0,0,0,0
TRX,0,0.226255526708509,0,-0.00625445896037005,0,0.20538225764991,0,0.128860687461706,0,0,0.137161061114174,0,0.201118719750474,0,0.0883032098226519,0,0,0,0,0
XMR,0,0.547445200074981,0,-0.0458523570656562,0,0,0.0782685337124555,0.0734193474349724,0,0,0,0,0.320149566272637,0.104655590636286,0.0352848895640377,0,-0.111732482061679,0,0,0
BSV,0,0,0,0,0.512635217047329,0,0,0,0.118094341527938,0.0842247688756502,0,0,0.0998769082069403,0.148646343625664,0,0,0.133470789267854,0,0,0
DASH,0,0.0479414974041751,0,0,0,0,0.115882896200912,0.135939763403822,0,0.0283191218942271,0.131858061095577,0,0,0.0939827843497392,0,0,0,0,0,0
MIOTA,0,-0.184268825993827,0,0,0,0,0.180694393283025,0.172988887798344,0.0810326081582876,0.0582487801041899,0.245110307011928,0.110722717179584,0,0,-0.0134972162290516,0,-0.0428864747700679,0,0,0
XTZ,0,0,0.600569559525464,-0.1156966581452,0,0,-0.172897174227115,0.739678742463941,0,-0.12896165093799,0,0,0,0,0,0,-0.366325339374964,0,0,0.13027879718718
BV010082.INDEX,0,0.113222952721555,0.413507062259533,0,0.0816841917085263,0.00715943970212025,0.0365913991218405,-0.188196114066645,-0.227240312660552,0,-0.0109292936662171,0,0,0,-0.0553643972442163,0,0,0,0,-0.0450557003052605
CVIX.INDEX,0,0,0,-0.137937577795793,0,0,-0.227187816838046,0.45625392885033,0,-0.149253049325255,-0.271595419735648,0.0171752982116767,0.353383016736448,0,-0.298050611127198,0,0,0,0,0.100855236203675
DXY.INDEX,0.0210440466637913,0.0281397144340201,0.00989642753354779,0,-0.0186462144655266,0,0.0134514342142867,0,0,0,0,0,-0.00270229667620611,-0.0376554106127575,-0.00287332400677437,0,0,0,0,0.00137462783052549
SPX.INDEX,-0.0043858220099733,0,0,0,-0.016747245304406,0,0,0,-0.0255225469900033,0.0125402106228789,0,0.00790171735262373,0,0,0.00716757501640692,0.0735088469435549,0.00843674403228787,0,0,-0.066664108566526
VIX.INDEX,0,0,0,0.105528341044798,0,-0.460954159498688,-0.00000000000000000173472347597681,-0.165266146534487,-0.0334512749856975,0.654944111088231,0,0.0332737386093212,0,-0.22081577552424,0.0734092413787752,-0.401537447864313,0,0,-5.25286740034392,0
