,BTC,XRP,ETH,BCH,EOS,XLM,LTC,BSV,TRX,ADA,MIOTA,XMR,BNB,DASH,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0.147316305523249,0,0.00695352028948904,0,0,0,0.376063207561645,0.115270844054835,0.054393659261414,0,0,0,0,0,0
XRP,0,0,0.143707510778839,0.0346873065371299,0,0.0836852750226729,0.169317029722628,-0.0158927154230065,0,0,0.00648853784505392,-0.00000000000000000173472347597681,0.0845571053436436,0.0508714448726003,0.100772266798151,0,0,0,0,0
ETH,0,0,0,0.103849739130094,0.0632625539548513,0.0540824324949816,0.0782912732987622,0,0,0,0,0.419701873926795,0.136673197098564,0.029881830852221,0,0,0,0,0,0
BCH,0,0,0,0,0.328512739042358,0,0,0.0876995984580809,0,0.470491429947405,0.0733226985332315,0,0.229279161128576,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,0,0.567719197069074,0,0,0,0.200365596726613,0,0,0,0,0,0
XLM,0,0,0.0360995478427961,0.13863270921014,0.025468804202458,0,0,0,0,0.043747192588153,0.0641865422525966,0.24172542847577,0.139089164784522,0.000000000000000000433680868994202,0,0,0,0,0,0
LTC,0,0,0,0.0238368874941106,0.193310757033198,0,0,0.0196293154144379,0.0386493849126581,0,0.103554228080669,0.19627305202496,0.0176632145870125,0.104815882485553,0,0,0,0,0,0
BSV,1.18688100720986,-1.76929486824241,0.120425360851499,0.513113429150015,0.120113693063678,-0.334695647650434,-0.149695817914927,0,0.46881665016317,0,0.377112155913239,0,0.418933502514807,0.155707422295402,-0.375993884082373,0,0,0,0,0
TRX,0,0,0,0,0,0,0,0.0155682179915663,0,0.308418101844068,0.127064698896943,0.229967131387065,0.13573263817387,0,0.0410827913290775,0,0,0,0,0
ADA,0,0,0.0598849013425042,0.107513880117742,0.258300557987438,0.0263828598906425,0,0.00212711095445321,0.209354359412689,0,0.117267683024462,0.141474078533777,0,0,0,0,0,0,0,0
MIOTA,0,0.0350666927468896,0,0.0561700366182077,0,0.318907711572482,0.242609941519539,0.0532614056893678,0,-0.00000000000000000173472347597681,0,0,0.080512887323986,-0.00000000000000000346944695195361,0.094031041267401,0,0,0,0,0
XMR,0.128862764463608,0,0.243906543350325,0,0,0.111672892395534,0.0478044968200527,0.00799950731452088,0.0529018398137454,0.225060581633107,0.039934750430305,0,0,0.0855521998172299,0.0324064904883864,0,0,0,0,0
BNB,0,0,0,0,0.168072647206953,0,0.391816261536007,0.00712282749160094,0.106948299043675,0.255106284195074,-0.0313146946430978,0,0,0,0,0,0,0,0,0
DASH,0,0,0.311617304441521,0,0.256357044100241,0.0565024275710082,0.0624523926065907,0,0,0,0,0.252192750229531,0.0257223561173668,0,0,0,0,0,0,0
XEM,0,0,0,0.0765649443851865,0,0.360811881213448,0,0.00591821478637101,0,0.0878372762108653,0.0232287448471923,0.110831580725461,0,0,0,0,0,0,0,0
BV010082.INDEX,0,-0.136779185052027,0,-0.0428712201218478,0,-0.119498342415852,0.10773982232638,0.0116642721228866,-0.0357590780116604,0,0.0390876288497536,0,0.0983985739070369,0,0.0689947726024767,0,0.0316066705743468,0,0,-0.0934988332428176
CVIX.INDEX,0,-0.135577111641712,0,0.0578219818170696,-0.0390056326521042,0.160628960633034,-0.118184781844227,0.0214094229925766,0,0,0.0992640515853327,-0.110856584718149,-0.0690507842373647,-0.0126137668032503,0.0825231089167575,0,0,0,0,0.0841049744003134
DXY.INDEX,0,0,0.00222876501222119,0,-0.00221385045098492,0,0,0.00603734740519729,-0.0289459149270083,0,0,0,0.00535025890646578,0.0082539058079469,0.00943619607970951,0.0468429443284797,0,0,0,0.00674051291645867
SPX.INDEX,0,0,0,-0.00305716866053766,0.00000000000000000346944695195361,0,0,0.00863723159462663,0,0,0,0,-0.030378218442567,-0.0347062843538301,0.0462552903021682,0.00680563215424645,0,0,0,-0.110829586561619
VIX.INDEX,-0.822862179745898,0.22248412241699,-0.120334552583769,0.0138063244772266,0,-0.0188187807806574,0.382002338510564,0,0.29868707768126,0,-0.00000000000000000693889390390723,-0.329728394423165,0,0.0253873762589746,0.271134404963687,0,1.12765028900523,0,-4.43775939429223,0
