,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XLM,ADA,TRX,XMR,XTZ,ETC,DASH,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.154755523794722,0,0,0.151999775417477,0.0614155001373273,0,0.0711331637675862,0,0.0453573999126853,0,0,0,0,0,0,0,0
ETH,0,0,0.210204166234435,0.0675208400408339,0,0.140135807773913,0.140246186653461,0,0,0.198279152616162,0,0,0,0,0.0404419732284036,0,0,0,0,0
XRP,0,0.31661382086438,0,0.117656647467839,0.0071149374075444,0.0895238369133334,0.00000000000000000173472347597681,-0.00000000000000000346944695195361,0,0,0.0751319806042195,0,0.00457383902533656,0,0.0222414567963457,0,0,0,0,0.0130513121141292
BCH,0,0,0,0,0.246003820447152,0.149280795263196,0,0.0211590636250511,0,0.000572526213464728,0,0.250053095518229,0,0,0.101231103819084,0,0,0,0,0
BSV,0.6415282161484,0,0.372136141486724,1.496437640676,0,0,0.530978856712946,0,-1.73138099577269,0.158913613391139,0.0263384309595191,-0.532465784279632,0.114423254263961,-0.39505243219314,0,0,0,0,0,0
LTC,0,0,0.13150072870159,0.0142564954813682,0.0341886352493112,0,0.509071251704113,0,0,0.034377119220184,0,0,0,0.0325442907492702,0.0550844403876911,0,0,0,0,0
EOS,0,0.450551150227725,0,0,0.0316083454575843,0.474778796202521,0,0,-0.199227782267981,0.162685909870078,0.0227095653839597,0,0.0663753920941651,0,0.031245204249695,0,0,0,0,-0.039977027785972
BNB,0,0,0.152335249213787,0.0203595605535804,-0.00000000000000000173472347597681,0.294241016140693,0,0,0,0.0192139599050295,0,0.158571966575376,0.00182249403215534,0,0.0913203028488029,0,0,0,0,0
XLM,0.387569831918332,0,0.299120679538552,0.131159660988501,-0.0804407408782578,0,0,0,0,0,0.114024254312494,0,0.0264540076420935,-0.0282840634227274,0.0545182420428152,0,0,0,0,-0.0493254996941638
ADA,0,0.402932220843422,0,0,0,0,0.186713235918151,0,0.0291785533691627,0,0.181499132370121,0.138615061267651,0.0101783421931476,0,-0.00000000000000000173472347597681,0,0,0,0,0
TRX,0,0.232298292784151,0.34889637413781,0,0.00708961561903241,0,0,0,0,0.261356434585139,0,0,-0.051587370569697,0.116290542656112,0.0836275381429896,0,0,0,0,0
XMR,0,0.00616625633426216,0,0,-0.0696671431174078,0,0.0909197946025797,0.565966932788307,0,0,0,0,0.0112387692521525,0,0.134860978966593,0,0,0,0,0
XTZ,0,0,0.580772459567408,0,-0.0432292255393587,0,0.320966741555633,0.281918448329736,0.26359086193285,0,-0.504312359138204,-0.304898828523421,0,0,0.147217548717877,0,0,0,0,-0.0917420893193604
ETC,-0.197349045487299,-0.509452480174196,-0.355629878742224,0.371969763288437,0.000454889241128903,0,0,0,0,0,0.387800993062096,0.486894766794836,0.129775113756774,0,0.352837704283614,0,0,0,0,0.0695864002423062
DASH,0,0,0,-0.0857162678944846,0.231135478996213,0,0.406469416631139,1.06415028552979,-0.443485534924603,-0.279753954276487,-0.113260716789165,0,0.104435196491719,0,0,0,0,0,0,0.126165287917452
BV010082.INDEX,0,0,0,0,0.0296529211156164,-0.319008142637408,0,-0.0840432409641856,0.133543970184732,0,0.285212974151663,-0.0208145505882642,0,0.0143515143691043,0,0,0.0845760353173395,0,0,-0.0620703601992252
CVIX.INDEX,0,0,0,0,-0.0438561619828941,0,0.295074326691214,0.475794126517457,0,-0.252775897253363,-0.0891059685419888,0.123899259364385,0,-0.119240606185242,-0.0342639493230928,0.656105500063216,0,0,0,0.117057908958264
DXY.INDEX,0.00827848719929084,0,0,0,0.00458060970265173,-0.0403310497595868,0,0,0.0366117859223628,-0.0208335082472408,0,0.0289325249220519,-0.0145449416101448,0.005736430561203,-0.00233231638387329,0.0727418999024617,-0.0138459244930891,0,0,-0.00463287597159796
SPX.INDEX,0,0,0,0.0188993350229008,0,0,0.00802985019326453,0,0,0,0.00751345554886089,-0.0174770801269797,0,0,0,0.0686125391269223,0.0269606958194891,0,0,-0.0506131589975018
VIX.INDEX,0,0,0,-0.405046996424056,0.112246211711658,0,0.12761997025972,0,0,0,0,0,-0.108714497821302,0.0929821223098142,-0.0283083090852605,-0.0302223976162981,0.347886609258405,0,-7.35055987572889,0
