,BTC,ETH,BCH,XRP,BTG,LTC,DASH,MIOTA,ETC,XMR,ADA,NEO,XEM,XLM,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.120952093014077,-0.0497831450006724,0.0278494256240403,0.347657608924839,-0.201460046516826,-0.0529232582698665,-0.0255919744340517,-0.0623693738183864,0.0436772255145963,0.124600110498694,-0.266565503141682,-0.00000000000000000010842021724855,0.082803625120058,0,0,0,0,0
ETH,0,0,-0.0295430921897809,0.132324187630115,0.0382516785714762,0,0,0,-0.0671551890205263,0.154349383713129,-0.0243166516989555,0.0686915951440241,0.161963966640159,-0.038448038709533,0,0,0,0,0,0
BCH,0,0,0,0,0.121994164249106,-0.158728832004943,0,0,0.053508998007646,0,-0.131862109242765,0.236916814627539,0,0.0272646613678399,0.101454329590724,0,0,0,0,-0.440545474158827
XRP,0,0.355364146185551,0,0,-0.0266513302807083,0,-0.0440591523614014,0.147357998347907,0.0333056886040235,0.223765847083781,-0.0175078945704454,0,0,0.00965393587916974,0.022668918208473,0,0,0,0,-0.117736891534247
BTG,1.98069265729107,0,0.232768400336122,0,0,-1.19760412420552,-0.0756048558007556,0,1.24829280608335,-0.24420328045025,-0.138431227334243,0,-1.47997879122734,0.0974367668305017,-1.07659165956652,0,0,0,0,-0.723274127614314
LTC,0,0,-0.068341160748884,0.246195091676267,-0.00148919732933996,0,0,0,0.0737805342384257,0.0798649223012618,0,0,0,0,0,0,0,0,0,0
DASH,-0.201449959830977,0,0.0398395359598471,-0.0195362948661428,0.0406540254608329,0.29170365544842,0,0.113895842346626,-0.204041733172432,0.246053961880704,0.0000000000000000000135525271560688,0.0633921534261786,-0.061289431852477,-0.00636703623942006,0.0471791671109254,0,0,0,0,0
MIOTA,0,0,-0.0289300605824773,0.255429852981795,-0.0218440195651393,-0.345582416986229,0.188258780327596,0,0,0,0.279812564599339,0.0715734742526752,0.446092536590273,0.0895144984802577,0.111404449136954,0,0,0,0,0.0051444783507894
ETC,0,0,0.127127581369213,0.192336269793261,0,0.0729244955015248,-0.298033119053522,0.0494359042720704,0,0,0.119892320884883,0.0486711099282895,0,0.0286946314802594,0.0545017929814291,0,0,0,0,0
XMR,0,0,-0.0620301203731755,0,-0.00750913108283918,0,0.219258253155144,0.0999924101810978,0.0633290054440395,0,0.0956172546874896,0.0575060965937617,0.342232536868259,0,0,0,0,0,0,-0.0214129433545686
ADA,0,0,0,0,0,0.494188840686336,-0.00791020859767713,0.30610638927193,-0.00000000000000000173472347597681,0,0,0.122402696728058,0.495495617974101,-0.0159959816691998,-0.333560732070547,0,0,0,0,0
NEO,0,0.534116660618282,0.0895883156453891,-0.156904546937223,-0.103512017538563,0,0,0,0.0265294713315514,0,-0.00606497851341245,0,0,0.148124876877375,0.0483367000793031,0,0,0,0,0
XEM,0,0.185960329470892,-0.0242077407557774,0,-0.0480043945258514,0,0,0.185749877709498,0,0,0.0698517241908387,0.106624522797345,0,0.0621714205159246,0,0,0,0,0,0
XLM,0,0.442778927236572,-0.00856709719606228,0.285680786964199,-0.0408616094128811,0,0,0.451548059954021,-0.00000000000000000173472347597681,-0.0265388355111116,0,0.127733336058314,0.318195727791394,0,0.133200509235482,0,0,0,0,-0.205498710717114
EOS,0.250319667272872,0.287773904760742,0,0,-0.0317513990503145,0.182590355340477,0.042438732994686,0.119620760045769,0,0,-0.0590102982428961,0.115851079991529,0,0.0450381012258717,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.000431209409178555,0,0.00110011638053235,0,0,0,0,0,-0.0457651488093789,0.0359494648261012,0,0,0.0249662544103691,0,0,0,0,0
CVIX.INDEX,0,0.0512462401335648,0.0172171318530861,-0.141697128254469,-0.0089166841104757,-0.00244869305032726,0,0,0,0.018878567711324,0.0305223766910199,-0.00675146265868497,0.0376115779964634,0.0205781897743988,0,0,0,0,0,0.0758781903367568
DXY.INDEX,-0.0143288674131747,0,-0.00620273079505204,0,-0.00387066349829464,-0.00187137693870123,0,-0.00438326050711596,0.01080713981651,0.003003831020863,0,0,0,0.00466422284832943,0,0,-0.0828311308826244,0,0,-0.00299765701492673
SPX.INDEX,-0.00232835837557879,-0.00737040678804716,0.000510835120451027,0,0,0.00106208416427419,0,-0.00178753247811054,0.00250670870760612,0,0,-0.000528085413720868,0.00673232726381128,0.00053844840657774,-0.000000000000000000216840434497101,0,-0.0295953012483749,0,0,-0.0316255246155138
VIX.INDEX,0,0.199551334592326,-0.122257730145807,0.188879260942546,-0.0234096390206041,0.0942239569116704,0,0.106123258018052,0,-0.392681918807671,0.0440519076195807,0,0,0,-0.00396366415596558,0,0.249313813998069,0,0,0
