,BTC,ETH,XRP,LTC,ETC,DASH,XEM,MIOTA,XMR,EOS,ZEC,NEO,DOGE,XLM,BAT,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.163343400464847,0,0.0623497098067136,-0.0767364236916626,0,0.163754045577774,0,0,-0.0126779130608779,0,0,0.0511695245623114,0,0,0,0,0.145929060740118
ETH,0,0,0,0,0.159708123306492,0.162197764443265,0,0,0,0.0152581766796157,0.0279491315533126,0,0.0561337581229194,0.0102727634204057,0.190846084613285,0,0,0,0,0
XRP,0,-0.215811396314542,0,0,-0.301241261275452,0.473497509562587,0,0,0.11806334756771,0,0.0256154895520269,0,0,0.31186832286675,0,0,0,0,0,0
LTC,0.210807334787743,-0.047341021208575,-0.150828767684063,0,0,0,0,-0.0142375268401098,0.297043389086175,0,-0.0718733715338917,0.143243011082766,0.0947148823543423,-0.0714653558971279,0,0,0,0,0,0
ETC,0,0.158533987510855,-0.0692439221169197,0.14326753591175,0,0.097913453691042,0,0,0,0,0.0436545416792183,0.0601800277840124,0,0,0,0,0,0,0,0.0843420410427081
DASH,0,0.185398328228213,0,0,0,0,0,0,0.346642864997847,0,0,0.110575038448062,0,0.0754273404656231,0,0,0,0,0,0
XEM,0.11737900248571,0,0,0.261700702090987,0,0.11115571876285,0,-0.119349287865781,0,0.134651664889224,-0.0326121205189036,-0.000000000000000000867361737988404,0.292176778721903,0.150297728307882,-0.0292745993297691,0,0,0,0,0.233688289019041
MIOTA,0,0.0682902419980112,0,0,0.0238973356248749,0.0684973963479037,0,0,0,0.0362444534051816,0.24279125533438,0.000000000000000000433680868994202,0,0.340254170410812,0,0,0,0,0,0
XMR,0,0,0,0.208936661032394,-0.0119070488730137,0.443528693754604,0.0626274105192027,0.0280625833223399,0,0,0,-0.13773076548046,0,0.170253563947746,0.0778841087269943,0,0,0,0,0
EOS,0,0.194800144109543,0.135708543124517,-0.208603522267052,0,-0.360722690128238,0,0.168200941713298,0.190633668540703,0,0.210175616816774,0.110760385740198,-0.00788223917475217,0.0968622603343907,0.0666509039710567,0,0,0,0,0
ZEC,0,0.223203199082966,0,0,0,0,0.00870438564376908,0.125353273453856,0.179784353387279,0,0,0.00853234400510133,0.173147452587477,0.081847022477083,0,0,0,0,0,0
NEO,0,0.189441142273371,0.229796321211338,0.521771841352746,0.495295597929616,0,0.0160938155775589,-0.403555817721339,0,0.0409255764381105,0.347762422095138,0,-0.131113321739897,0,0,0,0,0,0,0
DOGE,0,0,0,0.0561741055599155,0.184057040563234,0.041603606768657,0.310854668150122,-0.177499958432903,0,-0.0341190243482977,0.312165413643132,0.0436048551253244,0,0.0863822463225249,0.0576757375091692,0,0,0,0,0
XLM,0,0,0.819653391821178,0,0.190397031743224,0,0,0.231466052276658,0.28274104027413,0.101321854469511,-0.16611077509181,0.049016254603999,0,0,0,0,0,0,0,0
BAT,0,0.0350229555457695,0.0600016153966148,0,-0.164459586956355,0,0.14617590152119,0,0,0.0435344978594429,0,0,0.245644239891985,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0.0206612430639708,-0.0166621032504042,-0.0121442953329398,0,-0.0415237978116873,0.00621639379222137,0,0,0.0146119750241669,0,0.024107279089074,0,0.000162875731811616,0,0,0,0,0
CVIX.INDEX,0,0,0.0107940397926985,-0.0331352176597917,0.0418970391605864,0,0.0551433146876537,-0.0980379536204606,0.0195907426344683,0.00998377432933227,0,0.0227870245394412,0,0.0409874643643487,-0.0350738827206628,-0.023901763272537,0,0,0,0.081395527318115
DXY.INDEX,0,0.00789319708538459,-0.000957801693261452,0,0.00770921117734293,0,0,0,0,0.00198549034930032,0.0059175626654046,-0.00147911260138623,-0.016849473134716,0,0,0,0,0,0,-0.00333926493157499
SPX.INDEX,0,0,0.00321467689816993,-0.0032921745475456,0.00871636794649858,0,0,0,0,0.00230118756210576,0.00417523130212727,-0.00303743504212015,-0.000433632268369661,-0.000000000000000000216840434497101,0,0,0,0,0,-0.0488887095324467
VIX.INDEX,0,0.0302022958166905,0.318945676595004,-0.262038253326235,0.228791995341139,0.20703160871608,0.219734545050675,-0.191340699121118,0,0.0486976891628571,-0.138467610854161,-0.0820369680207619,0,-0.271491344464636,0.0700320027062586,0,0.106620848533158,0,-1.11065724041031,0
