,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,DASH,MIOTA,TRX,ETC,NEO,XTZ,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.0968040096571525,0.116442535153257,0,0,0,0,0.138505689124118,0,0.0231553615330335,0.204468032235275,0,0,0.0653785527988367,0,0,0,0,-0.00236786777988287
ETH,0,0,0,0.298022314123833,0.0898492559576865,0,0.022768059129791,0.201127880456859,0.0160563283800152,0,0.0124893442312983,0,0.230254338095064,0,0.160238033892112,0,0,0,0,0
XRP,0,0,0,0.151048018779588,0.141551466590078,0.0484951763076425,0,0.0790848894208747,0,0,0.214869492434322,0,0.158517664058588,0,0,0,0,0,0,0.0320352092304333
BCH,0,0,0.0158146306210397,0,0.273924202740509,0,0.273082768487379,0.102284997966892,0,0.0833200594544753,0,0,0,0.0470602529434049,-0.0369797418355365,0,0,0,0,0
EOS,0,0.136708035373978,0.152708487753649,0,0,0.145328128008949,0,0,0.0773437195616992,0.0673132071518665,0.0780219296979893,0.321622578354288,0,0.161650880678855,0,0,0,0,0,0
XLM,0,0,0,0.241140839429431,0,0,0,0,0.218792852744937,0,0.0861903614541289,0.100794312645717,0,0.125744268558334,0,0,0,0,0,0
LTC,0.0463149898521673,0.197825863631751,0,0.309230115120721,0,0,0,0,0.0857051582442069,0,0.153719061364771,0,0.0239458274420491,0,0,0,0,0,0,0
ADA,0,0,0,0.36784473055086,0,0.201965180868208,0,0,0.104223674224888,0.0493426110632045,0,0.158785689417392,0.11704149940487,0,0,0,0,0,0,0
XMR,0,0.012450338703814,0,0.129894241391405,0.294705359238082,0.0578107317185942,0,0,0,0.191689595900801,0.0682112224656932,0,0,0.00608866795257147,0,0,0,0,0,0
DASH,0,0.294822375493307,0,0,0,0,0,0.097907103947763,0,0,0.110097503642745,0,0,0.234041062703081,0.115617875878398,0,0,0,0,0
MIOTA,0,0,0,0,0,0.222035381327949,0.224870022686576,-0.0824530770605031,0,0,0,0.37486971680758,0,0.388492788156002,0,0,-0.0581403685755789,0,0,0
TRX,0,0.185309461099382,0,0.00000000000000000173472347597681,0.2254205769408,0,0,0,0,0,0,0,-0.0251744145951266,0.507353200507309,0,0,0,0,0,0.0243758976998441
ETC,0,0.148492327347038,0,0,0.414589768597585,0,0,0,0,0,0.288791550995905,0,0,-0.322333735689688,0.18001443465062,0,-0.155554253300367,0,0,0.128036861279277
NEO,0,0,0.0787806622175747,0.209429663841252,0,-0.115901346826299,0,0.179435818561712,0,0.0693299516721949,0.303444488073754,0.264677064374595,0,0,0,0,0,0,0,0
XTZ,0,0,0,0,0,0,0,0.337883274414786,0,0.16105598203976,0,0,0,0,0,0,0,0,0,-0.0579460918528117
BV010082.INDEX,0,0,0.0704970196789258,0,0,0,-0.20085675782786,0,0,0,0,0.0941475407974085,0,0,0.0368434090485491,0,0,0,0,-0.0511121424414966
CVIX.INDEX,0,-0.0892203718369378,0,0,-0.076996038832647,-0.108082842056813,0.0843392459193284,0.175141281382697,0,-0.0325646631868381,0.105676969346264,0,0,0,-0.0083214386254763,0,0,0.489597726718285,0,0.114149105986847
DXY.INDEX,0,-0.00244165325279147,-0.00851743572701147,0,0,0,0,0,0.0124970026182685,0,-0.00868039371381614,0,0,0,0,0,0.0961061267603773,0,0,-0.00929224756413208
SPX.INDEX,0,0,0,-0.00185522345377807,0.0129433334956989,-0.00548435497165616,0,0,0,0,0,0,0,-0.0144459932800889,0,0,0,0,0,-0.0589444310194348
VIX.INDEX,0,0,-0.234775460013281,0.379654228122493,0,0,0.160154508260665,0.0868938420830256,-0.233054343915284,-0.274336103239733,0,0.236421242465839,0,-0.222172648063364,-0.126728211120779,0,0.307930776741756,0,-3.27398759782263,0
