,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,MIOTA,TRX,XMR,NEO,DASH,ETC,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.193776148002041,0,0.0355703391823848,0,0,0.0911031887704476,0,0.135569901835697,0,0.0356555273183104,0.0963246657608795,0.0515737916695126,0,0,0,0,0
ETH,0,0,0,0.385951400375115,0,0,0,0,0.146021756650475,0.0847733210195026,0,0.0631131962097405,0,0.0977427758850013,0,0,0,0,0,0
XRP,0,0.191112851238925,0,0.0800013077109324,0.0226808772888117,0,0,0,0.0225852935199985,0.184594539017636,0,0,0,0.0149698372826747,0.161976829108637,0,0,0,0,0
BCH,0,0.126504295889198,0,0,0.225998126764249,0,0,0.119431594509982,0.0514335911129445,0.221673090884136,0.0979676917779035,0,0,0.0660783442361835,0,0,0,0,0,0
EOS,0.53449510260238,0,0,0.143078240895177,0,0.0082465929401138,0,0,0,0.224502788824035,0,0,0,0,0.462901243758534,0,0,0,0,0
XLM,0,0,0,0,0.182566920969561,0,0,0.335817239261287,0.0633773724870013,0.188404939785202,0.0231708231075744,0,0,-0.00268508079413918,0,0,0,0,0,0
LTC,0,0,0,0.441059329824616,0.0153992645275092,0,0,0,0.0370800835058914,0,0,0.0541503406918302,0,0.0932678762821888,0.123365014487244,0,0,0,0,0
ADA,0,0,0,0.212331701394852,0,0.282238311801598,0,0,0.0250619772448323,0,0,0.12965980681289,0,0.036304581462385,0.148611453711271,0,0,0,0,0
MIOTA,0,0,0,0,0.0290523070277421,0.0603686183396839,0.363726093154516,0,0,0.188388227441922,0,0.501312533780316,0,0.0385082332500731,0,-0.236522388381971,0.353211397918743,0,0,0.0691670611015954
TRX,0,0.376233274555333,0,0.283090708392329,0.218130901208143,0,0,0,0,0,0,0,0,0.041819380389341,0,0,0,0,0,-0.0116428774004567
XMR,0,0.190852624869742,0,0.126996490758746,0,0.0245650758975747,0,0.127214675588411,0.0148772660463895,-0.00000000000000000346944695195361,0,0.169727036634882,0,0,0.111571435685161,0,0,0,0,0
NEO,0,0,0,0,0.0680597814912152,-0.0331715404905563,0,0,0.489040593379707,0,0,0,0.0339952763865336,0,0.403156632761999,0,0,0,0,0.0615328176133128
DASH,0,0,0,0.0581290530791948,0,0.0530581510511198,0,0.234862801450772,0,0.0595779390820675,0,0.103566082374186,0,0,0.103935236606806,0,0,0,0,-0.074396008576652
ETC,0.299752272611679,0.00829966362047802,-0.00000000000000000173472347597681,0,0.244878508440909,0,0,0,0.347631652129984,0,0,0,0,0,0.056255781557895,-0.526218133008721,0,0,0,-0.12243362569443
XEM,0,0,0,0,0,0.210302450205689,0,0.189671742922193,0,0.000000000000000000867361737988404,0,0.282402832688391,0,0.0957990002062558,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.00443862117186903,0,-0.129056276428225,0,0,0,0,0,0.147898328760696,-0.000000000000000000867361737988404,0,0,0,0,0,0,0,-0.122794948535827
CVIX.INDEX,0,0,0,0.194689378106337,0,0.033580690454532,0,-0.117481384796214,-0.0888851042500698,-0.105398718378631,0.144405425526829,0.147110939885291,-0.179612786711996,0.0903650071336191,0,0.0991532699719366,0,0,0,0.112451004848783
DXY.INDEX,0,0,0,0,0,0,0,0,-0.036575553508261,0.00378180697404561,0.0219369162942039,0,0,0.0214886275750596,0,-0.00739166644565055,0.0788540695493747,0,0,0.00307529424564253
SPX.INDEX,0.0388328760943094,0,0,0.00524105840741827,0.00283926080412734,0.00448138821588354,0,0.0121064591870363,-0.0272045687798711,0,-0.00507700153426895,0.00106937493639238,-0.00165583991659613,0,-0.0150051140101897,0,0.00540874241794109,0,0,-0.0575405705314767
VIX.INDEX,0.533414642913924,0,0,0,-0.124054427433858,-0.110107057509396,0,0.0644484768329874,-0.326113874292473,0,0,-0.0000000000000000138777878078145,0,0.00000000000000000693889390390723,0,0,0.10162490557672,0,-8.32949156510387,0
