,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XLM,TRX,ADA,XMR,XTZ,LEO,ATOM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0741796965173366,0.0905417232154826,0,0,0.225880356502908,0,0,0,0.0926367656666197,0.0912610584714317,0.0167875306438465,0,0,0,0,0,0,0
ETH,0,0,0,0.0769831112112212,0.274072491631583,0.11691850173397,0.186812395732564,0,0.0650781919866659,0.074229992206777,0,0.0950421015263928,0,0,0.0176436829999967,0,0,0,0,0
XRP,0,0,0,0.354156636405071,0,0,0,0.0491577035382701,0.0526038669853278,0,0.220062370860434,0,0.106034062935031,0,-0.0482196766077944,0,0.0798860195315331,0,0,0.150775055067719
BCH,0,0.0102028196571704,0.0774555264956143,0,0,0,0,0.172775570617436,0,0.21550375769062,0,0.27819721937467,0,0,0.141576434619225,0,0,0,0,0
LTC,0,0.164888015288743,0.0400745131528057,-0.00000000000000000346944695195361,0,0.513698389566546,0,0,0.0075740876362195,0.0305408712999637,0.0665513356342638,0,0,0,0.0482980356548419,0,0,0,0,0
EOS,0,0.203758086271175,0,0,0.571871775147788,0,0,0.122602188530739,0.0450316977930285,0.0311955046635243,0,0.0288872407345498,0,0,0.00805857846784671,0,0,0,0,0
BNB,0,0.0385771262873495,0.0795634586360296,0.284101775971386,0,0.285502497760756,0,0,0,0.0409471345633624,0,0,0.0193064310377172,0,0.0293736421612752,0,0,0,0,-0.0155864726681385
BSV,0,0,0,0.454107952844039,0,0.11513832409209,0,0,0.308400960122306,0,0,0.00000000000000000346944695195361,0,0,0.110887078707384,0,0.2927665338123,0,0,-0.113334295965038
XLM,0,0,0.242301989175889,0,-0.0000000000000000138777878078145,0,0,0.0481524528808288,0,0.227254042379581,0,0,-0.00985146723310511,0,0.168950891735283,0,0.0585341032527909,0,0,0
TRX,0,0,0,0.319382505869183,0,0,0.122562218459603,0,0.137239756870788,0,0.285255755224405,0.0299418470437562,-0.0690863825743802,0.0462541619552687,0.0983703047156642,0,-0.249134923055164,0,0,0
ADA,0,0.262487336505693,0.174003738616581,0,0.0299823072073369,0,0,0.0547918899112993,0.0773088019465528,0.171624661572867,0,0,0.0341906665190561,0,0.121052992559166,0,0,0,0,0
XMR,0,0.141425387821898,0,0.213886468096442,0.166022030769191,0,0.228385525328925,0,0,0,0,0,0.0509245809836346,0,0,0,0,0,0,-0.0267919263812183
XTZ,0,0,0.591624234969405,0,0,0,1.06852634823656,0,0,-0.580002384562754,0,-0.312324647853214,0,0.0715941563340908,0.0574110420852645,0.276281653885341,0,0,0,-0.165292500904827
LEO,0.240102872983228,0,0,0,0,-0.223298587285574,0,0,0.10697725392732,0.297925110233866,0.0940377486692436,-0.227507567918184,0.0784187122607631,0,-0.103616605287888,0,0,0,0,0.0194164925743229
ATOM,0,0,0,0,0,0.626817930282299,0,0.0382344532925088,0.222740811190765,0,0,0,0.14064883675831,0,0,0,0,0,0,0.066420811090479
BV010082.INDEX,0,0,0.0479737841329051,0.118732364739192,-0.250961670367057,0.150482453316101,-0.415393708080144,-0.0373845653413775,0.196388924861646,0.345213515153206,0,0,0.0750640012021994,-0.176328214020057,-0.0760416418879299,0,0.0862165006341111,0,0,0
CVIX.INDEX,0,-0.167609302346998,-0.0631326448807427,0,0,0.00000000000000000346944695195361,0.11890636649605,0,0.0680742150011904,-0.00691300230010529,-0.35677748691828,0.395824866994354,0.0939526716870393,0,-0.0869094126939129,0.675764427215459,0,0,0,-0.0314673508381224
DXY.INDEX,0,0.0135735125898016,0,0,-0.0617056659254962,0,0,0.0243200108554688,0.0440070667700439,0,-0.0108657873887863,0,-0.0025422037597222,-0.00227817254996623,-0.00708803159247498,0.0583960301125019,-0.0187241835182069,0,0,-0.00449164587512424
SPX.INDEX,0,0,-0.0192996489623417,0,0,0.0377194611147675,0,0,0.00252497203939019,0,0,0,-0.0029343467899695,0,-0.0110073757381682,0.0778400339735733,0,0,0,-0.0410351476026086
VIX.INDEX,0,0.386452778042665,-0.399580763728945,0,0,0,0,-0.161145522296874,0.425983709533595,0,0,-0.0737663773169667,-0.0549874642526535,-0.108710051161266,-0.261216137953938,0,0,0,-7.41337881016634,0
