,BTC,XRP,ETH,XLM,EOS,BCH,LTC,BSV,TRX,ADA,MIOTA,XMR,BNB,XEM,DASH,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.125410787141748,0,0,0,0.0198670096072287,0,0,0.058448148014603,0.372037391947689,0.119631416382064,0,0,0,0,0,0,0
XRP,0,0,0.0098259195061067,0.149871998246754,0,0.0759871369631134,0,-0.0241836891829394,0,0.106394869773937,0,0,0,0.110775348646381,0,0,0,0,0,0
ETH,0,0.133837935530642,0,0.0663446507520034,0,0.106254011644975,0,0,0,0.0274212466080682,0,0.39787551819951,0.107177666815078,0,0.104804263571291,0,0,0,0,0
XLM,0,0.220331015271968,0.0684811591226018,0,0.183325760297749,0.186599964619933,0,-0.0152850497283939,0,0,0,0.119730815766021,0,0,0,0,0,0,0,0
EOS,0,0.0269451685631834,0,0.6262743106678,0,0.147864339888727,0.154578931457879,0.0192614366469188,-0.39830794124497,0,0,0,0.0571439844655324,0,0.235851312827051,0,0,0,0,0.02539116080994
BCH,0,0,0.647477031029596,0.0498054500870951,0.472830305652523,0,0,0.013421889533664,0,0,-0.0646944326161148,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0,0.219206670072554,0.130688386889872,0,0.010269962186288,0,0,0.207963818785931,0.229878712303655,0,0,0,0,0,0,0,0
BSV,2.03545089678503,-1.33109735265599,0,-1.05314409514432,0,0.778386145426147,-1.16616054610391,0,0.703607140581874,0,0.373302399649135,0,0.297186743369559,-0.546755492585689,0.559011983845173,0,0,0,0,0.025758639592305
TRX,0,0,0,0,0,0,0,0.00683814989677975,0,0.221190412631384,0.226251494261043,0.193841138304696,0.227529717655141,0,0,0,0,0,0,0
ADA,0,0,0,0,0.140229881585076,0.184061505540748,0,-0.0000000000000000000542101086242752,0.136787482588895,0,0,0.354392307117779,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0.0845768336443321,0.0111270154846255,0.115075169072568,0,0.0352192043186668,0.115622480024172,0.280535180028769,0,0.123899378331221,0,0,0,0,0,0,0,0
XMR,0.248745983459994,0,0.492636962655209,0.0230975132702913,0,0,0,0,0,0.137954606617186,0.0193528406119158,0,0,0,0.0934636265793961,0,0,0,0,-0.000559062850180247
BNB,0,0,0,0.174664633666063,0.255878361076248,0.0355869364717489,0,0,0.120955910956004,0,0,0.289463588141468,0,0,0.123007320859236,0,0,0,0,0
XEM,0,0.0333621023917449,0,0.27138790167149,0,0.104936995603969,0,0,-0.000000000000000000867361737988404,0,0.117209494399973,0.0273015345771765,0,0,0.18134574888164,0,0,0,0,0
DASH,0,0,0,0.142360983246693,0.199412963332697,0.0686629588925423,0,-0.000257481731822041,0,0.283576235293341,0.127148492201825,0.106633918975024,0,0.260940137400027,0,0,0,0,0,0.036503483537804
BV010082.INDEX,-0.176073388470682,0,0.0668871689062244,-0.0747924056781427,0.0461607732465955,-0.0499530544040854,0,0.0104515207314896,-0.0833373706203101,0,0,0,0.175419637078004,0.0394361952774494,0,0,0,0.124833988939056,0.49414125041042,-0.0345932896248333
CVIX.INDEX,0,0,0.0363076283282981,0,0,0.000025954023949129,0,0.0138476347721758,0.0519380025939859,0,0,-0.116797344762245,-0.109779325744704,0.053079813731638,0.033444485221449,0,0,0,0,0.0837473199764069
DXY.INDEX,0,0,0.00430947516540249,-0.00228916943509711,0,0.00447186295579746,0,0.00589285705099406,-0.0272111517355736,0,0,0,0,0.0015783088819662,0,0.0420045267657902,0,0,0,0.0103907115307172
SPX.INDEX,0,-0.034010535419755,0,0,-0.0427924842703524,0,0,0.0103673513267332,0,0,0.0191188874038203,0,0,0.0382046131655715,0,0.0525727346713119,0.0122910982101336,0,0,-0.129790653530263
VIX.INDEX,0,0.102310977794025,0,-0.10570525258963,0,0,0,0,-0.146670327073214,0,0.166483702836611,-0.190373329306644,0.0844903442653675,0.181499915829484,0,0,1.25506768919061,0,-5.47035338195261,0
