,BTC,ETH,LTC,XRP,XMR,ETC,DASH,XEM,DOGE,XLM,ZEC,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.324087692867323,0,0,0,0,0,0,0,0.00510118533855126,0.0189657002904658,0,0,0,0,0,0
ETH,0,0,0.0807342527445642,0,0.161918385063197,0,-0.0291397670615973,0.0496064090990516,0,0.188255541535369,-0.0059214594131967,0.163630441347592,-0.0661356410423156,-0.441183280779753,0,0,0,-0.162204236517221
LTC,0.683877878371579,0,0,0,-0.0371251636972344,0,0.0317141388349281,0.0669125097004867,0,0,0,-0.0457896737832399,0,0,0,0,0,-0.0232664497634351
XRP,0,0.0673882784354771,0,0,0.0599852345744816,0.035885755163062,-0.0702038647487717,0.0651736223679945,0,0.116341609068841,-0.0211969615722088,0,0.196591195135839,-0.160799347598461,0.049089794899371,0,0,-0.0455066001924739
XMR,-1.01822589400801,0,-0.197059604623392,0,0,0.0652823582294267,0.479348545598774,0.120587401367056,0,-0.0103390294934803,-0.0251378202326779,0,0.0141765023141239,-0.103720442661471,0,0,0,0
ETC,0,0.203582372644924,-0.223604142557007,-0.507133207791194,0.09837523814738,0,-0.14826978804563,0,-0.117164359691674,0.000000000000000000867361737988404,0.00402477646173965,-0.0604507325574146,0.40950285076514,0,0.192807251562804,0,0,0
DASH,0,0.0366838411656768,0.16942841607992,0,0.0787131028742463,0.225916825672902,0,0.106717205060946,0,0.0590191959532999,-0.032240969379664,-0.0788657017561308,-0.275287177927325,0,0.0432277003200275,0,0,-0.0770681081553167
XEM,-0.0652839204912906,0.127524363499244,0,0.111830177616013,-0.0837636340776322,0,0.277297848361974,0,0,-0.0118556050878244,0.0219693608581439,-0.0967395294055304,0.263585853913604,0,0,0,0,0.0682178545158141
DOGE,0,0.0859449258439516,0.00988926176156847,0,-0.0326824172153645,0,0,0,0,0,-0.00891608743759334,0.0379465624651631,-0.0408942851239237,0,0.0975308445493939,0,0,0.060127056038378
XLM,-0.2325204218377,0.0671564166526639,-0.349438973940928,-0.00862154693912253,0.23152014743157,0,0,0.129968847254124,0,0,-0.019571041858408,0.176103560261266,0.592375210236849,0,0,0,-2.46530732382101,0.0752751949406259
ZEC,0,-0.288164821061703,1.24276068217305,-3.26945948084622,0.593245503058012,0.496889814879683,-4.77935021171111,0,0,0.583466924018141,0,-0.28986653820473,-0.983874580442883,0.31331084954865,0,0,0,-0.72037588376813
NEO,0.643412106993739,0.236181920534757,-0.700416555326196,0.281020676299151,0.0147244498387683,0,0,-0.0728056893559634,1.08097362347486,-0.0151874718099442,0.0496657306939734,0,0.182400394337867,0,0.127837199243363,0,0,-0.104913547967222
DGB,0,0,0,0,0,0.102193847592277,0,0.0756657644863279,0,-0.00646499648231913,-0.0425628535666789,0.0759556795448341,0,0.306611252142219,0.0542703377750894,0,0,-0.0538425076490213
BV010082.INDEX,0,0,0,0,0,0.0914239242221083,0,0,0,0.0122999552463378,0.00680285071464138,0,0.0278760454821842,0,-0.0667550851264549,0,0,0
CVIX.INDEX,0,0,0,0,0,-0.0937469906133552,0.241361437104366,-0.0193444565060681,0.0791685788182162,0,0.0114103967068573,0.0447948662133216,0.101127981358243,0,0,0,0,0.238742766662974
DXY.INDEX,-0.00944495361025619,0,0,-0.0101039373764428,0,0,0,0.0282375067084298,0,-0.0101683384679615,0.00194733418404838,0.00594555161880339,0.00546075248094547,0.103496324533696,0,0,0,-0.0145832860208388
SPX.INDEX,0.00753795575567537,0.00163972968430792,0,0,0.00949061471658247,0,0.0103323177282188,0,0,-0.00915702943752571,-0.0002702247646302,0.0175468260157653,0,0,0,0,0,-0.029882941722238
VIX.INDEX,0,-0.19167841492053,0,0,0.139791499009191,0.00253095832747288,0,-0.433461414595289,0.340820550890228,-0.0373191059454528,0.041812217493955,0.0279151152467604,0,-0.50028416144102,0.64215248332013,0,-4.08464800610007,0
