,BTC,XRP,ETH,LTC,XEM,DASH,ETC,XLM,XMR,DOGE,ZEC,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.369617989971121,-0.0416985465698782,-0.0849311187987968,0,0.350265271693225,0.0264885442178733,0.354641709380939,0,-0.310605795741885,-0.0828885387219414,0.175386773262355,0,0,0,0,-0.12907522228255
XRP,-0.337391111196954,0,0,0,0,0,0.0911464292591664,0.534769603240953,0,0,0.277535895240637,0.258062241930947,-0.589375079377535,0,0,0,0,0
ETH,0,0.0112047543702833,0,-0.000000000000000000216840434497101,-0.257710374267914,-0.114508296596413,0.231828443385886,0,0.671869090504882,0,-0.435667545824815,-0.0371663325761439,0.087519086134504,0,-0.44879456962062,0,0,-0.130462155063924
LTC,0,-0.0150343433804966,0,0,-0.102471862228359,0,0.246633010149527,-0.00699443181836163,0.175052146300882,0.43542846592343,0,0,0,0,0,0,0,-0.266307831012574
XEM,0,0,0,0.0618056256137553,0,0,0,0.0359416430064265,0.16074618741517,-0.111950784563305,0,0.27135255703946,0.213606428363644,0,0,0,0,-0.200903344521031
DASH,0,-0.134219787587836,0,0.0601697378314651,0.164265404790575,0,0,0.062336074527512,-0.0816420592725096,0,0.264945483534881,0.0609549278662054,0,0,0,0,0,-0.161435796471905
ETC,0,-0.0522947477210945,0.328795080931099,0.12746816051047,0.071637740967291,0,0,0,0.0715582764134776,0,0.179716840243467,-0.112904660878935,-0.0558948757277266,0,0,0,0,0.21594342260122
XLM,-0.303676147712431,0.282494799925521,-0.210559788426088,0.103447628550658,-0.056826186087289,0.000402585626098088,0.432097614058374,0,0.626837316823461,0.526847357585679,0,0.0230196101834122,0.252396204217766,0,0,0,0,0
XMR,0.175222217761752,-0.0513917054988614,0.252064278535223,-0.0864411892285213,0.0612224827682057,0.00271143292717743,-0.0857022714860972,0.130069652249136,0,-0.0249579223171371,0.0747159014322594,0.023475625679423,-0.0947616710210198,0,0,0,0,0
DOGE,0,0,0.225329130335446,0.326223623717157,0,0,-0.0773831339427033,0.268084013202169,0,0,0.21020197702535,0.0252288772127328,0.118872356690668,0,0,0,0,0.424218968168031
ZEC,-0.127277687733105,0.0378441231347498,0,-0.000181557484401173,-0.0393454788583364,0.148078409585656,0,-0.0650527516385661,0.238789474528063,0.193640128997784,0,0,0,0,0,0,0,0
NEO,-0.509309511779569,-0.0448932852201805,0,0.0386512963752241,-0.0439588851494916,0,0,0.0117888178095545,0,0,0.407772273380094,0,0.0858070878939805,0,0,0,0,0
DGB,0,-0.00289085636750628,0.0857890954029161,-0.254974327560023,0,0,0,0,0,0.0213791727663077,-0.0844115560070377,0.223055016313903,0,0,0,0,0,0
BV010082.INDEX,0.0598167264555568,0.0013101493939057,-0.0178109299861827,-0.00219415197552984,0,0,-0.0426597060758429,0.0188133335953862,0,0,0,0,0.0212547058353952,0,0,0,0,0
CVIX.INDEX,0,0.00552407128572335,-0.0848100218238459,0.0460774126453816,0,-0.12641886946448,0,0,0,0,0.215603861923479,0,0.0386087963023634,0,0,0,0,0.23335302039406
DXY.INDEX,0.0459585948048988,0.00190209201804748,0.00749935197893087,0,-0.00598661810699502,-0.00181690764276078,0,0.000651487415114642,0,0,0,0,-0.00211904868661441,0.0690796742104214,-0.000104443715093673,0,0,0.02641132891185
SPX.INDEX,0.00193989828200463,0,0.00978659093977188,0.00220404925047146,-0.00195671402906784,-0.00192634756452556,0.00089546015467642,0.00425151214449001,0.0000000000000000000271050543121376,0,-0.00125705224149512,-0.00376946948758627,0.00123763958731744,0,0,0,0,-0.0403082883686598
VIX.INDEX,0,-0.0150354756681043,-0.173223348485392,-0.0801845743481538,-0.0859342354821418,0.126738705503849,0,0.0417435660127452,-0.0304868745915381,0.121337649469437,-0.123416501169186,0.046731956381718,0,-0.728667927224478,-0.105950639279942,0,0,0
