,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,XMR,MIOTA,ETC,ADA,ZEC,XLM,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.0308178613974816,0.000000000000000000867361737988404,0.0969830065846695,0.110152379145488,0.0107310783121592,0.124308609066452,0.201937495245255,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.192188332545606,0,0.160715942512407,0,0.0488090710810156,0.180036298943603,0,0,0,0.13633834358257,0.0142094844166005,0,0,0,0,0
XRP,0,0,0,0.105779430099126,0.0364917618480938,-0.0648266819395945,0,0.090078621026339,0.122746668581266,0.0484101278163282,-0.00000000000000000173472347597681,0,0,0.128070169853427,0.081170559685272,0,0,0,0,0
BCH,0.456329048092995,-0.539281740326021,0.025209960820138,0,0.331071594139853,0,0.317871671324222,0,-0.125914989032203,0.0506055289257102,0,-0.187964353298063,0.302468727317696,0,0,0,0,0,0,0
LTC,0,0.00404836285737114,0.0769466611932698,0,0,0,0.00324582056113035,0,0,0,0.749162995220833,0,0,0.0654564931140562,0,0,0,0,0,0
DASH,0.134166064362127,0,0.0519619560473384,0.135025415399698,0,0,0.173949084158451,0,0.0580837533256031,0.169110664819441,0,0,0.0391016647726359,0.00000000000000000173472347597681,0.0146223366454713,0,0,0,0,-0.0832899148703569
XEM,0,0.622132033463175,-0.109142148518474,0.0248632127933195,0.0883204994995358,0.283310850440771,0,0.0629816949939166,-0.0741790583899069,0,0,0,0,0.0606724781899739,0.211212142578399,0,0,0,0,0.145686343290218
NEO,0,0,0,0,0.120921898306474,0.0681368982398631,0.260422978786742,0,0,0.0588654934971941,-0.0000000000000000138777878078145,0,0,0.327103771488506,0.147629232740253,0,0,0,0,-0.271359502017413
XMR,0,0,0.279458940070175,0.0794861409165957,0,0.0615300942462956,0.0877449003981431,0.116698394601521,0,0,0.122985639576264,0,0.0786803008898553,0.0884001447424266,0,0,0,0,0,0
MIOTA,0,0,0,-0.090184895453701,0,0.0277192960231331,0,0,0.0764712718697558,0,0,0,0.43454046180672,0,0.319702571006084,0,0,0,0,-0.0130475966004592
ETC,0,0,0,0,0.599108474441012,0.0121805700887535,0.0309047901491767,0,0.0633770299210584,0.097828031333448,0,0,0,0.115631845941001,0,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,0,0,-0.0809206843980609,0,0,0.280651678896361,0.27625049955515,-0.020466650393005,0,0.117602335798009,0.0175864699629994,0,0,0.15934712470637,0.21370333918593,0,0,0,0,0
XLM,0,0,0,0,0,0,0.307947903251243,-0.00000000000000000346944695195361,0.175640438342588,0.0646782873998046,0.183840609080626,0,0,0,0,0,0,0,0,0
EOS,0,0.291572289631183,0,0,0.232815260710532,0,0,0.186011008718751,0.0497809992519923,0.0544725324469182,0,0,0.177742503575042,0.170856919828976,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.0183524472300504,-0.019349633681969,0,-0.00377940006623858,0.0535296482492641,0,0,-0.0502428193229001,0,0,0,0.00129554017494925,0.0674070140445907,0,0,0,0,-0.0539998886941826
CVIX.INDEX,0.164470206156737,0,0,0,0,-0.00667331941176251,0,-0.053817322298962,0.0288640072503754,0,0,0,-0.0130381220141594,0,-0.0460456602259939,0,0,0,0,0.085839659722843
DXY.INDEX,0,0,0,0,0,-0.0283495054099329,0,0.0104244017889394,0.00428431793252989,0,0.00645747773634238,0,0.00377180968654143,0,0,0,-0.0131111260577082,0,0,0
SPX.INDEX,0.00580928974566891,0,0.00246905497500647,-0.00928697940597208,0,-0.00613709415026017,0,0.00185268333934957,-0.00677598410790041,0,0.00271788665898634,0,-0.00388429978450669,0.00850185865856985,0,0,0,0,0,-0.038742193554374
VIX.INDEX,0,0.390885998934089,-0.0178877690975809,0,0,-0.326624362060192,0.105477034359886,-0.080238448535694,0,0,-0.0677242208068799,0,0.24848495242202,0,-0.24049645019287,0,0.785656147655197,0,0,0
