,BTC,ETH,XRP,BCH,EOS,LTC,BNB,XLM,ADA,TRX,XMR,DASH,BSV,MIOTA,XTZ,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.140607412224938,0,0.0951318119703262,0.0649053201433303,0.0356934286232166,0,0.0430409067565272,0,0,0.0352718640730292,0.0130698372166451,0.0453666872964971,0.0426222019962364,0.00926036601174994,0,0,0,0,0
ETH,0,0,0.187837747223329,0,0.284639934076345,0,0,0,0,0.0621845169610729,0.102496717315664,0.0303616940860982,0.0227949522668985,0.0258272841066137,0,0,0,0,0,0
XRP,0,0.206299929912417,0,0,0.120394796705889,0,0.0500156665513618,0.110087693200212,-0.00000000000000000693889390390723,0.102187972006676,0.0241898289346314,0,0.00583359847645472,0,0.049399121736682,0,0,0,0,0
BCH,0,0.128690561246887,0,0,0.149892170713363,0.235563565737909,0,0.0951788792222881,0.287254612591246,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0.371267538371887,0,0.118017811840808,0,0.275941129568566,0.0175300248273052,0,0.101525220171402,0,0.322261384997054,0,-0.12925021717512,0.0392724303109322,0,0,0,0,0,0
LTC,0,0.0633355207145866,0.12026370840093,0.13793916776214,0.227402007394985,0,0.0534520464769674,0,0.10777786743547,0,0,0,0.214158141115954,0,0.0510583478737766,0,0,0,0,0.0180177064816198
BNB,0,0,0,-0.00508818717390466,0.119717324943971,0,0,0,0.0301941110171595,-0.544255158974885,0.558697525441055,0,-0.0351215974150579,0.318477968319165,0.0194049928242173,0.967164629671038,0,0,0,-0.0303728375066044
XLM,0,0.26648325828693,0,0.120825478352183,0.0106154137141331,-0.00000000000000000693889390390723,0.0151103194634823,0,0,0.0182415091394008,0.180701856720933,0.0961795077170094,0,0.0214065018834569,0,0,0,0,0,0
ADA,0,0,0.203399172304701,0.232720954118528,0,0.228366570465321,0.00323739233656236,0,0,0,0,0,0.0126734843916537,0.16741125076937,0.0457532038546564,0,0,0,0,0
TRX,0,0.0679167717189441,0,0.0278351799406395,0.109463621091094,0.0522006843413054,0,0.264402391844666,0,0,0.308769316514584,0,0,0,0.0961055722140503,0,0,0,0,0.0544678040858166
XMR,0,0.163768346162953,0,-0.0405319484848044,0,0,0.110121098484063,0.175836282008147,0,0.221672222327036,0,0.246061139911241,0,0,0.0284733066691244,0,0,0,0,0
DASH,0,0.20683421007572,0,0.0308246020089741,0,0.0990936147337196,0,0.0742858126792552,0,0,0,0,0.0143100631968728,0,0,0,0,0,0,0
BSV,0,0,0,0,-0.224283068867689,0.566644543778942,0,0,0.192824011734763,0.252290673283727,-0.03343949884795,0.144805517590898,0,0,0,0,0,0,0,-0.068726890695226
MIOTA,0,0.28740777266064,0.246880445636322,0,0,0,0.0247239732904079,0,0.0853305749997855,0,0.109437497777906,0,0.00396849852808719,0,0.0295358678362573,0,0,0,0,0
XTZ,0,0,0.857297395500388,-0.271360624409879,0.186785029515297,0.141239714184485,-0.132637250982974,0.416471339880425,0.236340480361197,-0.0770999798016534,-0.380271188855364,0,-0.231150061613495,0,0,0,-0.849869980661279,0,0,0
BV010082.INDEX,0,0,0,0,-0.057719445891469,0.120394251434287,0.0780678452522568,0,-0.0942019559948047,0.0170270668851193,0,0,0,0,-0.0556730013589211,0,0,0,0,-0.0970194463412433
CVIX.INDEX,0,0,0,0,0,0,0,0.144486911487438,0.0513994144913341,0,0,0,-0.0687742395826601,0,-0.250369721276809,-0.31091210385857,0,0,0,-0.0750038136684002
DXY.INDEX,0,0.00434553131864865,0,0.00512683008189088,0,0,0,0.0162410024961842,0,0,0.00356041736214373,0.0125175942898285,0.0138284244362997,-0.0750857941177778,0.00319537448702,0,0.0018162390324346,0,0,0
SPX.INDEX,0,0,0,0.0142119394606184,0,0,0,0,-0.0184171972152318,0,0.0254346855946234,0,0,0,0.00660010218776242,0,0,0,0,-0.0818411061162114
VIX.INDEX,0,0,0,0,-0.443429209344943,0.237567574417245,0,0,0,0.412280213720845,0,-0.185889575688565,0,0,0.0472779434408366,-0.797252121213937,0.0419387952433777,0,-4.05421823370051,0
