,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,NEO,XMR,DASH,XEM,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0361446629661618,0.0461492298114115,0.0310760889646739,0,0,0.0729260012093364,0,0.119473071233742,0,0,0,0.00917039037010688,0.131198259951938,0.0478789185853698,0,0,0,0,0
ETH,0,0,0.309210363557527,0.0846798487926864,0.0172445577985825,0,0,0.0474616929926012,0.0964071571353039,0.0814222787457757,0,0,0,0.132116843596966,0.158856016899281,0,0,0,0,0
XRP,0,0.296792959997985,0,0,0.0222328196115486,0.204268883240686,0.137583614425502,0.128504231580583,0,0,0.0730700233522208,0.09363087662802,0,0,0,0,0,0,0,0
BCH,0,0,0.14521732474686,0,0,0,0,0.181755128722154,0.190118864307815,0,0,0,0,0.187401046717252,0,0,0,0,0,0
EOS,-0.359774787529229,-0.258598616793779,0.498704016445312,0.441899931311997,0,0,0,0,0,-0.0121298348051984,0.400347833941884,0.570117811096287,-0.747530906050604,-0.140787480642957,0.360452518335927,0,0.258830752898115,0,0,0
LTC,0,0,0.239821464110292,0.111135911007221,0,0,0,0.0649706909829208,0.0343910396258329,0,0.117657531424724,0.0517797710603779,0,0.0283188974095412,0,0,0,0,0,0
XLM,0,0,0.105270184035847,0.0722345196370311,0.192954537830128,0,0,0.152325104039774,0.0998127225583374,0.0273064889893934,0,0,0,0,0,0,0,0,0,0
ADA,0,0.097408483828051,0.160646118174123,0,0.10319374429951,0,0,0,0.139713728891496,0.165315046434684,0.126826621522184,0.0982077194033086,0,0,0,0,0,0,0,0
MIOTA,0,0,0.391464642995903,0.000000000000000000433680868994202,0,0,0.339354171111953,0.21434853202983,0,-0.127913903617547,0.149840386672762,0,0,0,0,0,0,0,0,0.0555243277114395
TRX,0,0,0,0.278337405329949,0.00000000000000000346944695195361,0,0.257276222121402,0,-0.0950000818391095,0,0,0.255434989436631,0,0,0,0,0,0,0,0.0198215839736927
NEO,0,0,0,0.0941892609841713,0.0373385940003246,0.140043890552331,0.204126002292407,0.0221066377440454,0.150001825523949,0.0584551328957903,0,0,0.176719307295521,0,0,0,0,0,0,0
XMR,0,0,0.265153353224391,0,0,0,0,0.114299996655655,0,0,0,0,0.168747556128258,0.195466842008575,0,0,0,0,0,0
DASH,0,0,0.18982265346973,0,0,0,0.0959765898173817,0,0.12648145480209,0,0.0444378424881452,0.0341429929551874,0,0.206530300181405,0,0,0,0,0,-0.0491230971000831
XEM,0,0.333976367369572,0.0539450924319453,0,-0.00000000000000000346944695195361,0,0.25568965542492,0,0.000000000000000000867361737988404,0.154200743107103,0.0416234013214954,0,0,0,0.0623822751517954,0,0,0,0,0
BNB,0,0.342771364523271,0.0704349396499376,0,0.0368052146601386,0.305238571321645,-0.00000000000000000346944695195361,0,0,0,0,0,0,-0.0508710100976518,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.00816724496266124,-0.0430980019572888,0,-0.11034290630404,0,0.0889095193647267,0.0258281237394295,0.0223957882468086,0.0299776652346335,0,0,-0.018717719771117,0,0,0,0,-0.293843740842252
CVIX.INDEX,0,0,0,0,0.0338665650537877,0,-0.0678804929798509,-0.163717027678358,0.038870759911154,0.0777553556672437,0.0496481841761201,0,0,0.12156375740068,0,0,0,0,0,0.0885023823988309
DXY.INDEX,0,0,0.0172181224558044,0.00399605347617557,0,0,-0.0237400056548285,0,-0.0104790650981041,0.00821948839666286,0.00892413807138465,0.0220328488802012,0,0,0,-0.00906397432638885,0,0,0,0.0224654710398649
SPX.INDEX,0,0,0.0159857683259132,0,-0.00190217532692381,0,0.0173658011058382,-0.0214947272027908,-0.0121916292198654,0,0,0,0,0,0.00817311879251672,0,0,0,0,-0.0881885884159395
VIX.INDEX,0,0,0.288810866534748,0,-0.273094907637608,0,-0.185353009259654,0.00000000000000000693889390390723,0,0,0.360716502742188,-0.0721524429681399,0,-0.179658869126424,-0.00803100215411593,-1.22914618423301,-0.330746788385155,0,-1.2914599526345,0
