,BTC,LTC,XRP,ETH,DASH,DOGE,XLM,XMR,DGB,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.165155127159438,0.00963362387066228,0,0.0788165781717859,0,0.074030997837139,0.246665364337882,0.0294351918027235,-0.017123754484775,-0.131043092476619,0,0,0,0
LTC,0.489574946268977,0,0.198922366037134,0.0213654020619629,0,0.346133122723567,0,-0.192715631788452,0.00925105245569329,0.0788880386320978,0.228175265276682,0,0,0,0.0284818629263379
XRP,0.794908998768689,-0.3474500561855,0,-0.106128790655229,0,0.85388472145646,0.472950054339827,-0.473491681750624,0.00917521812959217,-0.124221710937317,0,0.229846345231579,0,0,-0.158704631760216
ETH,-0.000000000000000111022302462516,-1.58537070523324,-0.418900968596303,0,0.650296091179955,2.13902055584972,0.588196822086295,-1.00121087363474,0,-0.532735864993991,-0.298704495869346,0,8.37488027560718,-1.73514385006422,-0.125825811012908
DASH,-0.0447132332990363,0.409544098008937,-0.164687096371468,0,0,0.245400737791595,-0.20083532090112,-0.0375953707057104,0.0360970852948765,0.116429050651195,0,-0.263994545186141,0,0,-0.161681941033128
DOGE,0,0.373696952839309,0.140302153396023,0.0451087158289939,0.0348007226998329,0,0,0.104136900592891,0.00861801690060411,0,0,0,0,0,0.0192623894938849
XLM,0,0,-0.0207614390014567,0.0679634952742652,0.13094334516993,0,0,0,-0.0384281759178208,0.143301187012989,0,0,0,0,0
XMR,0.344651668890537,-0.255092913542999,-0.120163414044956,-0.0546115879402318,0.0496276493285832,0.830001043142822,0.178727392469078,0,0.024877269481601,-0.0449995207965484,-0.528397692495083,-0.093206786820344,1.90349990574516,0,0.0948010115374511
DGB,0,0,0,0,0,0,0,0,0,0.337971970801391,0,0,0,0,0
XEM,0,-0.377455914986577,0,0,0.270569762406366,1.36813095034243,1.12995146034755,-0.214585865738885,0.14961451020812,0,0.53285743187669,0.408043585079425,0,0,0.00507323012186955
BV010082.INDEX,0,0.207231977145824,0,0,0,0,0,0,0,0.0792645908854488,0,0,0,0,0
CVIX.INDEX,0,0.316358465405504,-0.00000000000000000173472347597681,0.010362212959277,0,-0.326235308388775,-0.265235488214533,-0.0693059174636734,0.0112323297931039,0.056859820018388,0,0,0,0,0.0436014002698735
DXY.INDEX,0,0.0161905248225199,-0.0199978663095362,0.0119684974740783,0,-0.006031734289119,-0.0357133801253189,0.0406916840894986,-0.00612346827630437,0.016135269245873,0.0425683377224549,0,0,0,-0.0176488871925417
SPX.INDEX,0,0,-0.0207389866626237,-0.0112425226749621,0,0,0,0.0253235916960372,-0.0000000000000000000135525271560688,-0.010478383774715,0,0.0464100765561367,0,0,-0.130230973663671
VIX.INDEX,0,0,-0.140445842254535,-0.0000000000000000138777878078145,0,0.277467542381997,0.0361599028855662,0.0361212567989097,0,-0.146253466706078,0.464372710984212,0,0,-5.85712478693093,0
