,BTC,ETH,XRP,LTC,ETC,XEM,MIOTA,DASH,XMR,ZEC,XLM,DOGE,NEO,DGB,BAT,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.166855730542656,0,0,0,0.0904425459948813,0.102647258192536,0,0.00113876303445086,0.0120950088481467,0,0.0532776347091225,0.0374965314972941,0,0,0,0,0
ETH,0,0,0,0,0.202735330563048,0.0130166150905803,0,0.0250402359019285,0.0823073011000346,0,-0.0280568138261534,0.0555843739377051,0,0.0144730092695731,0.20132804724319,0,0,0,0,0.00666438460055078
XRP,0,-0.0931411526658066,0,0,-0.285785045552219,0,0,0.355993469066763,0.157323935917392,0.0465688458347382,0.325636088897849,0,-0.0192154066988081,-0.0267374031349556,0.050371990065469,0,0,0,0,0
LTC,0.48529352561233,-0.113592407813806,-0.17423871762807,0,0,0,0,0,0.0987117100578316,-0.0691011792439782,0,0.0976813060728795,0.154454129227756,0,0,0,0,0,0,0.0162222555075673
ETC,0,0.246098920539309,-0.0702740993797286,0.169706099680601,0,0,0,0.0789874256122708,0.133368615591512,0.0569665998898848,0.0189641779798679,0,0.0328293343625745,-0.046833629090708,0,0,0,0,0,0
XEM,0.212301550099072,0,0.218820742708547,0.104329022470274,0,0,0,0,0.0373746885586604,0,0,0.181582800061391,0.0505049970939077,-0.0504223438869292,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASH,0,0.0488755428901328,0.0451733505481806,0,0,0.0217487762685036,0,0,0.398515698814431,0,0.0631911635785406,0.0257419431426564,0.0533836441571837,0,0.0463517526324675,0,0,0,0,0
XMR,0,0,-0.105798542721324,0.179259492833866,-0.227163616181207,0.203317341900961,0,0.618320954636074,0,0,0.0658181878172642,0,-0.140066899185559,0.00889745676105141,0,0,0,0,0,0
ZEC,0,0.134008926566764,0,0.000835201186134411,0,0,0,0.027747873082175,0,0,0,0.197315883604349,0.0550447458750142,0.0105615456331759,0,0,0,0,0,0
XLM,-0.476631634301515,-0.00826242260314118,0.784128808168373,0,0.307179542835893,0,0,0,0.312987609711358,-0.115339534339137,0,0,0,0,0,0,0,0,0,0
DOGE,0,0.0837019502972419,0,0.0770245388231949,0.0347910135129547,0.307884740763416,0,0.102315795167425,0,0.324332292766902,0.157092701421686,0,0.0321098097721055,0.0484727086546681,0,0,0,0,0,0
NEO,0,0.0607598539505245,0,0.680392313245923,0.191975325489232,0,0,0.162827746832092,0,0.377737859221386,-0.00160162873150697,0,0,0.126906151258448,0,0,0,0,0,0
DGB,0.0742882039657408,-0.363547292964138,0.128207825284177,-0.162656008339712,0,-0.14750907376844,0,0,0.663418170820973,-0.260306080039403,-0.161994326815937,0.449816776884915,0.199565945138469,0,0.356489241817755,0,0,0,0,-0.142882489923258
BAT,0,0,0.137223067623519,-0.158288358953051,0,0.0362071774269663,0.361322188841034,0,0,0,0.0410932207566949,0.13193376069101,0.0000000000000000000542101086242752,0.0369971300196109,0,0,0,0,0,0
BV010082.INDEX,0,0,0,-0.0411024496474876,0,-0.00134414810965997,0,0,0,0,0.022479850374972,0,0.0159732936951847,0.00962867419748649,0,0,0,0,0,-0.0365024053243723
CVIX.INDEX,0,0,0.049733852100455,-0.0490867478991359,0,-0.300426273359113,0,0,0.07157582259986,-0.00844879945191619,-0.030578311808104,0.139929647632465,0.0530049428402599,0,0,0,0,0,0,0
DXY.INDEX,0,0.00510651832915128,0,-0.00576540476439861,0.011511483083999,-0.0144129274398444,0,0,0,0.00323410053234379,0.00685080999781974,-0.00484890573582758,0,-0.00421226784472754,0,0,-0.00684177395870036,0,0,0.0135121876948076
SPX.INDEX,0,0,0.0000000000000000000135525271560688,0,0.00289029052128525,-0.00270980271088997,-0.00274915473563244,0,0,0.00451530527905191,0.00317820873536759,0,-0.0014241730422723,0.000711701004478442,0.0020401641575799,0,0,0,0,-0.0403791254565457
VIX.INDEX,0,-0.030862619851499,0.178891703601835,-0.0357734455257625,0.197927955489714,-0.0433547590644128,0,0.261860373520296,-0.15022185502978,-0.131061428389939,0,0,-0.11250978239385,0,0.0911044421101964,0,-0.149273155303218,0,0,0
