,BTC,XRP,ETH,LTC,DASH,DOGE,XLM,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0376070776364706,0.0442837025493675,0.802420059482096,0.0896249186886839,-0.00693442443301824,0,0.228239087780902,0,0.0174810702367064,0,-0.074820334309627,0,0,0.0451756631951843
XRP,0.0580135608130949,0,0,0,0,0.142726024848169,0.550339341896114,-0.497170950460475,0.0441851018353035,-0.117737339490115,0,0,0,0,0.0531523826437907
ETH,0,-0.171846837347518,0,-0.0563196348249377,0.0659544889617836,0,-0.192045641655023,0,0.0346717196324525,0.0886903954948148,0,0,0,0,0.20257955667732
LTC,0.690494702030015,0,0.0318662997608488,0,0,0.080032977576376,0,0,0.0243846011448497,-0.032094139414714,0,0,0,0,-0.0292397766054705
DASH,0.114845173087642,0,-0.0333861468311653,0.21359551411264,0,0,0,-0.548172712669818,-0.0804708876036994,0.0252147099477954,0,0,0,0,0
DOGE,0.525136456807728,0,0,0.114373456645468,0,0,0,0,0.0807501506665093,0,0,0,0,0,0
XLM,0.0513203377394254,-0.1200084269675,-0.238610690002379,0,-0.0641107708746101,0,0,0,0.126557861044773,0.246450208932187,0,0,0,0,0
XMR,0.533522272992803,0,0.140585656357696,-0.158257250557335,-0.258365994896389,0,0.222841357055171,0,-0.0463714757230053,0.0399672066892152,0.446644167533769,0.919896793824643,0,0,-0.209539455875524
XEM,0,0,0.141997071480065,0,-0.230525700142069,0,0.380397410743038,0,0,0.145157725567335,0,-3.33846995679641,0,0,0
DGB,0,0,0,0,0.152733738413537,0,0.385865878199721,0.141980635439709,0.152468825854765,0,0,0,0,0,0.0664467876357298
BV010082.INDEX,0,0.0634847175353091,0,0.0831877349918498,-0.0195181325419443,0,0,-0.046481626776628,0.0100793274873302,0,0,0,0,0,-0.0841829198028403
CVIX.INDEX,0,-0.0832273037582739,-0.0737942797536214,0,-0.0162560575615142,0,0,0.0221624716564634,-0.0256090730827189,0,0,0,0,0,0.121434985489284
DXY.INDEX,0,0,0.0163160856070938,0,0.0089986934868639,-0.0222219713589358,-0.0307842732518005,0.017814084261184,0.00245893335709316,0,0,0.0518115404455201,0,0,-0.0258917063213201
SPX.INDEX,-0.00275745144622204,0.0284959025669667,0,0,0,0,0,-0.00133156567389841,0,0,0.0437392476644799,0,0,0,-0.114451130414285
VIX.INDEX,0,0,0.0476970994415103,0,0.050927105810887,-0.20006378102901,0.130605939847663,-0.138046623361465,-0.107751396827158,0.235186024667038,0,0,0,-5.19780225826263,0
