,BTC,ETH,XRP,LTC,ETC,XMR,DASH,XEM,DOGE,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0173141378015409,-0.00409164289692958,0.15836177880422,-0.00420435073857372,0.0122636723556052,0,0,0,0,0.0122710116073762,0.0224784260151675,0.000000000000000000216840434497101,0,0,0,-0.025191298656384
ETH,0.416827915579834,0,0,0,0.123243911418656,0.0244770251873405,0.110647303566946,-0.0727258688220163,0.049220568971262,0.043177719469307,0,-0.0107038507038191,0.640794584163494,0.0141293299697917,0,0,0.105300013864855
XRP,0,-0.512978636173706,0,0,0,0.034213800128868,0.213737000617479,0.135225265455922,0.408112873423608,0.412785875660388,-0.113975775569038,-0.0760578342002827,0,0,0,0,0.0632480541585812
LTC,0.315579202010621,-0.050691562296793,0.0113854706495999,0,0.112894554930511,0.013726988620017,0,0,0,0,0.0280861735155442,0.0594691268771806,0,0,0,0,0.0285150254967991
ETC,0,0,0.0861795670491357,0.339433556376605,0,0,0.125881173729083,-0.0246453820647688,0,0.00429305981697597,-0.0595880978876069,0,-0.255947071100424,0,0,0,-0.00867478702663626
XMR,1.15983069307231,0.242166191769903,-0.0435527055351846,0,0.181025097953104,0,0.197013415627734,0,0,0,-0.211888407365767,-0.0412408912742366,-0.818117225357565,0,0,0,-0.0564541000689083
DASH,0,0,0,0,0,0.0446303214786676,0,0,0,0,-0.0798697153989247,0,0,0,0,0,0
XEM,0,0.0772678122558515,0.228832861343424,0.582007707531382,0.0767459965057849,0.062367543392103,-0.234203326559644,0,0,0,0,-0.0852942184469547,0,-0.70759155726109,0,0,-0.0524586349904407
DOGE,0,0.0158965316280157,0.0885222209645994,0,0.0165839801672399,-0.0174345581059471,0,0.110735139219245,0,0,0.0450744272745136,0,-0.190309344932329,0.135001627450469,0,0,0.0556265389783585
XLM,0,0,0.572350554226317,0,0.104706473223747,0.0531864017916781,-0.0942370959341753,-0.22726076309062,0,0,0.0344477954279391,0.105039194056946,0,0.425173191803659,0,0,0.000902787778207398
NEO,0,0,-0.254733699953158,0,0.000000000000000000433680868994202,0,-2.94143779097629,0.564805171234357,1.20524953490841,0,0,0,0,2.45955831198365,0,0,-0.498766170916759
DGB,0,-0.53345235248789,0.225704550956056,0.230598251503923,-0.195573153727742,-0.0202390086479552,0.162318060474238,0.217700883012307,0.00000000000000000693889390390723,0.00984868449798597,-0.0217350800974395,0,0.474565882943194,1.00177524345347,0,0,0.023653636383522
BV010082.INDEX,0,0.0433747010278822,-0.0347305519390643,0,-0.00608941345502778,0.0349445823962161,-0.131496403350049,-0.0470145510729732,-0.285734596985685,0,0,0.0459077156837019,0,0,0.509580695283459,0,0.0490992911701747
CVIX.INDEX,-0.377907040578184,0,0.0339565024000435,0.32077248377523,0.0994355333456901,-0.0255589444643495,0.13361931310002,-0.0717214113467608,0,0.0453229975969419,0.0108143339861529,0.067496344298376,0,0,0,0,0.109606194995923
DXY.INDEX,0,-0.00791901470998434,0,0,0,-0.00242544882588676,0,0,0,0,0,0,0.0814170976345181,0.0271959629226703,0,0,0.00187628938178512
SPX.INDEX,-0.0299242412991972,0,0.0145181866487405,0,0,0,0,0,0.0393754410646507,-0.0173776761080284,-0.00637328050284958,0.000964088800734646,0,0,0,0,-0.07177200861915
VIX.INDEX,-0.248494455799683,0,0.0387439943313797,0,-0.225996782230775,-0.0701958976245883,-0.599363878584461,0.290642086475686,0,-0.0845113408284912,0,0,0,0.950184843075075,0,-4.37677660938499,0
