,BTC,ETH,XRP,LTC,XMR,ETC,DASH,XEM,DOGE,XLM,ZEC,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.0279058966858226,0,0.46526568328509,-0.0511919225415013,0,-0.00193151028533249,0.0573431141424021,0,0,0.0027722769616498,0.0090870225948392,0,-0.00368579093720328,0.00452566666686435,0,0,0.018215317448165
ETH,0,0,0,0.392758382549364,0.239338515661105,0,-0.106234145373413,0.0621802836340472,0.16062448798846,0.0628058595614548,0.0120029776933823,0.00726832355480047,0,-0.173685188953203,0,0,0,-0.171472432614146
XRP,0.135616513481864,0.186801560613097,0,0,0.0690981737531988,0,-0.182729796280373,0.00000000000000000173472347597681,0,0.0770135097178025,-0.0564401478617153,-0.0842510517323475,0,0,0.0581478430932015,0,0,-0.00412789434757808
LTC,0.705351475644656,0,0,0,-0.00874175138007598,0,0.0297122725461483,0,0,0,-0.00305278114832565,-0.00374572586684263,0,0,0,0,0,-0.0204147022917506
XMR,-1.10278022431754,0,0,-0.334983866083408,0,0.062823049805558,0.434468682143049,0.0887574289833601,0,-0.0177648554152156,-0.0308308564287005,-0.048003721563357,0,0,0,0,0,0
ETC,0,0,-0.736670379268199,0,-0.00555601030640503,0,-0.221467876413996,0.284385229870947,-0.0913098840664325,0.0945929382400825,0.0121081474761151,-0.135236736149068,0.655035778807849,0.366813580294875,0.168733828241389,0,0,0
DASH,0,-0.0884994871178426,-0.102501774667612,0.395573737959246,0.182190954879682,0.045981659282118,0,0.00000000000000000346944695195361,0,0.0650298546461026,-0.0860459088833337,-0.0952270623298903,-0.0774604404942787,0,0,0,0,-0.000721586208346985
XEM,0,0.249858303609974,0.326396267311127,0,0,0,0,0,0,-0.0515509021622947,0.0161848019614702,0,0.287866498416724,0,0,0,0,0
DOGE,-0.0481346395794159,0.190152488495756,0,0,-0.106305573345631,0.00774034120736395,0,0.103545024267439,0,-0.0442849696710658,-0.00715153170196507,0.00104369474417451,-0.055252477631441,0,0.0941277832963046,0,-0.343544508156984,0.0169280861569834
XLM,0.262363430907308,0.486416653046479,-0.116621758917501,-1.03393252375564,0.00735260554109831,0,0,0,0,0,0,0.072184302981849,0.641032351143471,0,0,0,0,0
ZEC,0,-0.243532164682684,0,0,0.150296560139042,0,-5.71959049478961,0,0,0,0,-0.388782795213804,-1.55785253104458,0,0,0,0,-0.530080792949846
NEO,0.822554092269847,0.842484986909992,-1.85562039905283,0,0.253143998966941,0.382767752402138,-1.27328444808304,0,0,0.147765129616651,-0.21279080739167,0,0.0279208243513712,0,0,0,0,0
DGB,0,0,0,0,0,0,0.224380709449293,0.149886915926753,0,-0.0158425365061977,0.000000000000000000433680868994202,-0.0585347999814862,0,0.510265773166739,0,0,0,0
BV010082.INDEX,0,0,0.0995166892892681,-0.0298848749963993,-0.0288505289097762,0.0485000815629852,-0.0297037866776138,0,-0.174656203458292,0,-0.00293919832676987,0.0180073387534029,0.0300102788600528,0,-0.153250311840203,0,0,-0.0447351174512585
CVIX.INDEX,0,0,0.151495972270617,0,0,-0.133226399449222,0.214562602755459,-0.101182044000518,0.215286371596927,-0.00873026331659744,0.00352279133978399,0.00138640678858057,0.0780932541722159,0,0,0,0,0.216320624430351
DXY.INDEX,-0.0063230959052575,-0.0000000000000000000542101086242752,-0.0111880788315818,0,-0.000819880734495809,-0.0017534541823513,-0.0168579122845436,0.0363066329576627,0.0143814788853771,-0.0103508662872225,0.0036522959636199,-0.00457902411722144,0,0.0874685414150123,0,0,0,-0.0179838620855316
SPX.INDEX,0.0196837451246757,0,0,0,0.00505688851322242,0,0.0170070519169058,0.00368494057628031,0,-0.0101134755202946,0,0.0153176619022775,0,0,0,0,0,-0.0385791336816758
VIX.INDEX,0,0,0,0,0.114611988927572,0,0,-0.408796447038322,0.614692271892542,-0.0930585111575074,-0.0570011141664776,0.140994665929034,0,-0.576537182314757,0.54520331058075,0,-1.66862652433509,0
