,BTC,XRP,ETH,BCH,EOS,XLM,LTC,BSV,TRX,ADA,MIOTA,XMR,BNB,DASH,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.000000000000000000433680868994202,0,0.143934999948353,0,0.0115290498021277,0,0,0.0709709057942041,0.314220804354428,0.122462812912456,0,0.0807196107572419,0,0,0,0,0
XRP,0,0,0.218824935696767,0.0316542361538663,0.0244155674011128,0,0.199466853575545,-0.0111669173500803,0,0,0,0,0.0614352362160416,0.046337662837425,0.0968976315360305,0,0,0,0,0.0143364086711087
ETH,0,0,0,0.100178283365059,0,0.0503988262503334,0,0,0,0.0917761976997465,0,0.395134439558953,0.0993863619366166,0.0858089433375196,0,0,0,0,0,0
BCH,0,0,0,0,0.297261070044424,0,0.202924714873484,0.124176433946234,0,0.523978330724111,0.0766239705737897,-0.346048810002337,0.352743731250853,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,-0.113197692903709,0.704356991914863,0,0,0.0827571086344314,0.0831500573294818,0,0,0,0,0,0
XLM,0,0,0.0323688571746538,0.112467929218767,0.10779056154027,0,0,0,0,0.0748337118800302,0.0666427416763015,0.177504511574999,0.142117496384297,0,0.0743778517689174,0,0,0,0,0
LTC,0,0,0,0.0443412822996816,0.191720128374121,0,0,0.0246078603428252,0,0,0.0540546455087117,0.219185757537499,0.0918232774006138,0.0461843442023123,0,0,0,0,0,0
BSV,1.03935012691819,-1.68888515941223,0,0.49430411099672,0.165968271360828,-0.345162560191253,0,0,0.488733525510456,0,0.37782971429085,0,0.453239204475467,0.146884768289684,-0.358331776455335,0,0,0,0,0
TRX,0.093598732143171,0,0,0.0359888101754864,0,0,0,0.0196211993355301,0,0.272352829220313,0,0.271074385432227,0.0962673550588739,0,0.0835474256227118,0,0,0,0,0
ADA,0,0,0.0226581313702523,0.1133714025532,0.241600471759548,0,0,0,0.221237687882849,0,0.143975797220334,0.15551478504298,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0.0733273552748643,0,0.334924036343976,0.266106837110723,0.040655259447625,0,0,0,0.0692161112628895,0.0743097375713028,0,0,0,0,0,0,0
XMR,0.227016842829639,0,0.170320676666288,0.00000000000000000693889390390723,0,0.0402166086827994,0.184203498416396,0.00582215312658112,0.00548176038554427,0.304184161361525,0.0158325854311108,0,0,0.0383549705512378,0,0,0,0,0,-0.0145105828705221
BNB,0.0189975825989054,0,0,-0.0631181280027789,0.135206996814727,0,0.281768544361446,0,0,0.57142448242152,-0.021236450170833,0,0,0,0,0,0,0,0,0
DASH,0,0,0.3072910072248,0.000000000000000000867361737988404,0.252691021711002,0.105610842972763,0,0,0,0,0,0.24708519306684,0.0497916472969285,0,0,0,0,0,0,0
XEM,0,0,0,0.170157476099225,0,0.328572524704399,0,-0.000000000000000000216840434497101,0.0274624217486794,0.151829132841675,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,-0.250897390502392,-0.129666988869639,-0.0170789409419858,0,0,0,0.019607076449276,-0.0572937318670114,0,0,0.100291798576228,0.141312870892388,0.0199607224268706,0.116013538379129,0,0,0.129199038808065,0,-0.0478046994387753
CVIX.INDEX,0,-0.0571468562758859,0,0.0432021899299266,-0.0608704840571854,0.119491438510983,-0.0812159052906878,0.0238280769641002,0,0,0.0790771124018945,-0.077087363276106,-0.0942074959089119,0,0.0634871636994829,0,0,0,0,0.0958318828048492
DXY.INDEX,0.0341711680923689,0.0138933722346426,0,0.00433384679239439,-0.00139065898516504,-0.0244410294564178,0,0.00470435124468398,-0.0313603019639634,0,0.0000586556557440924,0,0,0.00121702177505491,0,0.0751785180671876,0.011244048865182,0,0,0.00335440159139065
SPX.INDEX,-0.0106358679317633,0,0,-0.00784592486686792,-0.00848044146477364,0,0,0.011782310504399,0,0,-0.0347580940164962,0,0,-0.0138833263800777,0.0466287005097978,0.116715170120603,0.0433612841059789,0,0,-0.134141356872075
VIX.INDEX,0,0.355420369892284,-0.240209706015954,-0.0179142947933376,0,0,0,-0.0501847906022784,0,0,0,-0.201940801834542,0.129829694995812,0,0.235269818188297,0,1.42277053413418,0,-4.26496081414773,0
