,BTC,ETH,XRP,LTC,DASH,ETC,XEM,XMR,ZEC,XLM,DOGE,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.182521675895298,0,-0.0161001336682719,0,0.25947812828968,0.140449797092191,0.146744247450973,-0.161957343370759,0.072392778324501,0,-0.252259214685462,0.121305712119167,0,0,0,0,0
ETH,0,0,0.07122274135678,-0.0481860265429354,0,0.32407295640913,0,0.800767615496401,-0.241982504443047,0,0,0,0,0,0,0,0,0
XRP,0,0.136715511754452,0,-0.045963095757462,0,0,0,0,0,0.599544787408537,0,0,-0.298498066252175,0,0,0,0,0
LTC,0,0,-0.0290869077055982,0,0,0,0,0,0,0.266145135709925,0.207379438700918,0,0,0,0,0,0,0
DASH,-0.198140543181368,0.00000000000000000173472347597681,-0.104896844231079,0.0303968456833069,0,0.0770121080322847,0.116897031995955,0,0.0406074580959401,0,0,0,0,0,0.442539056193716,0,0,-0.0632926669450208
ETC,0.392272573390085,0.2618191067451,-0.0144289596787802,0.146298673473934,0,0,0.0883219719890275,0,0.29613131799514,0,0.0306489464935269,-0.220607931019309,0.010270355720469,-0.3692875369809,0,0,0,0.218062908359846
XEM,0,0,0.0189862199876671,0,0.0565870888650952,0,0,0.387435272149285,-0.225068085453732,0.122284241212055,-0.177795922367147,0.280714553361247,0.363443522229882,0.207181128514802,0,0,0,-0.536231984393881
XMR,0.551241264190718,0.395786667609886,0.0341628120699814,-0.0588127410344428,0,-0.0714656917062898,0,0,0.29774014752543,-0.15114403000874,-0.0964840970609677,0,0.0668094352053356,0,0,0,0,0
ZEC,-0.120253097861817,0,0,-0.0343254734034635,0.216095295704194,0.00418307264432483,-0.106044356258576,0.245960767160716,0,0,0.25499514356653,0.0496863538530507,0,0,0.147923446192445,0,0,0
XLM,0.0695219347116758,0.0398862671223629,0.327487835072896,0.182255295866284,0,0,0,0,0.0408632169301085,0,0.328785257855257,0.110631329311655,0.0559684002257167,0,0,0,0,-0.0920296604828484
DOGE,0,0.0745883731575658,0,0.275291256637809,0.138274857165464,0,-0.0589489429466378,0.0875424856352317,0,0.261092809828473,0,0.124161206801491,0,0,0,0,0,0.237842586933608
NEO,0,0,-0.0361751716961252,0,0.14360246306169,-0.22078907396427,0.0376079135121446,0,0.183091084621831,0,0.277423901586343,0,0.0355425752172168,0,0,0,0,0
DGB,0.263579461444391,0.0288797468702883,-0.0895286674391876,-0.121743617863689,0,0,0.0493055190934773,0,0.0160060721839454,0.248469448550869,-0.0594906216795344,0.104479122455467,0,0,0,0,0,0
BV010082.INDEX,0.0632887552561764,-0.00296455766414589,0,0,0,-0.0547028689673578,0,0,0,0,0,-0.00527717522518201,0.0242775681598424,0,0,0,0,-0.0589354192418329
CVIX.INDEX,0,0,0,0.0855170737192242,0,0,-0.171251610100502,0,0,0,0.0440873774236494,0.0751268594986604,0.103961773232169,0,0,0,0,0.122681117707012
DXY.INDEX,0.026015345198454,0.00900173241823074,0.00094184740107472,0.00368304345911603,-0.0059940115352454,0,-0.00724457266328459,0,0,0.000691703182569147,0.00000000000000000010842021724855,0,-0.00151177452316877,0.0954831032982295,0,0,0,0.0289427172481656
SPX.INDEX,0.00721405656693155,0.00677514654687462,0,0.00243530485185295,0,0,-0.00182143891181476,0.00350276547361759,-0.00201783846011174,0.00439431759996211,0,-0.00335518936019528,0,0,0,0,0,-0.0395823975371404
VIX.INDEX,0,0,0,0,0.0187782140593058,0,-0.184006870551913,0,0,0,0.104938978894134,0.060818278077329,0,0,0,0,0,0
