,BTC,LTC,XRP,ETH,DOGE,DASH,XLM,XMR,DGB,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.168612971906219,0,0.0479492432630465,-0.0712354001055279,0.0521538361803006,0.0551915147274035,0.226965504094709,0.0358008462568102,-0.0278659526943003,-0.130208650400258,0,0,-0.370142824833242,-0.0677606613340578
LTC,0.433996739330255,0,0,-0.0642983137167741,0.299626452419379,-0.0723196258531747,0.0915882320636681,-0.0116472037584758,-0.000674294959050008,0,0.22639000064952,0.149263337608232,0,0,0.048676045078508
XRP,0.740934975639717,-0.263122071628973,0,-0.0626089142418813,0.371163597375101,-0.0768091715866439,0.230585421027361,-0.515921181470064,0.0390857708402245,0.0486616415111,0.0964261305773013,0.652339001743137,-2.6697251258836,0,-0.288865360130151
ETH,0.460526123887106,-2.16608722415315,-0.293876586844185,0,1.11672639627082,-0.462120239843917,0.468773803462236,0,-0.0605595111028622,-0.233499259499211,1.18559136812167,-0.247689946794876,1.2337869636835,0,0.22319373400279
DOGE,0,0.0985299101712966,0.0935574622464727,0.0215545991813459,0,0,0,0.18336643574886,0.00641846923402934,-0.0161661208482537,0,-0.022705291119558,0,0,0.0363587618934895
DASH,0,0.41769970868464,-0.114536636144696,0,0.339491211220176,0,-0.172271126702043,-0.110909463488747,0.0387589172750759,0.0947255710411563,0,-0.124843989717544,0,0,-0.205388471805568
XLM,0,0.254975314704589,-0.171590207770372,0.0740258879549718,0,0,0,0.0764697099098437,-0.0343808302259418,0.0331192840683018,0,0,0,0,0
XMR,0.983193431754033,0.00349986033371371,-0.0637246337064876,-0.0394121719084468,0,-0.421080702975633,0,0,0.00259176907636563,-0.0316264697379843,0,-0.237760379577595,0,0,0.0252274834418353
DGB,-2.3484996833419,-0.0609878091182154,0.0104647948281694,0.43805234995274,1.13456852030359,0,0.496398186665865,0.823625380582438,0,0.322163970853234,0,0.903302524496242,-3.54821836022444,0,-0.91376072883151
XEM,0,-0.797019991595268,0,-0.091274113957953,1.73122454753718,-0.218472277331165,0.511794523909814,-0.920695023958125,0.106654065184214,0,0,0.911805000501258,0,1.17257206572639,0
BV010082.INDEX,0,0.207231977145824,0,0,0,0,0,0,0,0.0792645908854488,0,0,0,0,0
CVIX.INDEX,0,0.26168735847804,0,0,0,0.0729152910383806,-0.0967858113887536,-0.101071363513238,0,0.0545779279175479,0,0,0,0,0.0637133534710955
DXY.INDEX,0,0.0154136256479586,-0.0221177696108637,0.0107564538495649,0,0,-0.0304280918248356,0.0410609324754248,-0.0119401783044333,0.0155112623442809,0.0426229876662655,0,0,0,-0.0184945638010323
SPX.INDEX,0,0,-0.0428718057868484,0,0.0214685124845359,0,0,0,0.0135024016034498,0,0.0481066505679557,0,0,0,-0.147678883072487
VIX.INDEX,0,-0.0383109003931206,-0.109272108523041,0.202649741324248,0,-0.250815435776902,0,0,0,-0.0305734399051261,0.516221310216977,0,0,-4.87592213931023,0
