,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XMR,ADA,XLM,LEO,TRX,HT,DASH,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.134687083428177,0,0.102694071759561,0,0,0.160335857720901,0.0320963890065416,0.388158959195382,-0.161596904823356,0,0,0.0685469299981051,0.0879807405542476,0.0305525679852777,0,0,0,0,0
ETH,0.0193393532002918,0,0,0.241956717053744,0.269151675918325,0.0657968584829712,0.0803364640183207,0.0358225826948107,0.0000000000000000277555756156289,0,0,0,0.00000000000000000173472347597681,0,0.210642865948691,0,0,0,0,0.0182971508787047
XRP,0.0425165968224628,0.10530705160545,0,0,0.0435307373815626,0.0549034928654855,0,0,0.0879260025273645,0.178210770651905,0,0,0.0840382672526284,0,0,0,0,0,0,0.00740931687846381
BCH,0.113065404527325,0.688349164059533,0,0,0,0,0.0122899298122207,0,0.00000000000000000346944695195361,0,0.0735712769385747,0,0.0136298879520398,0,0.0596318406786779,0,0,0,0,0
LTC,0,0,0,0.230453138872814,0,0.194895870842371,0,0,0.0342447858719196,0.24081910740698,0,0,0,0.0018554901408952,0.0895517680814475,0,0,0,0,0.0203159483822766
EOS,0,0.429642356851804,0,0,0.129308028268408,0,0,0.00784515187076961,0.0247542852213188,0.189151746838002,0,0,0.0816409416020862,0,0.100964422421845,0,0,0,0,-0.0323956249654849
BNB,-0.0526954043135006,0,0,0,0.158096326335651,0,0,0,0,0,0,0,0.235425311937066,0.155004106738146,0.17741871467741,-0.115786554428442,-0.0261206397242615,0,0,0
BSV,0,0.141250303408226,0,0.461022247318345,0,0.123595669158163,0.313136555739399,0,0,-0.0000000000000000000542101086242752,0,0,0,0,0,0,0,0,0,0
XMR,0.461219007843699,0,0,0,0,0,0.17941341698329,0,0,0,0,0,0,0,0.421611487571145,0,0,0,0,-0.00293966296845306
ADA,0,0,0,0.00000000000000000346944695195361,0.177815896642521,0.169843344700308,0,0,0,0,0.106584640178364,0,0.331894963871663,0,0,0,0,0,0,0.0174152081218434
XLM,0,0,0,0.197572699299067,0.0567519331630964,0,0.0382164642935629,0,0.140553325937882,0.236804078618091,0,0,0,0,-0.0527345540910797,0,0,0,0,0
LEO,0,0,0,0,0,0,0,0,0.25300270137278,0,0,0,0,0,0,0.302393083838221,0,0,0,0
TRX,0.0401820221948835,0,0,0.281738998829948,0,0,0,0,0.196900510454243,0.369709787375033,0,0,0,0,0.110834572501421,0,0,0,0,0.0634227775610374
HT,0,0,0,0,-0.13815086122583,0,0.454277294696422,-0.0814747729373525,0,0.0346207913751118,0.191593687173344,0,0,0,0.0621336076916273,0,0.311627180027496,0,0,0
DASH,0,0.238748244230506,0,0,0,0,0,0.104459817229772,0.376592989699773,0,0,0,0.0477303235802308,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.422420208682864,0,0,-0.0986399285801585,-0.383449899116662,-0.0243258372949038,0,0.243933926219586,-0.0221300154927605,0,0,0,-0.0743246077424304,0,0,-0.137746379341352
CVIX.INDEX,0,0,0,0,-0.292794616042413,0,-0.563316316101052,0.124521294635322,0,0,0.210905405556224,0.103163770813046,0.437150169798998,0.151874825338922,0,0,0,0,0,0.0637211095618342
DXY.INDEX,0.0168677280582791,-0.0211262500108201,0,0.00000000000000000010842021724855,0.0408990460022691,-0.00102732658515589,-0.0263358937411518,0,-0.0168330787581697,0,0.00904446193403151,0.0126890258051057,-0.0212121955385633,0,0,0.0167646430868952,0.0232768471928201,0,0,-0.0106542517344064
SPX.INDEX,0.0613345242272241,0,0.0513906832920866,0.0273229905461564,0.00373191011684181,-0.0496830931593415,0,0,-0.0708729960762543,0,0,0,0,0,0,0.0449438536787621,0,0,0,-0.098124203803184
VIX.INDEX,0,0,0,0,0.538677207407006,-0.21086632575712,-0.255904574213053,0,-0.30488019501372,0,0.13816079297052,-0.2310719172419,0,0,0,-0.0348876138554639,0.255513252520879,0,-5.2383440107743,0
