,BTC,ETH,XRP,INNBCL,BCH,BSV,LTC,EOS,BNB,XTZ,TAGZ5,LINK,XLM,XMR,LEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0801859680286814,0,0.00000000000000000010842021724855,0,0.0445739973481168,0,0.2058432217859,0.105737997435587,0.0633729068437647,0,0.0874410721992147,0,0.0735412585466844,0,0,0,0,0,0
ETH,0,0,0,0,0.503802293008617,0.0554819191196495,0,0,0.0310406168306002,0.15290429613632,0,0.0790001551175063,0,0.117006869805746,0,0,0,0,0,0
XRP,0,0.114175539132395,0,0,0.179487953045529,0,0.0772096235804441,0.1244406428178,0,0.114215383458769,0,0,0.120988455314343,0,0,0,0,0,0,0
INNBCL,0,15.9032069547882,0,0,0,0,0,-1.65411918897481,0,0,-0.451738149896117,0,0,-18.3867192000752,0,0,0.0730376676138961,0,3.25996830757579,-0.883094941818317
BCH,0,0.460857728053352,0,-0.00783030042907167,0,0.216846040657205,0,0.0948761634370316,0.0677724033359862,0,0,0.0615977037843057,0,0,0,0,0,0,0,0
BSV,0,0,0,0,0.513157811334617,0,0,0.319554861357538,0.151523489657951,0.000000000000000000867361737988404,0,0,0,0,0,0,0,0,0,0
LTC,0,0.177387308421458,0.0593910973767575,0.00404629666198651,0.168695192098623,0.0223360718638245,0,0.286541980955603,0,0,0,0.0581051865867048,0,0.100284406373675,0,0,0.0129479947420741,0,0,0
EOS,0,0,0,0,0.456939912336564,0.153491785227129,0.22617157372467,0,0,0,0.0150335401831996,-0.00955764406633719,0,0.0799370893236591,0,0,0,0,0,0
BNB,0,0.191209021465496,0,-0.00143453321478206,0.438035044372274,0,0,0,0,0.164846591564882,0,0.0541240983140642,0,0,0,0,0,0,0,0
XTZ,0,0.159108424550723,0,-0.00714437246772996,0.0252320183264861,0.342441014958906,0,0,0,0,0,0.448041947840422,0,0,0,0,0,0,0,0
TAGZ5,0,-0.0000000000000000138777878078145,0,-0.00453477141451695,0.511551802743764,0,0,0,0,0,0,0.0706568678788923,0.206048771402784,0,0,0,0,0,0,0.110239053342418
LINK,0.0170699656339487,-0.00000000000000000173472347597681,0,0,0.0739804714877897,0.180119566306772,0,0,0.000450549455811732,0.664599172311956,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0.317778343541523,0,0,0.172489122386494,0,0.115724919134333,0,0,0,0.0986483821705105,0,0,0,0,0,0
XMR,0,0.132001040313355,0,-0.00168278790341736,0.0849829500025525,0,0,0.350714137657874,0.117704470951383,0.156244481609705,0,0.0201693581378758,0,0,0,0,0,0,0,0
LEO,0,0,0,-0.0015741510955481,-0.213046624240473,0.157593597071892,-0.063847642613063,0,0.208599664653807,0.0879333539065301,-0.01082135823478,-0.0147165122814072,0,-0.189761636596266,0,-0.0298342319161807,-0.0170875892977563,0,0,-0.0465502341277576
BV010082.INDEX,0,0.193638570834841,0,-0.0162635678730682,0,0.397017698097483,0.45052791302104,-0.978293104189078,-0.963907465463339,-0.639689350893819,0.0743833697639739,0.353678308955017,1.34213470063125,0,0,0,0,0,0.175040898197268,-0.00737180991633694
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0.171219939198506,-0.472052440198323,0,0,0,0,0.228635506260395,0,0,-0.207320283279023,0.370251398740522
DXY.INDEX,0.0862501745894261,0,-0.0860763818241614,0.000159782058565908,0,0,0,0,0.00824519516094421,0.0151175229686926,0,-0.0208030486350469,0,0,0,0,-0.0160482113212093,0,-0.0196652163609681,-0.0103249321178143
SPX.INDEX,0,0,0,0.00372401736241823,0,-0.133536407219495,0,0,0,0.00778315669046821,0,0.152742449316484,0,-0.0622608950117199,0,0.229593479232672,0,0,0,-0.226423209358192
VIX.INDEX,0,0,-0.451904862671217,0.0277464559099083,0,0,0,0,0,0,0.333243844921887,0,0,0,0,-0.0111557439739669,0,0,-2.11121333140449,0
