,BTC,ETH,XRP,BCH,LTC,ADA,XLM,NEO,EOS,MIOTA,XMR,DASH,XEM,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.00954711386413779,0,0.214207159856937,0,0,0,0.0874412111376049,0.10914628562037,0.076874362101246,0.033479405234911,0,0.0355337005661696,0.00804594146193425,0.0470934228396355,0,0,0,0,0
ETH,0,0,0,0.157603306951071,0.199448216570878,0,0.000000000000000000433680868994202,0.124436314148675,0.038461672862858,0,0.0996452307914494,0,0.0768079535605213,0,0.0447824097422697,0,0,0,0,0
XRP,0,0,0,0,0.0106876524034287,0.274642298162597,0,0,0,0,0.00132939329883599,0,0.142667230383858,0.144549492896784,0.100940114206964,0,0,0,0,0
BCH,0,0,0,0,0.153220278102614,0,0,0.162436888493293,0.0365458877297275,0.0963764051855207,0,0.362502392323198,0,0.0231861405308714,0,0,0,0,0,-0.0109238375221799
LTC,0,0,0.038700795099022,0.161701255467842,0,0.0456581940764558,0.0245226056480706,0,0.0537244847413768,0.0127221075960707,0,0,0.0116697030508081,0.0246553812158813,0.200596263018219,0,0,0,0,0
ADA,0,0,0.0542394695546784,0,0,0,0,0.121503475225208,0.313041900963238,0,0.115515366816511,0,0.144431862662708,0,0,0,0,0,0,0
XLM,0,0,0.019787694249956,0.0193521259508999,0,0.0982650438725889,0,0,0,0,0,0.0462900790330014,0,0.281251200430888,0.309204819717723,0,0,0,0,0
NEO,0,0.433976371839367,0,0.18366309723389,0,0.0821166011471225,0,0,0,0.02626435217422,0.0489220234614907,0,0,0.0334427123925408,0.113970765902529,0,0,0,0,0
EOS,0,0,0.101458766443331,0,0,0,0.0639476692124852,0,0,0.0943486094156607,0.0748037122484491,0,0.12734663630882,0,0.343165737683226,0,0,0,0,0
MIOTA,0,0,0.147081467393711,0.263895113794414,0.111436761614578,0,0,0,0,0,0.179608139639678,0.0581576545690993,0.140863842125344,0,0,0,0,0,0,0
XMR,0.0453182267758101,0,0,0.0741403369530418,0.262850646653588,0,0.00920282972498514,0.180416739413456,0.0682295945413183,0.175546108781934,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0.063971344392646,0,0,0,0.0727075117577944,0.0267961554667578,0,0.206100144260324,0,0.0667216729894011,0.152927824107892,0.123220247034048,0,0,0,0,0
XEM,0.223421684292482,0,0,0,0.212854251237806,0.26874871706643,0.106897730217872,0.181719693710545,0,-0.0638942118830667,0,0,0,0.134589335416965,0,0,0,0,0,0.092138102896528
TRX,0,0,0,0.00696689362392036,0,0,0,0.255454573126602,0.203348079893823,0,0,0,0.193483304725166,0,0.0845005611571488,0,0,0,0,0
ETC,0,0,0,0.368052579446177,0,0,0,0.105207497305627,0.265051217177848,0.0495206098892975,0,0,0.000000000000000000867361737988404,-0.00000000000000000346944695195361,0,0,0,0,0,0
BV010082.INDEX,0,-0.0354393913198487,-0.0121937332375511,0.0529287989396522,0,-0.000716813756094975,0,-0.0609090527677283,0.00691269158324832,0.0603540997625089,0,0,0,-0.0259421739664268,0.0203141573278362,0,0,0,0,-0.0263059332306154
CVIX.INDEX,0,0,0,-0.0080559155813597,0.0197071530125753,0.116116867513487,0,0,0,0,0,0,0,-0.046903559410981,-0.0786428242097251,0,0,0,0,0.0636752231164217
DXY.INDEX,0,0.0299167064380646,0.00384365978154442,0,-0.00424234705555863,0,-0.00689149516853452,-0.0228102582353572,0,0,-0.000614319793219949,0,-0.0028524171199382,-0.0112018400138565,0.0142931775344222,0,0,0,0,0.00947834568986921
SPX.INDEX,0,0,0,-0.00574512935525374,0,0,-0.00893534556319098,0.0341806963866658,0,0,0,0,0.0230128582639583,-0.0241813176574637,-0.0224637702656975,0,0,0,0,-0.0625303512397004
VIX.INDEX,-0.139756625585292,0,-0.355405478713963,-0.206846363945651,0,0,0.0394925373880787,0,0,0.00000000000000000346944695195361,0.00000000000000000346944695195361,0,0.108255243683131,0.638990573760965,0,0,0,0,-3.66582419036903,0
