,BTC,XRP,LTC,ETH,DOGE,DASH,XLM,XMR,DGB,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.318044153181682,0.19838171377347,0.0271704553580193,0,0.065995052696303,0.0383705465658268,0.014102211737074,0.0309093170759735,0.0452977302467585,0,0,0,0,0
XRP,0.368417118249274,0,-0.165828613106881,-0.0807813355518958,0.677186000405971,0,0.35210938567177,-0.199107797669537,0,-0.064944749833165,0,0,0,0,-0.170398757418378
LTC,0.242004007958406,0.266137871227195,0,0.0611917917708977,0.1897043267966,0,0.0488344653689371,-0.0607633842588795,0.026943257643804,0.0440933732639345,0,0,0,0,-0.10269254482491
ETH,1.49443716413881,0.292221741525633,-1.44644158262764,0,0.70608841109211,1.03879818806427,0.466051361891447,-0.955832395794226,-0.0123901095609308,-0.437493026273567,0,0.286981540925421,3.20021916339155,0,-0.193608703117066
DOGE,0.309274169279092,0,0.34784426500934,0,0,0,0,0,0.0149236300279951,0.00763567836316551,0,0,0,0,0
DASH,0,-0.0471557965561905,0.544993727487519,0.0109243353742904,0.101858170599025,0,-0.282483312571439,0,0.0237979566748248,0.0532212833465814,0,0,0,0,-0.0922513095577921
XLM,0.156291212594283,-0.212449805428921,0,0.101158546177892,0,-0.0163138877156078,0,0.183536851200431,-0.0059320496268075,0.10096297270341,0,0,0,0,-0.227131705088334
XMR,0.0793096270232734,0,0,0,0.290075976528998,0.146624080389629,0.0941716149171023,0,0.0782040451938032,0,0,-0.626573681429787,0,0,-0.193318531199823
DGB,0,0,0,-0.0109330046449705,0.188365682327258,0,0.729144258121541,0.311196731038969,0,0.482240669941965,0,0,0,0,0
XEM,-0.458095184925514,-0.0232999872616721,-0.201333216339844,-0.188439166582564,1.75107973783388,0.168999686916234,1.12415231544209,-0.0000000000000000138777878078145,0.118642208903673,0,0.00000000000000000693889390390723,0,0,0,0.226743872927265
BV010082.INDEX,0,0.073658141406481,0,0,0,0,0,0.0518061797318708,-0.0332232891935914,0.0273754196387579,0,0,0,0,0
CVIX.INDEX,0,0,0,0.0322518551636418,0,0,-0.132105906753437,-0.167569599711776,0.0225573276894827,0.0561981458863955,0,0,0.6064909771925,0.326039240418997,0.0472660379921015
DXY.INDEX,-0.0151801933706295,-0.0405284424545699,0.0221107011233945,0.00559136324775635,0,0,0.00000000000000000010842021724855,0.0245027556179774,-0.00878087891528801,0,0.133077275407719,0.023929367217939,0,0,-0.0195159910455672
SPX.INDEX,0,0,0,0,0,0,0,0,0.0000000000000000000135525271560688,0,0,0,0,0,-0.0766563586472922
VIX.INDEX,0.106284949355194,-0.289660186198053,0,0.134475276783929,0,-0.1212807067987,0.0596281624296609,0,0.0952499826959037,0.0100516307733606,0,0,-0.74036561435016,-5.29120440305473,0
