,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,MIOTA,XMR,DASH,XEM,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.198311209591016,0,0,0,0.054054739647565,0.0875298763430175,0.138261264772573,0,0,0.0315921343911363,0.0593605358264798,0,0,0,0,0,0
ETH,0,0,0.127869941815807,0.238466900512902,0.145828683396837,0,0.0301061410645435,0,0,0,0.142380497663935,0,0.0961995839999998,0,0,0,0,0,0,0
XRP,0,0.208739560686594,0,0.0455576457554543,0.177854453730886,0.0728797368217857,0,0,0.140391614922062,0,0.0694922617253247,0,0.0665954827308355,0.00000000000000000346944695195361,0,0,0,0,0,-0.0163963795734742
BCH,0.0394944116174952,0.351759647630005,0.0583070359094972,0,0.126112025717155,0.0647602832294555,0,0.153917027176531,0,0.0403457078362172,0,0,0,0.0779874641695789,0,0,0,0,0,0
LTC,0,0.269689306952748,0,0.291233755032917,0,0,0,0,-0.00000000000000000173472347597681,0.0629543327380279,0,0.059203655776798,0,0,0.215349177096275,0,0,0,0,0
EOS,0,0,0,0,0.0261334880997792,0,0,-0.0378742181116701,0,0,0.2055616442307,0,0.164245300726147,0,0.319500085517844,0,0,0,0,-0.0597232318890101
ADA,0,0.482336931054771,0,0,0.00494266127926652,0.151860010651456,0,0,0.15188513034346,0.142451619954483,0.0909321450979293,0,0.139425865065145,-0.0505947295756558,0.0246454505795633,0,0,0,0,-0.0313158075847726
XLM,0,0,0,0.132187784569128,0,0,0.0691170579515243,0,0.0637541632847398,0.227900232823601,0.035763266265379,0.206626953710392,0.229214198596306,0.016596185825009,0,0,0,0,0,-0.0282832056794976
NEO,0,0,0,0,0,0,0.294523321198639,0.0713611418854265,0,0.140182980679063,0.0592098148915054,0,0,0,0.189209391181665,0,0,0,0,0
MIOTA,0.0557732146021933,0,0.238183577833695,0,0,0.0388901741776499,0,0.0169350163101408,0.309739203120128,0,0.0176345405895769,0.145733098284133,0.0441899412813743,0.0934813017444751,0,0,0,0,0,0
XMR,0.802422653044971,0,0,0,0.0296919048963234,0.00203785927782026,0,0.0248487634103453,0.137955980541231,0.105506665018432,0,0,-0.0223532466674005,0,0,0,0,0,0,0
DASH,0.296802551739985,0,0,0,0.0358325069559284,0,0.0747144628750288,0,0.169144634929825,0.0989300465061442,0,0,0.0609927033327145,0.0576414750364156,0,0,0,0,0,0.0475384675128223
XEM,0,0.167094784004405,0,0,0,-0.0653597845214278,0.281365715804701,0,0.440333352157257,0,0,0,0,0.131607887728263,0,0,0,0,0,0
TRX,0.358131386286179,0,0,0.303000187480906,-0.211128424333865,0.0229251058477864,-0.284661666513449,-0.443252970897625,0,0.33190543466106,0,0.836068070745503,0.140741435228193,0,0,0,0,0,0,-0.0185406859412132
ETC,0,0,0.412201889261556,0,0,0.123738272923228,0,0.000000000000000000867361737988404,0.14603610503163,0.088740822543697,-0.141409334486839,0,0.140276921754542,0.141239860719132,0,0,0,0,0,-0.0750379751543033
BV010082.INDEX,0,0,0,0,0,0.0279546770299537,0,0.00000000000000000010842021724855,0,0,0,0.10781552743293,0,-0.0470007156752802,-0.00174842579880252,0,0,0,0,-0.0591942528325403
CVIX.INDEX,0,0,0,-0.0933380793510127,0,-0.0956915503476223,0.116505893565647,0,-0.00000000000000000346944695195361,-0.00000000000000000693889390390723,-0.044184506939619,0.206374645052045,-0.229087025609359,0.0479287479028882,-0.0051041577375943,0,0,0,0,0.00501712403806056
DXY.INDEX,0,0,0.00683278801152152,-0.010841890919416,0,0.0000000000000000000542101086242752,0.00604713360605527,0,0,0,-0.0225205943832318,0.01573060470925,0,-0.00884995628166114,0.00596470621826008,0,0,0,0,0.00413425928356073
SPX.INDEX,0,0,0,0,0.00020964365117921,0.0361707549399876,-0.0416281584127734,0,0,0,0,0,-0.00831489276258335,-0.0313990501039161,0.0211407961829475,0,0,0,0,-0.0832890606538486
VIX.INDEX,0,-0.202240565297982,0,0.0790159623076381,0,0,0,-0.193876340851472,0.133573462597469,-0.206626944741322,0,0.106325694112887,0.0640941381221505,0.160405112939884,0.0305936386066479,-0.538329936880822,0,0,-4.05843611410592,0
