,BTC,XRP,ETH,BCH,EOS,XLM,LTC,BSV,TRX,ADA,MIOTA,BNB,XMR,DASH,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0.142823014261033,0,0.0118848449417063,0,0,0.0722694338294841,0.123906858687992,0.304369653911411,0,0.0919915121513095,0,0,0,0,0
XRP,0,0,0.217392157496991,0.0317109389307916,0.0234395863299782,0.00214576242748336,0.19865432512816,-0.0112065408117098,0,0,0,0.0620196270112295,0,0.04678882537879,0.0960859587747777,0,0,0,0,0.013789141052672
ETH,0,0,0,0.100178283365059,0,0.0503988262503334,0,0,0,0.0917761976997465,0,0.0993863619366166,0.395134439558953,0.0858089433375196,0,0,0,0,0,0
BCH,0,0,0,0,0.297261070044424,0,0.202924714873485,0.124176433946234,0,0.523978330724111,0.0766239705737897,0.352743731250854,-0.346048810002337,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,-0.113197692903708,0.704356991914863,0,0.0827571086344313,0,0.0831500573294819,0,0,0,0,0,0
XLM,0,0,0.0308188108607103,0.129690870497599,0.0339603491147509,0,0,0,0,0.0686239870840946,0.0662975774475246,0.14247996146752,0.23929736991842,0,0,0,0,0,0,0
LTC,0,0,0,0.0443412822996812,0.191720128374122,0,0,0.0246078603428253,0,0,0.0540546455087116,0.0918232774006143,0.219185757537499,0.0461843442023117,0,0,0,0,0,0
BSV,1.03933558326262,-1.6888909852852,0,0.494301459997083,0.165970540931382,-0.345140242296733,0,0,0.488736652210503,0,0.377827239494886,0.453238738032164,0,0.146883230067836,-0.358333940083041,0,0,0,0,0
TRX,0.0935987321431709,0,0,0.0359888101754864,0,0,0,0.0196211993355301,0,0.272352829220313,0,0.0962673550588739,0.271074385432227,0,0.0835474256227118,0,0,0,0,0
ADA,0,0,0.0263094482576747,0.11272926722363,0.245697748636546,0,0,0,0.222755760966069,0,0.140531461468124,0,0.154293094204346,0,0,0,0,0,0,0
MIOTA,0,0,0,0.0444809280379887,0.0274684137365651,0.319123351590081,0.243231688448345,0.0448555193568825,0,0,0,0.175020145613903,0,0,0.0572707340985442,0,0,0,0,0
BNB,0,0,0,-0.0664928692957444,0.0969677215595136,0,0.440446076744048,0.0233681154485653,0,0.482238671315471,-0.0327386295568904,0,0,-0.0078975817988969,0,0,0,0,0,0
XMR,0.136088014248753,0,0.21815012057342,0,0,0.113542861067885,0.08275339648029,0.0108556997797902,0.0364309562651314,0.258802702534577,0.0395706394160611,0.00000000000000000173472347597681,0,0.0712184871824075,0,0,0,0,0,0
DASH,0,0,0.327104921931912,0,0.258856118541716,0.0409131507976154,0,0,0,0,0,0.0242627018066205,0.287053960555696,0,0,0,0,0,0,0
XEM,0,0,0,0.12953985154106,0,0.354600882089653,0,-0.000000000000000000216840434497101,0.0308480137978325,0.148616813343141,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,-0.211418237507847,-0.141707578829325,-0.0181198149285589,0,0,0,0.0198625642199203,-0.0519290741195666,0,0,0.134426079377186,0.0675689119366925,0.0501945507104586,0.11055441590991,0,0,0,0,-0.0445583578538425
CVIX.INDEX,0,-0.0578014477112443,0,0.043022426169459,-0.0605866779574688,0.119170103429361,-0.081315053372821,0.0238830883689912,0,0,0.0792278677696204,-0.0941610519523553,-0.0765628095994068,0,0.0636056851481886,0,0,0,0,0.0959473248516077
DXY.INDEX,0,0.00494718861297107,0,0.0000257420919322787,0,0,0,0.00609755176817711,-0.0313256416186409,0,0.00377041832278967,0.00546984493020771,0,0.00471796044547053,0,0.0660602054620159,0,0,0,0.00735144663068606
SPX.INDEX,-0.0245919333988006,0,0,-0.00718149816761273,-0.00513965195348734,0,0,0.0144284885825229,0,0,-0.0313540986596801,0,0,-0.0145779127178107,0.0479010406396784,0.0972093894804829,0.0209394849430146,0,0,-0.132204148177559
VIX.INDEX,0,0.464253128254729,0,-0.028519864048269,0,0,0.01201586560066,-0.0655653270257267,0.0635966147147385,0,0,0,-0.22520191715482,0,0,0,1.29930438973773,0,-3.57973870943031,0
