,BTC,ETH,XRP,LTC,ETC,DASH,XEM,MIOTA,XMR,EOS,ZEC,NEO,DOGE,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.230779496428727,-0.0256279385353826,0.0447360170409126,-0.0625109371826631,0,0.124894764753021,0,0,-0.00455767982969096,0.0397131876857515,0,0.0493989404660729,0,0,0,0,0.157737665763998
ETH,0,0,-0.00485015244501407,0,0.221534625451671,0.0715904979020254,0,0.0631568227867669,0.0577385714188851,0,0.0533402433724098,-0.00913030476758193,0.105719312537932,0,0.0271484999293296,0,0,0,0,0.0668101723875498
XRP,0,-0.235952163120956,0,0.0414957970632474,-0.317633640169286,0.451573701244519,0.0111042444853659,0,0.0941673345812136,0,0.0469652136454736,-0.0066313436173114,0,0.340014779482678,0,0,0,0,0,0
LTC,0.281448429052655,-0.00584421270995356,-0.104927338660596,0,0,0,0.0294747954479766,0,0.17405350251294,0,-0.0672990364650667,0.157227800711185,0.0698829044020105,-0.118624822062387,0.0364562254732522,0,0,0,0,0
ETC,0,0.198735373473342,-0.173945916491651,0.18829031790417,0,0.143127519372694,0.0348903660646661,0,0.0347744605217099,0,0.0111407232059533,0.0266164835757018,0,0.112360170245083,-0.0459047459479413,0,0,0,0,0
DASH,0,0.189881063102811,0,0,0,0,0,0,0.34563648019389,0,0,0.111064162193551,0,0.0774986817412119,0.00198921140792519,0,0,0,0,0
XEM,0,0,0.234047802480727,0.146788423276425,0.0506955512414111,0,0,0,0.0288712764763472,0.153987236696641,0,0.0382467068547307,0.330498390756384,0.0541477807780988,-0.0555763219197942,0,0,0,0,0
MIOTA,0,0.10237112535394,0,0,0.050220781211259,0,0.115072540197555,0,0,0,0,0.0752688580185049,0,0,0.0736797059355934,0,0,0,0,0
XMR,0,0,-0.0438320555814328,0.242256478063133,-0.0569578305228311,0.47928294785442,0.0667586013769635,0,0,0,0.034158082545171,-0.152280035667681,0,0.200741431274727,0.0193786158941276,0,0,0,0,0
EOS,0,0.131769338055099,0,0,0,0,0.158467783118231,0,0,0,0.178592161431063,0.0865952850769371,-0.0430445924031492,0.133167384945642,0.0764799797156858,0,0,0,0,0
ZEC,0,0.252695486274372,0,0,0,0,0.0306254766396093,0,0.126489859455434,0,0,0.0623761078130792,0.160744714549304,0.0838231555367645,0.00849074818476667,0,0,0,0,0
NEO,0,0,0,0.435077898149373,0.207793438702458,0.147403152271902,0.0551446336856727,-0.271164166892336,0,0.0556888534482201,0.319903500872215,0,0,0,0.0766402714807244,0,0,0,0,0
DOGE,0.458338170226164,-0.0479572748916207,-0.0154289595012165,0.112505624040492,0.146747717358086,0,0.359828317158807,0,-0.116455953290639,-0.0635167168764304,0.29388796699441,0,0,0.214123104649496,0.0282635100107505,0,0,0,0,-0.0593994254278168
XLM,0,0,0.337372872101334,0,0,0,0,0,0.351577796291038,0.129133495843533,-0.125624023919653,0.181783230473758,0,0,0.108522412205301,0,0,0,0,0
DGB,0,0,0,0,-0.26810523247288,0,-0.16438786714293,0,0,0.126095632522461,-0.949556956194339,0.185691832413977,0.906992788692689,0.52230940294911,0,0,0,0,0,0
BV010082.INDEX,0,0,0.0273803324165839,-0.0226921211586461,0,0,-0.0279421402735566,0,0,0,0.020890522612203,0,0.0142837364068727,0.00465162828050848,0.00433094159367625,0,0,0,0,-0.0108055755021926
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0.0180961771395835,0.0288755363372784,0.0576374999631925,0,0,0,0,0,0
DXY.INDEX,0,0.00901225721562908,0,-0.00121896178477623,0.00988592782434831,0,0.000000000000000000433680868994202,0.00161963731408533,0,0.00204880383465448,0.005229574373702,-0.00254861822644035,-0.0165301320054439,0,-0.000270684664248029,0,0,0,0,-0.00456843409393501
SPX.INDEX,0,0.00226556286190444,0.00556635321096481,-0.00591205250389034,0.00830238745449682,0,0,0,0,0.00226556097127988,0.00264447629772029,-0.00221607625729932,0,0.00000000000000000010842021724855,-0.00190048730837905,0,0,0,0,-0.0525918093607366
VIX.INDEX,0,0,0.175844425231898,-0.134721752145837,0.221550915467353,0,0.271371769041659,-0.245537265317118,-0.0286324150288776,0.0417347709496817,0,-0.0988579460465525,0,0,-0.216050524149684,0,0,0,0,0
