,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,BNB,EOS,TAGZ5,XTZ,XLM,LINK,ADA,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.00083854425825161,0,0,0.264374206764168,0.0204261473448429,0,0.159210346878819,0,0,0.230620400155318,0,0,0,0,0,0,0,0,0
INNBCL,0,0,16.9091071771338,0,0,-6.66575636124297,0.90261066850432,0,-21.19873711622,1.6649107625054,0,11.0478707926318,0,0,-2.29202760998546,0,3.22689977415834,0,14.1547399236234,2.9018779847213
ETH,0,0.0000000000000000000016940658945086,0,0,0.185387640757483,0.0791154314533383,0,0.194847910241288,0.124889842384563,0,0.261389454997648,0,0.0214327983241848,0,0.0932958435775106,0,0,0,0,0
XRP,0,-0.0042195543538204,0,0,0,0,0,0.132168660463057,0.36905192038028,0,0,0.00696610954889928,0,0.258759900490487,0,0,0,0,0,0.0406998239644157
BCH,0,0,0.319928806242608,0,0,0.277552664033338,0,0.0323232713733705,0.0348389642334573,0.0110781686944399,0.0780507570053682,0,0,0.0973415059650203,0.149078964557144,0,0,0,0,0
BSV,0.0962395812380033,-0.011370410966831,0.177975620376195,0,0.361711581457149,0,0,0,0,0,0,0,0.0252312967150252,0,0.362733754384345,0.0737363477948237,0.0963799202856066,0,0,-0.0539892834418255
LTC,0,0,0.0164426735294556,0,0.0106506755018216,0.13180243229657,0,0.10514778262834,0.254633636045571,0,0.111210592103954,0,0,0.185192069259273,0,0,0,0,0,0
BNB,0,-0.00655369596169592,0.350320368928111,0,0.363250312685067,0.0560441854327004,0,0,0,0,0.0901915918712423,0,0.0260234900955457,0,0,0,0,0,0,0
EOS,0,-0.00333553407071054,0.348935740734286,0,0.35929215564823,0.0673197537666275,0,0,0,0,0.00630109632236944,0.10682451257165,0,0.013973205423286,0,0,0,0,0,0
TAGZ5,0,0,0,0,0.550122545002321,0,0,0,0,0,0.0554889261260907,0.0954663229859009,0,0,0,0,0,0,0,0.0712596795970848
XTZ,0,0,0.407766644477691,0,0,0.0283634696237373,0,0.255657232833774,0,0,0,0,0.324954698465879,0,0,0,0,0,0,0
XLM,0,-0.00147542308501206,0.255943032169649,0,0.256530133738451,0.0180973976540717,0,0,0.0643265714642594,0,0.0150332853323923,0,0,0.0753009117331331,0.0459129269726777,0,0,0,0,0
LINK,0,-0.000754536709589568,0,0,0.00453379532854486,0.192723259981564,0,0.193242906302416,0,0,0.566703466560464,0,0,0.0523548083989142,0,0,0,0,0,0
ADA,0,-0.000703621927194159,0.176762485874198,0,0,0,0.165743106171522,0.284670200845626,0.0247307404489998,0,0.165862543441219,0,0.0815688960044388,0,0,0,0,0,0,0
XMR,0,0.00533875945622322,0.0888164562649918,0,0,0.0947870080459156,0,0.293661774380925,0.0316900886560277,0,0,0,0,0.339531692249721,0,0,0,0,0,0
BV010082.INDEX,0.940791112104683,-0.0186278430118458,0.351271789909901,0,0,0.181390576355507,0,-0.415786239421162,-1.15079359592454,0.228921606840384,-1.13356983207238,0.819319255566421,0.303939798316767,0.200183173074965,0,0,0,0,0.0980560693156854,-0.0430574043100203
CVIX.INDEX,0,0,0,-0.364498785883879,0,0.0348330623486121,0,-0.154252510321589,0,-0.163011225267667,0.335946242345155,0,0,0,0,0.297943550599753,0,0,-0.778755467670559,0.258451787442415
DXY.INDEX,0.0425369391131549,0.00016864834824592,0,-0.0796625792042704,0,0,0,0,0,0.00208509838396051,0.0591978281174311,0.0195996151837829,-0.0371231535511703,0,0,0.00666940741259406,-0.00945779718869471,0,-0.00581615203992782,-0.0127430111117511
SPX.INDEX,0,0.00884014767027631,0,0,-0.171104707332252,-0.0701505379367248,0.149968830893348,0,0,-0.0283593619167146,-0.0457529494057462,0.100684271861869,0.135828833340557,0,-0.0540860911998756,0.301925655980898,0,0,0,-0.249932513158566
VIX.INDEX,0,0.0276581921887357,0.613871752370896,0.123998134024194,0,0,0,-1.09855851468576,-0.265200002569724,0.122933093252699,0,0.523118740491379,0,0,0,0.387533557488461,0.211392270986824,0,-1.95430519803094,0
