,BTC,ETH,XRP,LTC,XMR,ETC,DASH,XEM,DOGE,XLM,NEO,ZEC,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0496957238423211,0,0.229402448647019,0,0.0152075988277338,0,-0.00347804412037405,0,0,0,0.00677476723967215,-0.0390300253382951,0,0,0,0,0.00301914257026172
ETH,0.397530673562298,0,0.0932120527127629,0,0.10160722272544,0.146959874166919,0.201662451606736,-0.0180723863471865,0,0.136682400873422,0.014964527632571,0.010820064989722,-0.0494676655279618,0.870748456983362,-0.246861906663457,0,0,0.114050419756773
XRP,0.130485150698551,0,0,0,-0.0285587280159349,0,0,0.106599082705874,0,0.40543594433922,-0.145670885999412,-0.0241386729141887,-0.215233534124632,0,0,0,0,0.163895334662393
LTC,0.596979905858864,0,0,0,-0.0767605908776264,0.00743910102853778,0.0436153282063982,0.00482894695698227,0,-0.0192059795535629,0.00782858115434186,-0.00679916470506854,0,0,0.00785095336827594,0,0,0
XMR,0,0.712283123809728,-0.058784911933506,0,0,0.0793310970788478,0,0,-0.329938990400526,0,-0.189790973057585,-0.0159701898041179,-0.127010534905398,0,0,0,0,0
ETC,0,0,0.117648452999564,0,0,0,0,-0.0189338692341918,0,0,-0.0481878744055982,0.0246294672344883,0,0,0,0,0,-0.0869438343744415
DASH,0,0,0,0,0.118791835768135,0,0,0,0,0,-0.0583897438947416,-0.0651090246557029,0,0,0,0,0,0
XEM,0,0.158179609540033,0.245283356049234,0,0.227808273086709,0.180585426752381,-0.740253527757585,0,0,0,-0.0536514774324718,-0.0898286117948481,-0.118003518064426,0,-0.557363651424493,0,0,0
DOGE,0,0.0600467721673774,0.0795026615890768,0,-0.128226488746011,0,0,0.0175400221213813,0,0,0.0305506057941412,-0.0160989587730423,-0.0401365756032576,-0.244573308008646,0,0,0,0.0118695122375664
XLM,0,0,0.578127340217747,0,0.0337262114555792,0.194569331640771,-0.114838278431363,-0.238934511968926,0,0,0.0319547578311783,-0.0453096330264725,0.135172207867628,0.110367153479068,0.318381426537129,0,0,0.0424310418978409
NEO,0,1.4793924536944,0,-0.0868223224854259,-0.848692591923544,0.352148247415415,0,-0.259555834045359,1.42733752806696,0,0,0,-0.101170120606718,0,0,0,0,0.250594665305293
ZEC,0,0,0,0,0.268857789939826,0,-6.71639298679782,0,0,0,-0.60572523924816,0,-0.682849443903004,0,0,0,0,-0.715342957055265
DGB,-0.371012919326709,-0.151114232319679,-0.0829677741467795,0,-0.255185267704848,-0.197049383093828,0.231265931415361,0.0619403772598484,0,0.243631524175066,-0.0973273107410594,-0.0501237943002501,0,0,0,0,0,0
BV010082.INDEX,0,0.0394395685058638,-0.10378851753258,0,0,-0.104070722178867,0.106568157166414,0.000475769449959261,-0.109121320387326,0.12296045619062,0.029745192553612,0.00614362230308828,0,0,0,0,0,-0.0131661026940921
CVIX.INDEX,0,0,-0.147427876425733,0,0,-0.266951439200356,0.109475050015362,-0.129762220196277,-0.00000000000000000346944695195361,0.135755555174105,-0.038946593465827,-0.0188479748005406,0.0505569681933576,0,0,0,0,0.172945278764962
DXY.INDEX,0,-0.00900430198352139,0.00263538355909848,0.0334381419405589,0.0166490797026122,0.0123834091608189,0,0.00851351731885053,0,0.00749452483459624,0.00651404680335586,0.00259424080342238,0.00788518805357399,0.129853147460604,0,0,0,0
SPX.INDEX,0,0,0,0,-0.00266525216594588,-0.0122825930623249,0,-0.00464288847392924,0.0425988362146481,-0.00104556846629777,-0.00229433035426456,-0.00126416287410652,0.00564174278985021,-0.0622260661593954,0,0,0,-0.0635816860369401
VIX.INDEX,0,0.196644748457148,0.054892929570572,0,-0.258256966678242,-0.244573969333182,-0.0307518187413266,0,0,-0.0603722072678049,-0.0207926386852832,-0.0194313381704108,0.0600738327358451,0,0.576849046877475,0,-5.4525829918133,0
