,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,XMR,NEO,DASH,BNB,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0909463647019915,0,0,0,0.0371425935519333,0.14453773763526,0.071436113551461,0,0,0,0.0794380790293336,0.0419245230677486,0,0,0,0,0
ETH,0,0,0.259549508918897,0.161592682728377,0.0405573480225141,0,0,0.102336551800304,0.0933802509767162,0.0529613701950281,0,0.00630082108643997,0,0.0873915363291914,0.0655911965503076,0,0,0,0,0
XRP,0,0,0,0.129477571750201,0,0.0861396239421402,0.00743097906982053,0.176200178168916,0.0872743694651669,0.16117110164032,0.0322016563519647,0.00843621564243863,0.0780601960820516,0,0,0,0,0,0,0
BCH,0,0.289104066602996,0,0,0.0398753117980523,0,0,0.0957498071252168,0.11745899161872,0,0,0.278607860394175,0,0.00541298296917251,0.0753687660981998,0,0,0,0,0
EOS,0,0,0,0.0876671744999115,0,0,0,0.486027969993292,-0.13800839699591,0.0513083219477154,0.696751234008958,0.180251844697807,-0.489854146208432,0.211497659232853,0.0990063476246877,0,0,0,0,0
LTC,0,0,0.211728077959477,0.261276584348618,0,0,0,0.0540474020130024,0.0234213628001331,0,0,0.0532844041754308,0,0.0605917194101148,0,0,0,0,0,0
XLM,0,0,0,0.117348296331153,0.166529653692986,0,0,0.14364834913516,0.08979983766052,0.0735185341077985,0,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0.130346663461966,0.110963242641865,0,0.0893977951742606,0,0.133470444095743,0.238964634700493,0,0,0,0.0895619406361895,0,0,0,0,0,0
MIOTA,0.245966635034296,0,0,-0.0911306612576009,0,0.139760533749772,0.2553353385403,0.252788459889047,0,0.0696959118242829,0.197402570595396,0.102472798439051,0,0,0,0,0,0,0,0.0219596872521107
TRX,0,0,0.276660124541434,0.174694785934804,0.311711917844107,0,0,0,0,0,0,0,0,0,0.0627653423933669,0,0,0,0,0
XMR,0,0,0.232025963169604,0.181844739543524,0,0,0,0.199276744665096,0.0390425188401923,0.0342818021854868,0,0,0,0,0,0,0,0,0,0.0309062950807069
NEO,0,0,0,0,0.000921404958135547,0.000426679829882694,0.151827042793567,0.159717088847581,0.195704760729318,0.00000000000000000010842021724855,0,0,0.129737801020301,0.140185379068693,0,0,0,0,0,0
DASH,0,0.314968348238771,0,0.0508049319715984,0,0,0,0,0.0497945586445386,0,0,0.166485666739568,0,0,0,0,0,0,0,-0.00899155282553856
BNB,0,0.237519541095067,0,-0.00000000000000000693889390390723,0.0186673920352894,0,0,0.267153133924375,0.122754009021727,0,0,0,0,0,0,0,0,0,0,0
ETC,0,0,0,0.382299184953629,0.121406626625981,0,0,0,0.12113467081032,0.18028229729784,0,0,0,0.0508501453404151,0,0,0,0,0,0
BV010082.INDEX,0.009954333992131,0.079104076492797,-0.280792459422936,0,-0.118723512625868,0.0524167502450321,0,0,0,0,0.147557208032815,0,0.0949849917028704,0,0,0,0.0617642340163542,0,0,-0.237788582077474
CVIX.INDEX,0,0.165727495098392,0,0.169261623617628,0.0302324402955787,0.0269929625528491,-0.0426020682240189,-0.0842935452204901,0.078573500388928,0,-0.0742830177839509,0,-0.278144144722464,-0.0295508858251188,0.0591578644045061,0.254925641379033,0,0,0,0.138571698797795
DXY.INDEX,0,-0.0119394178369453,0,0.00932747024127878,0.00800157540396295,0,0,0,-0.0147315551400661,0.013686855260035,0.0118790494976675,0,-0.0185951317841676,-0.00108150020462658,0.0103561989493255,-0.0648935966239664,0.0110788625600479,0,0,0.00234540531241113
SPX.INDEX,0,0,0,0.0128615145671165,0,-0.0225147226262303,0,0,-0.0173870673372478,0.0112892490102497,0,0,0,0.0062614819343122,0.00806383188435131,0,0,0,0,-0.0562249232705698
VIX.INDEX,0,0,0,0,-0.285226223755821,0,-0.110652861407898,0,0,0.144203604896101,-0.166897091890408,0.452663801456898,0,-0.135365745261483,0,-1.03032946796242,0,0,0,0
