,BTC,XRP,ETH,LTC,XEM,DASH,ETC,XLM,XMR,DOGE,ZEC,DGB,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.318975709072948,0.0169340613729803,0,0,0.237374342429373,0.00114617069364723,0.34017278937627,0,-0.447248090946446,0.0376665122906965,0.130005113752253,0,0,0,0,-0.192627421058681
XRP,-0.560763279421439,0,0,0,0,0,0.109894805776987,0.472241832725692,0,0,0.169249885388738,-0.410438633952778,0.169894990839403,0,0.284522112870034,0,0,0
ETH,0,0.020563820094372,0,-0.0225723352707576,-0.166079669747536,0,0.1978550121618,-0.0148375155460487,0.373404428396545,0,-0.311587028606845,0,0.016388906054615,0,0,0,0,-0.149142828189266
LTC,0,-0.0114273455332096,0,0,-0.124929688610574,0,0.251320239598527,0,0.109021321510624,0.419076150917611,0,0.0051371575135476,0,0,0,0,0,-0.275567499694259
XEM,0,-0.0436308284285171,-0.145336926774368,0.0175639989524445,0,0,0,0.167349709164265,0.36858281190087,-0.103047074591315,0,-0.0133834959687066,0.370072136675368,0,0,0,0,-0.382982091117562
DASH,0,-0.101019334518162,0,0.0694767696062899,0.160162946964253,0,0,0.0292864238174435,-0.0861558759485582,-0.0483974027615917,0.300325936926927,0.0435105293164083,0.0837887648633838,0,0,0,0,-0.169554739434241
ETC,0,-0.0471602964000248,0.367459727014807,0.157576432020501,0.0613261159984436,-0.00194150379548867,0,0.0146035703819061,0,-0.0914796317740136,0.209431416356898,0,-0.112205371742635,-0.161440276470819,0,0,0,0.255956013452382
XLM,-0.115789414320983,0.233589104141632,-0.18473741758911,0.00396904416705276,-0.22075093101641,0,0.574916712329813,0,0.292687613071654,0.357568450066382,0.291091156563909,0.169023190779136,0,0,0,0,0,0
XMR,0.18230373982873,-0.0977106277834528,0.296758790026998,-0.05336976634613,0.0572094385451029,0,-0.144649715277691,0.120518766176445,0,-0.108213753982805,0.122417270244896,-0.00186099408796005,0.0450243931388423,0,0,0,0,0
DOGE,0,0,0.0479856338000021,0.269730929043386,0,0,0,0.244023233823062,0.055149545144309,0,0.262400739961106,0.0107017763528731,0.0950471609076144,0,0,0,0,0.544592367168052
ZEC,0,0.0361250985128325,0.0205630019974583,-0.173407541712607,0,0.248421766311959,0,-0.0542718204292313,0,0.208617232318218,0,0.0162521541340363,0,0,0,0,0,-0.159267506445682
DGB,0,0,0.0493289357622314,-0.135025907454777,0,0,0,0,0,0,0,0,0.249508644016536,0,0,0,0,0
NEO,-0.476789157075041,-0.0819630948333369,0.0390357292544342,0.0566438638460634,-0.0239394689557546,-0.0922236350497842,-0.0741990281081951,0.0231835971553657,0,0.0466757324930713,0.505634935146662,0.0552490033761149,0,0,0,0,0,0
BV010082.INDEX,0.0635466837317144,-0.00995782309761043,-0.0161244831037778,0,0.00814475685929877,0,-0.0800570059549066,0.0280406470990362,-0.0789895514008178,0,-0.041225366677346,0.0103700477696211,0,0,0,0,0,-0.0367106331725043
CVIX.INDEX,0.155363316992676,0.0299755443344261,-0.126983209999601,-0.0163351175533435,-0.0354655272616833,0,0,0.00499096978459416,0.192286102924164,0,0,0.0354501409810952,0,0,0,0,0,0.169028115192917
DXY.INDEX,0.019464301591431,0.000212513945053013,0,0.00446148769109595,-0.0148202704476596,0,0,0.0116732634296883,-0.0220801680057019,-0.0146520728714925,0.000000000000000000433680868994202,-0.00378188488101565,-0.000000000000000000433680868994202,0.026539329375736,-0.00756686205823285,0,0,0.0137606846065119
SPX.INDEX,0.000975638772346629,0.000753969570438298,0.00761724286581572,0.00434409347085234,-0.000753390138527723,0,0,0.00322501551396626,0.00151723530907994,0,-0.00126861038987163,0.00397508347500748,-0.00367494713018609,0,0,0,0,-0.0311295266874221
VIX.INDEX,0,0,0,0,0,0,0,0.0690003406935286,0,0,0,0,0,0,0,0,0,0
