,BTC,ETH,BCH,XRP,LTC,DASH,XEM,XMR,MIOTA,ETC,NEO,ZEC,EOS,XLM,BAT,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.104159110480676,0.177110074393053,0.10195359843707,0,0,0.0459453548118252,0,0.0358977338181145,0,0,-0.0499897866006355,0.100782177212045,0,0,0,0,0
ETH,0,0,0,0.0686568815066274,0,0.0833089820055814,0.0423232126675076,0.0732884304038081,0.0966548646410033,0.136662481434289,0,0,0.0726517418735068,0,0.154918439230256,0,0,0,0,0
BCH,0,0,0,0.213384211068475,0,0,0.474196825141474,0,-0.13941872555147,0,-0.0840913311857979,0.516549899039255,0.231172277546521,-0.706163385422551,0,0,0,0,0,-0.0618159339110373
XRP,0,0.303058047526295,0.0109522558448772,0,-0.0459184172171374,0,0.0968266779395077,0.0484019783537341,0,0,0,0,0.178099250960856,0.181380777284566,0.0386468535646713,0,0,0,0,0
LTC,0.102014720834919,0,0.0846351980684067,0.0335035437577368,0,-0.0378506295971854,-0.0108616572106462,0,0.0314148101586026,0.18822684661839,0.0321842384963611,0.0139885967177344,0.127603342383277,0.0373019085875679,0,0,0,0,0,0.0226062866967605
DASH,0.157548157739182,0.0221922086063625,0.0617117892142901,0.0303175796445727,0,0,0.0813805563028218,-0.000000000000000000216840434497101,0.0623026642006844,0,0,0.227699045094515,0.117176139185936,0,0.0822184326098434,0,0,0,0,0
XEM,0.0442177274380017,0.15560282966124,-0.0274860927068413,0,0,0.265246861190203,0,-0.115812276566668,0,0,0,0,0,0.187177748557048,0.0654592935711559,0,0,0,0,0
XMR,0,0,0.0493941323585863,0.261753716765601,0,0.177012734749921,0,0,0.0858314908190666,0,0.0318714467170765,0.0390074309905413,0.0513888973194808,0.140087873833382,0,0,0,0,0,-0.0344416943045448
MIOTA,0.470789912112031,0.224097077030252,-0.0649176826627851,-0.14572687829156,0,0.288898538928368,0.151052413570854,0.22809300633013,0,0.0189443196932102,0,0,0.133504285526971,0,0,0,0,0,0,0
ETC,0,0.404316837465466,0,0,0.423239338825448,0,0,0,0.0694058437837723,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0.069349832300816,0,0.267006254347328,0.0310400581297079,0,0,0,0.135477996511022,0.405078058069799,0.125851265823674,0,0,0,0,0,0
ZEC,0,0,0.0115954878901289,0,0,0.0920428356470561,0,0,0.171143041390436,0.0640289478796593,0,0,0.143971986372735,0.160748998683425,0,0,0,0,0,0
EOS,0,0.139512097927498,0.0563580270846236,0,0.428904216436634,0,0,0.204406440157297,0.210299073492892,0,0.170041173102453,0.0583861757049607,0,0,0.0738337137377509,0,0,0,0,0
XLM,0,0,0,0.295814292909883,0,0,0.212768746915052,0.137725680067448,0,0.0279739703475677,-0.0549331183305682,0.0622218349175347,0.160075319610386,0,0.171492380001603,0,0,0,0,0
BAT,0,0,0,0,0,0,0.0930374338177026,0,0.0313923316427865,0,0.175237307126177,0.254982777661951,0.0821085990667751,0.331737227283213,0,0,0,0,0,-0.0824863799819642
BV010082.INDEX,0,0.0403180937168745,-0.0143599113513186,-0.0204591863398296,0.0356892629500799,-0.05296241132757,0.0255748504616401,0.0383765177180193,0,-0.0139771656490737,-0.0185552321630487,0.0716064506348486,-0.028622458522829,-0.0466737928076489,0.039520947426853,0,0,0.388383243408904,0,-0.0801918740264189
CVIX.INDEX,0.0412168325981945,0,-0.00853901158955454,0,0,0,0,0.0318302150972022,0.0208303234467767,0.081023466181214,0,-0.0743103831978952,-0.0794643390528762,0,0.00405696152900793,0,0,0,0,0.0752865288415892
DXY.INDEX,0,0,0.000782831780014115,0,0.00574072451117955,-0.00349170926269522,0,0,0.00464643129426659,0,0.00566779158416951,-0.000148966642838327,0,-0.00538688705142385,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,-0.00832863125336751,0,-0.00512733418205232,0.00208726237218012,0,0,0,0,-0.00140901774496619,0.00290582944241799,0,0,0,0,-0.0494427406491926
VIX.INDEX,0,0.316401029859438,0,-0.089140341789297,0,-0.193347303418336,0.204577232961213,0,0.0117930157514621,0,0,0,-0.276024391023851,0.0153169431067657,0.0324010522491888,0,0.529521272527196,0,0,0
