,BTC,ETH,XRP,LTC,DASH,XMR,ETC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.192238027598065,0,-0.0479183943195387,0.114254770806165,0.186719046629172,0.264788468323802,0.165600776761317,-0.148435030901924,0.0110158912701604,0.174519277301047,-0.371035493026202,0.080610153746023,0,0,0,0,0
ETH,0.379659364497723,0,0,-0.0459050098592812,-0.0393913881277382,0.865130607358957,0.244369474565455,-0.116089846378963,-0.177383427170214,0,0.108822373467194,0,-0.0316137311850252,0,0,0,0,0
XRP,0,0.0543497791334572,0,0,-0.331326323622551,0,0,-0.149910986795141,-0.0141701378251588,0,1.20833985859249,0.420628779991719,-0.614907628488377,0,0.518365935864071,0,0,0
LTC,0.117823191531609,0,-0.0618060017675321,0,0,0.132234043963973,0.103457377384793,-0.0828864501744779,0.0370831659368285,0,0,0,0,0,0.00893601039881744,0,0,0
DASH,0,0,0,0,0,0,0,0.0425883467444632,0.192042375960995,0,-0.273427651620656,0,0.179776441695005,0,0.510720013336772,0,0,0
XMR,0.224101876102577,0.254769510461205,0.00966146294236193,-0.128855453377398,0.0568567018627942,0,-0.108137590558608,0.061921748710403,0.0689093127410745,0,0,0,0,0,0,0,0,0
ETC,0.138421395443354,0.151268238927172,-0.0412454072942225,0.38172722670691,0.144099251038534,0.256625576389558,0,0,0.0995218518020202,0.1316349205887,0,-0.0776479857040241,0,-0.439310465130207,0,0,0,0.201009773008289
XEM,0.457726101208065,0.215806998784628,0,0.090649926036005,0,0,-0.0489889391412279,0,0.233654470308467,-0.230231645372611,0.0354401713961232,0.0938794949374597,0.19550818945722,0,0,0,0,-0.122765102382221
ZEC,0,0.0594864798580173,0.0116154709672021,-0.0875774268805427,0.256763233414748,0,0,-0.0116159559247402,0,0.233927332952382,0,-0.0204409718167182,-0.144309127899443,0,0,0,0,0
DOGE,0.133964573907621,0,0,0.11538129349316,0,-0.0961662089578057,0.057865385707199,0,0.173580976980565,0,0.426566448780168,0.000000000000000000433680868994202,0.0512803097581851,0,0,0,0,0
XLM,0.296430883356606,0,0.294955343772911,0.183805717957233,0.0169209563875336,0,0,0,0,0.406761191897629,0,0.0257930673851974,-0.0388851713833386,0,0,0,0,-0.233690577364695
NEO,0,0,0,0,0,0,0,0,0.0812363726695361,0,0,0,0.0512811802027329,0,0,0,0,0
DGB,0,0.140098370400988,-0.0905682738317876,-0.0871139844404742,0.0908354828939168,-0.13972917968437,0,0.112704073530013,0,0.26962373048353,0.193572427083296,0,0,0,0.178568640570053,0,0,-0.242958015984947
BV010082.INDEX,0,-0.0359915375783961,-0.0302459428821265,0,0.0701155743404376,-0.0329064680808439,-0.0385679547811392,-0.0301244031975051,-0.0452859345626222,0.135241863005509,0,-0.0527323237150246,0.0509900395861978,0,0.178538120634993,0,0,0
CVIX.INDEX,0.146301278128639,-0.025350362245513,0.00421681278489332,0.0479788309736555,-0.0486014255018076,0,0,-0.0651932822988789,0.110669745504415,0,-0.00587516432405448,-0.0924873773490949,0.043191603703328,0,0,0,0,0.35053770823669
DXY.INDEX,0.0214363670088329,0,0,0.00180447756352196,-0.00769226318722417,-0.00521660659122982,0.0152379254412682,0,-0.00259986316761179,0,0,-0.0142239126187911,0,0.0912426819783042,0.0250548215624444,0,0,0.0105891319288065
SPX.INDEX,0.0109487195510426,0.00348807632967148,0,0.00390792357960325,-0.00160461543110101,0.00105524590590054,-0.00184480317191311,0.0000654888983533804,0,0,0,-0.0000000000000000000271050543121376,-0.00267969913395424,0,0,0,0,-0.0299318338034423
VIX.INDEX,0,0,0.0236597155525867,-0.0119546854341113,0,0,-0.154389199964423,-0.0910470675152086,0,0,0,0,0,-0.344730772071896,0.285506681925262,0,0,0
