,BTC,ETH,XRP,DASH,LTC,XEM,XMR,ETC,ZEC,DOGE,XLM,DGB,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.193696160906499,0,0,-0.0229103000094832,0.101984177308931,0.204077929464677,0.205586713629411,-0.147588916029135,0,0.128581623505244,0.117132519199721,-0.309114806830409,0,0,0,0,0
ETH,0,0,0,0.0261118647208841,-0.0544079103621466,0,0.793695424394995,0.179928199337036,0,0,0.146028264745081,-0.000000000000000000867361737988404,0,0,0,0,0,0
XRP,0,0.0739671322792111,0,-0.26016201613128,-0.13340228054294,-0.0662907410961696,0,0,0.000000000000000000867361737988404,0,1.11489768493551,-0.455792993464772,0,0,0,0,0,0
DASH,-0.276465023601182,0.0503317753894305,0,0,0.0712860932763755,0.10142906890405,0,0,0.151864269538278,-0.163483840510146,-0.104935667527952,0.0718687357027052,-0.0261749168748688,0.0773504180579003,0.664800770231302,0,0,-0.139227282891607
LTC,-0.197080442180053,0.0770647533442801,-0.0246177400734225,0.0810266772599055,0,-0.093932836709396,0.068163760593568,0.196835311463713,0,0.380640142951739,0.148643925196817,0,0,0.377582842313621,0,0,0,0
XEM,0,0.0441854240461892,-0.0030960026460592,0,0,0,0.255708598094593,0,0.118654034803716,0,0,0.189462294751054,0.217324397040113,0,0,0,0,0
XMR,0.0446039698749992,0.320724797201297,0.0245144816063306,0,-0.0365789561091878,0.314618387927293,0,-0.14038088805706,0.177331257168135,0,0,0.0868084408176262,-0.0957631986445224,0,-0.141164642427754,0,0,0
ETC,0,0.286220875634406,-0.0196728787119544,0.133969498427231,0,0.0689325503800025,0,0,0.0102337628037877,0.062383383515625,0,0.0890736048237811,0,-0.411785266276295,0,0,0,0
ZEC,0,0.0588755977453858,0.0118716129612629,0.256058547619531,-0.0901961156652479,-0.0165180860660877,0,0,0,0.231609376301376,0,-0.132535948863277,-0.0224430819464624,0,0,0,0,0
DOGE,0,0.0873816724947802,-0.00000000000000000173472347597681,0.0808734026654621,0.250602832516994,-0.124005940942294,0,-0.0703037924326046,0.18039018541224,0,0.272646117684954,0.0602670981796907,0.103799797163216,0,0,0,0,0.224552721168562
XLM,0.310873277923464,0.00000000000000000693889390390723,0.303453138089933,0,0.171516404841473,0,0,0.0376637690943637,0.0141612599310036,0.403743507763114,0,0,0.0494616795139733,0,0,0,0,-0.214782127731268
DGB,0.150298438645938,0.116118045560171,-0.106726283358289,-0.0804638047115159,-0.208356820422121,0.133094102368432,-0.237887045141855,0,0,0.0651282321839445,0.266181122343725,0,0.0406012301716631,0,0.414540243877888,0,0,-0.680519856023064
NEO,0,-0.152745680135795,-0.0522144879979561,0,0,0.0951406349336973,-0.160257459754054,0,0.218004411035602,0,0.182302018193359,0,0,0,0,0,0,0.0198112730383318
BV010082.INDEX,0.0872611194474064,0,0,0.0158029158384558,0,0.00237073093567595,0,-0.11596901914014,-0.0119312913734443,0.024293286062115,0,0.0442281367718771,0,0,0.103588527377834,0,0,-0.0180661792213733
CVIX.INDEX,0.149021669794572,-0.0981727216429337,-0.019962990985142,-0.0352408440562145,0.0578924332983752,0,0.141550109365073,0,0.146276577348689,0.11516834888805,0,0.0685588642445049,-0.027543766065227,0,0,0,0,0.222739306843541
DXY.INDEX,0.0170220045599282,0.00651569515822213,0,-0.00603731392239164,0.00766327797975109,-0.00745915040135223,0,0,0,0.0000000000000000000135525271560688,0.00125281716981794,0,-0.00589284649017646,0.094704386846731,0.0133693985126167,0,0,0.0157007786798477
SPX.INDEX,0.0145372711385068,0,0,-0.00216765639719697,0.00737867102719567,0,0.00370404600832012,-0.00438902374512108,-0.00100597151454369,0,0,0,0,0,0,0,0,-0.0189246615277863
VIX.INDEX,0,0.0316296659727469,0,-0.00155191572056495,-0.0235871870255398,-0.175476149651069,0,-0.258991368168667,0,0.0393969995173014,0,0,0.124440254978193,-0.241825514352377,0.232371480465118,0,0,0
