,BTC,ETH,DASH,XRP,LTC,XMR,ETC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.159064401273015,0,0.354965735567892,0.324976847458298,0,0,0,0,-0.0433595674517926,0.0492984729169199,0.0761771480992968,0,0,0,0,0
ETH,0,0,0.201048152669121,0,0,0.205894917130676,0.121997525477981,0.0407811724683728,0,0,0,0.079130870294766,0.228356542773719,0,0,0,0,0
DASH,0.638396761478984,0,0,0,0,0.354810122469901,0,-0.0801285903718732,0.127374105726912,0,0,0,0,0,0,0,0,0
XRP,0.0508109595538048,0,0.0191717554036783,0,0,0,-0.0541048123695319,-0.000000000000000000867361737988404,0.0196038937784508,0.542799485854738,0.0364312554982226,0,0.0376788840689192,0.265905615016686,0,0,0,0.0396499483491084
LTC,0.488220847378143,0,-0.0714004700057176,0,0,0.10300463805341,0.200733055996924,0.0680277695607365,0,0.0993345294865136,0.12497313947758,0.0259764167964053,0,0,0,0,0,0.0365171667183108
XMR,0.4568854661324,0.743578186411674,-0.108369583680059,-0.187540167353474,0.12003811574569,0,0,0,0,0,0,-0.0672646078035704,-0.239126086675034,0,0,0,0,-0.00886011153190308
ETC,0.0767427297796274,0.180760291850823,0.121688350435012,0,0.324426801304434,0.104624753812529,0,-0.0561891524575221,0.0513105097878647,0,0.12214672183143,0.229604625999277,0,0,0,0,0,0
XEM,0.544942219152517,0.427206499275196,0,0.188209444415613,0,0,0,0,0.0879149532501405,-0.449592502422811,0,0.401007237201578,0,0.118958983297178,-0.377628535531837,0,0,-0.0753012039163196
ZEC,0,0.224246570344587,0.27824204058928,0,0,0,0.165707377131841,-0.104846124011617,0,0.231573112161966,0,0,0.0055025004103864,0,0,0,0,0.17401962133206
DOGE,0.201284007583921,0,0,0.1253818385334,0,0.0883553349326497,0,-0.030146032382494,0.142684521918735,0,0.0877000466539737,0,0.0153384670164565,0,0,0,0,0
XLM,0,0,-0.0654419771525501,0,0.34466779151221,0.143501130795424,-0.000000000000000000867361737988404,0.0393142999579764,-0.100599361481098,0,0,0.0284341921975094,0.113474684478321,-0.309784077918609,0,0,0,-0.0705081946789088
NEO,0,-0.459711100038524,0,-0.133722030505553,0,0,0.456188022504828,0,0.179300268899249,0,0.0116332323672234,0,0.282702878516698,0,0,0,0,0
DGB,1.09263016610481,-0.1654984410327,-0.273332955628634,0,-0.977040209059779,0,0.229848053079032,0,0,0.0754630020477838,0,0.532518448712581,0,0,0,0,0,-0.0810741100778222
BV010082.INDEX,-0.090892073989772,-0.014379772911532,0.0472148213107121,0,0,0.0411040973998237,-0.0209743099601017,-0.00293581915121383,0,0.176059568952977,0.0460971261549676,-0.0440406297143677,0.00492402779840072,0,0,0,0,0
CVIX.INDEX,0.0579603780462315,0.197458213172381,0.0286509915308807,0.11164649260168,0.0891131854756618,0.00669462099487085,0,-0.132143816338123,-0.218412511680368,0,0,0,0,0,0,0,0,0.124228117127313
DXY.INDEX,0,0,0.0139126494141222,0,0.0212345574824022,0.00573389376825993,0,-0.00694441405712663,0,0,0,-0.0108411557243522,-0.0073017978398697,0.0889280955338565,0.0278442824024,0,0,-0.0113824955700872
SPX.INDEX,0,0.0148801335187584,0.0024729658583926,-0.0114753310349208,-0.00676002131650274,0,-0.0148567024867703,0.00208842123258336,0,0.0160776700946809,0.00560948965277022,0.00452279772493753,0.00098618508708081,0,-0.00955078106842409,0,0,-0.0321142019084091
VIX.INDEX,0,0.161058379419354,0.128518482626895,0.0380069092135484,0.552311709491741,-0.0392122387254193,-0.631802280840616,-0.172188079226177,-0.237016679276994,0,0.22605227879527,0.049136559301509,0,0,0.242208571094759,0,-2.55637950441204,0
