,BTC,ETH,XRP,BCH,LTC,EOS,BNB,XLM,ADA,TRX,XMR,BSV,DASH,MIOTA,ATOM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0171170260096169,0,0.115231842282244,0,0.00796766289009667,0,0.00195302313212426,0,0,0.121961856048152,0.0995064484716227,0,0.0311911978821082,0,0,0,0,0,0
ETH,0,0,0.263524945871616,0,0,0.204216637100968,0.066816795179648,0.0248309578279131,0,0.0722978896984426,0.0491590896858872,0.0628614916050791,0,0,0.001967039488962,0,-0.0156744452058569,0,0,0
XRP,0,0.215653118237078,0,-0.01546980624517,0,0.0721495788453113,0.0146355725616301,0.13357181822443,0.0657077062522374,0,0.157885769746738,0.0000000000000000000542101086242752,0,0.133356000770592,0,0,0,0,0,0.0313677318535067
BCH,0,0,0,0,0.377832352151969,0.211723071986435,0,0,0.350902830316384,0.0343656520467731,0,0,0,0,0,0,0,0,0,0.0215713077767036
LTC,0,0,0.263632198017393,0.238523828905381,0,0.167594731627701,0.0967058079557857,-0.0561932871107534,0.113315432617207,0,0.20001439515234,0.217386515128211,0,-0.192525753345739,-0.0186891825639359,0,0,0,0,-0.0523886672052356
EOS,0,0.337935990991461,0,0.163701745103402,0.191620433676151,0,0,0,0,0.115309748004849,0,0.0344137781840036,0,0,0.00596138718639016,0,0,0,0,0
BNB,0,-0.0923233200711853,0,-0.173179692826136,0,0,0,0,0.134780703657487,0,0,0.313695280369024,0.660762350748112,0.0286916102823122,0.0395067062295658,0,0,0,0,-0.0354580115649778
XLM,0,0,0.0326234244133676,0.0833643238026409,0,0.0779370378984937,0,0,0,0.133328105625318,0,0,0.257199844210596,0,0.0410122326481637,0,0,0,0,0
ADA,0,0,0,0.267038706743573,0,0,0.0430257116819647,0.0922252593911539,0,0.0437578363411364,0,0.0910332442081644,0,0,0,0,0,0,0,0
TRX,0,0.17059679320995,0,-0.120872674437379,0,0.341735815177365,-0.0683073209573558,0.312193654421411,0,0,0,0.080660424954572,0.337968044605228,0.0622720860627834,0,0,0,0,0,0.183528747092684
XMR,0,0.362345836784832,0,0,0,0,0.0278618652959494,0.108729716485989,0,0,0,0,0.326886010924263,0,0,0,0,0,0,0
BSV,0,0,0,0,0.447690125183622,0,0,0,0.174742408193738,0.0635065764375217,0,0,0,0.175817467488599,0.0206427548672071,0,0,0,0,0
DASH,0,0,0,0,0,0,0.11383566531231,0.129209556876127,0,0.0994614783521379,0.0208037480700158,0.0225699956786082,0,0.0999236625827251,0,0,0,0,0,0
MIOTA,0,-0.262546332247244,0,0,-0.0955650866968504,0,0.195778456718875,0.135989180173103,0.132356052062807,0.131943587895268,0.257318019861454,0.145556211050217,0,0,0.00433222523877544,0,-0.087419794496661,0,0,0
ATOM,0,0,0,0,0,0,0.255502633085657,0.747313988831011,0,0,0.971957962617853,-0.506306048776044,0,-0.536329488798126,0,0,0.261292970439031,0,0,0
BV010082.INDEX,0.0538615899468079,0.124416182497216,0.329469443995013,0,0.11550428608085,0,0,-0.0891031362515057,-0.164543999632003,0,0,0,-0.172311641013858,-0.127292595032913,0.0511956440931032,0,0,0,0,-0.0458444432546586
CVIX.INDEX,0,0,-0.34003350337418,0,0.256575726631801,-0.256458267761389,-0.166781614126968,0.186983496116459,-0.378262332577627,0,-0.139504314825289,-0.0269232624312377,0.316997326468093,0,0.0344147895837883,-0.511094454634925,0,0,0,0.151650917215696
DXY.INDEX,0.0171964079354958,0.0272224835109517,0,0,-0.0141726953229968,0,0.00878829251056264,0,-0.00111610368982458,-0.00686523406324795,0,0,-0.00597928893641371,-0.0392155877790285,0.00730392545338899,0,-0.0111334210624825,0,0,0.00223662738801331
SPX.INDEX,0,0,0.0028741408489615,0,0,0,0,0,-0.0131241003094768,0,0.0256918316868296,0,0,0,-0.0035403620806032,0.0316708657404961,0,0,0,-0.0812032547733968
VIX.INDEX,0,0,0,0.0313417991887964,0.156684516986177,-0.488083323259645,0.0140617086759392,-0.386359221741452,0.0130305388095326,0.862305463217859,0,-0.00000000000000000346944695195361,-0.229037545426446,0,-0.0739441328527902,-0.541684863025777,0,0,-3.85776316200584,0
